date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-01-23,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-01-24,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-01-25,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-01-26,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-01-27,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-01-28,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-01-29,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-01-30,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-01-31,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-01,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-02,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-03,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-04,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-05,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-06,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-07,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-08,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-09,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-10,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-11,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-12,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-13,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-14,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-15,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-16,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-17,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-18,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-19,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-20,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-21,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-22,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-23,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-24,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-25,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-26,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-27,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-28,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-02-29,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
2020-03-01,US,Hawaii,19.60121157,-155.5210167,84015001.0,US,USA,840,15001.0,Hawaii,"Hawaii, Hawaii, US",0,0,0,0
