date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-01-23,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-01-24,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-01-25,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-01-26,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-01-27,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-01-28,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-01-29,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-01-30,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-01-31,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-02-01,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-02-02,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-02-03,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-02-04,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-02-05,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-02-06,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-02-07,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-02-08,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-02-09,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-02-10,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-02-11,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-02-12,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-02-13,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-02-14,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-02-15,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-02-16,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
2020-02-17,US,Maryland,39.13676329,-77.20358245,84024031.0,US,USA,840,24031.0,Montgomery,"Montgomery, Maryland, US",0,0,0.0,0.0
