date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-01-23,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-01-24,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-01-25,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-01-26,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-01-27,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-01-28,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-01-29,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-01-30,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-01-31,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-01,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-02,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-03,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-04,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-05,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-06,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-07,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-08,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-09,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-10,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-11,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-12,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-13,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-14,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-15,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-16,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-17,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-18,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-19,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-20,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-21,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-22,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-23,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-24,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-25,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-26,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-27,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-28,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-02-29,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-03-01,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-03-02,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-03-03,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-03-04,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-03-05,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-03-06,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
2020-03-07,US,Minnesota,43.67429718,-94.55099908,84027091,US,USA,840,27091.0,Martin,"Martin, Minnesota, US",0,0,0,0
