date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-01-23,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-01-24,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-01-25,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-01-26,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-01-27,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-01-28,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-01-29,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-01-30,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-01-31,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-01,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-02,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-03,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-04,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-05,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-06,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-07,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-08,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-09,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-10,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-11,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-12,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-13,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-14,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-15,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-16,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-17,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-18,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-19,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-20,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-21,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-22,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-23,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-24,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-25,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-26,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-27,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-28,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-02-29,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-01,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-02,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-03,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-04,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-05,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-06,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-07,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-08,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-09,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-10,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-11,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-12,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-13,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-14,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-15,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-16,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-17,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-18,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-19,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-20,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-21,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-22,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-23,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",0,0,0,0
2020-03-24,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",1,1,0,0
2020-03-25,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",1,0,0,0
2020-03-26,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",4,3,0,0
2020-03-27,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",4,0,0,0
2020-03-28,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",8,4,0,0
2020-03-29,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",12,4,0,0
2020-03-30,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",13,1,0,0
2020-03-31,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",23,10,0,0
2020-04-01,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",34,11,0,0
2020-04-02,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",39,5,0,0
2020-04-03,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",43,4,0,0
2020-04-04,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",52,9,0,0
2020-04-05,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",61,9,0,0
2020-04-06,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",61,0,0,0
2020-04-07,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",61,0,0,0
2020-04-08,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",78,17,0,0
2020-04-09,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",82,4,0,0
2020-04-10,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",82,0,0,0
2020-04-11,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",82,0,0,0
2020-04-12,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",88,6,0,0
2020-04-13,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",89,1,0,0
2020-04-14,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",92,3,0,0
2020-04-15,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",92,0,0,0
2020-04-16,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",93,1,0,0
2020-04-17,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",96,3,0,0
2020-04-18,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",98,2,0,0
2020-04-19,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",105,7,0,0
2020-04-20,US,New York,44.4976179,-75.06550039,84036089.0,US,USA,840,36089.0,St. Lawrence,"St. Lawrence, New York, US",110,5,0,0
