date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,US,Puerto Rico,18.2208,-66.5901,630.0,PR,PRI,630,72.0,,"Puerto Rico, US",0,0,0.0,0.0
2020-01-23,US,Puerto Rico,18.2208,-66.5901,630.0,PR,PRI,630,72.0,,"Puerto Rico, US",0,0,0.0,0.0
2020-01-24,US,Puerto Rico,18.2208,-66.5901,630.0,PR,PRI,630,72.0,,"Puerto Rico, US",0,0,0.0,0.0
2020-01-25,US,Puerto Rico,18.2208,-66.5901,630.0,PR,PRI,630,72.0,,"Puerto Rico, US",0,0,0.0,0.0
2020-01-26,US,Puerto Rico,18.2208,-66.5901,630.0,PR,PRI,630,72.0,,"Puerto Rico, US",0,0,0.0,0.0
2020-01-27,US,Puerto Rico,18.2208,-66.5901,630.0,PR,PRI,630,72.0,,"Puerto Rico, US",0,0,0.0,0.0
2020-01-28,US,Puerto Rico,18.2208,-66.5901,630.0,PR,PRI,630,72.0,,"Puerto Rico, US",0,0,0.0,0.0
2020-01-29,US,Puerto Rico,18.2208,-66.5901,630.0,PR,PRI,630,72.0,,"Puerto Rico, US",0,0,0.0,0.0
2020-01-30,US,Puerto Rico,18.2208,-66.5901,630.0,PR,PRI,630,72.0,,"Puerto Rico, US",0,0,0.0,0.0
2020-01-31,US,Puerto Rico,18.2208,-66.5901,630.0,PR,PRI,630,72.0,,"Puerto Rico, US",0,0,0.0,0.0
2020-02-01,US,Puerto Rico,18.2208,-66.5901,630.0,PR,PRI,630,72.0,,"Puerto Rico, US",0,0,0.0,0.0
2020-02-02,US,Puerto Rico,18.2208,-66.5901,630.0,PR,PRI,630,72.0,,"Puerto Rico, US",0,0,0.0,0.0
2020-02-03,US,Puerto Rico,18.2208,-66.5901,630.0,PR,PRI,630,72.0,,"Puerto Rico, US",0,0,0.0,0.0
2020-02-04,US,Puerto Rico,18.2208,-66.5901,630.0,PR,PRI,630,72.0,,"Puerto Rico, US",0,0,0.0,0.0
2020-02-05,US,Puerto Rico,18.2208,-66.5901,630.0,PR,PRI,630,72.0,,"Puerto Rico, US",0,0,0.0,0.0
2020-02-06,US,Puerto Rico,18.2208,-66.5901,630.0,PR,PRI,630,72.0,,"Puerto Rico, US",0,0,0.0,0.0
2020-02-07,US,Puerto Rico,18.2208,-66.5901,630.0,PR,PRI,630,72.0,,"Puerto Rico, US",0,0,0.0,0.0
2020-02-08,US,Puerto Rico,18.2208,-66.5901,630.0,PR,PRI,630,72.0,,"Puerto Rico, US",0,0,0.0,0.0
2020-02-09,US,Puerto Rico,18.2208,-66.5901,630.0,PR,PRI,630,72.0,,"Puerto Rico, US",0,0,0.0,0.0
2020-02-10,US,Puerto Rico,18.2208,-66.5901,630.0,PR,PRI,630,72.0,,"Puerto Rico, US",0,0,0.0,0.0
