date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-01-23,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-01-24,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-01-25,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-01-26,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-01-27,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-01-28,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-01-29,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-01-30,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-01-31,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-01,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-02,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-03,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-04,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-05,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-06,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-07,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-08,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-09,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-10,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-11,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-12,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-13,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-14,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-15,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-16,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-17,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-18,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-19,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-20,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-21,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-22,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-23,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-24,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-25,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-26,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-27,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-28,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-02-29,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-03-01,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-03-02,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-03-03,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-03-04,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-03-05,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-03-06,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-03-07,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-03-08,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-03-09,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-03-10,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-03-11,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-03-12,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",0,0,0,0
2020-03-13,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",1,1,0,0
2020-03-14,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",1,0,0,0
2020-03-15,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",1,0,0,0
2020-03-16,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",1,0,0,0
2020-03-17,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",1,0,0,0
2020-03-18,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",3,2,0,0
2020-03-19,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",5,2,0,0
2020-03-20,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",5,0,0,0
2020-03-21,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",7,2,0,0
2020-03-22,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",8,1,0,0
2020-03-23,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",12,4,0,0
2020-03-24,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",8,-4,0,0
2020-03-25,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",26,18,1,1
2020-03-26,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",30,4,1,0
2020-03-27,US,Tennessee,35.17670231,-85.16652245,84047065.0,US,USA,840,47065.0,Hamilton,"Hamilton, Tennessee, US",30,0,1,0
