date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-01-23,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-01-24,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-01-25,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-01-26,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-01-27,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-01-28,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-01-29,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-01-30,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-01-31,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-01,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-02,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-03,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-04,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-05,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-06,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-07,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-08,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-09,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-10,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-11,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-12,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-13,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-14,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-15,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-16,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-17,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-18,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-19,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-20,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-21,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-22,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-23,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-24,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-25,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-26,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-27,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-28,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-02-29,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-03-01,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-03-02,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-03-03,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-03-04,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-03-05,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-03-06,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-03-07,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-03-08,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-03-09,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",0,0,0,0
2020-03-10,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",1,1,0,0
2020-03-11,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",1,0,0,0
2020-03-12,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",2,1,0,0
2020-03-13,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",3,1,0,0
2020-03-14,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",5,2,0,0
2020-03-15,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",5,0,0,0
2020-03-16,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",5,0,0,0
2020-03-17,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",5,0,0,0
2020-03-18,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",5,0,0,0
2020-03-19,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",5,0,0,0
2020-03-20,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",9,4,0,0
2020-03-21,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",14,5,0,0
2020-03-22,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",15,1,0,0
2020-03-23,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",15,0,0,0
2020-03-24,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",18,3,0,0
2020-03-25,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",20,2,0,0
2020-03-26,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",28,8,1,1
2020-03-27,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",43,15,1,0
2020-03-28,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",54,11,1,0
2020-03-29,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",61,7,1,0
2020-03-30,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",61,0,1,0
2020-03-31,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",87,26,1,0
2020-04-01,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",105,18,1,0
2020-04-02,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",121,16,1,0
2020-04-03,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",130,9,1,0
2020-04-04,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",150,20,1,0
2020-04-05,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",167,17,1,0
2020-04-06,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",188,21,1,0
2020-04-07,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",209,21,1,0
2020-04-08,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",238,29,1,0
2020-04-09,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",258,20,1,0
2020-04-10,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",274,16,5,4
2020-04-11,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",296,22,5,0
2020-04-12,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",309,13,5,0
2020-04-13,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",324,15,5,0
2020-04-14,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",344,20,5,0
2020-04-15,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",367,23,7,2
2020-04-16,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",378,11,7,0
2020-04-17,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",385,7,8,1
2020-04-18,US,Virginia,39.08990083,-77.63481877,84051107,US,USA,840,51107.0,Loudoun,"Loudoun, Virginia, US",413,28,8,0
