index,state,country,lat,long,date,recovered,recovered_new
0,,afghanistan,33.0,65.0,2020-01-22,0,0
244,,afghanistan,33.0,65.0,2020-01-23,0,0
488,,afghanistan,33.0,65.0,2020-01-24,0,0
732,,afghanistan,33.0,65.0,2020-01-25,0,0
976,,afghanistan,33.0,65.0,2020-01-26,0,0
1220,,afghanistan,33.0,65.0,2020-01-27,0,0
1464,,afghanistan,33.0,65.0,2020-01-28,0,0
1708,,afghanistan,33.0,65.0,2020-01-29,0,0
1952,,afghanistan,33.0,65.0,2020-01-30,0,0
2196,,afghanistan,33.0,65.0,2020-01-31,0,0
2440,,afghanistan,33.0,65.0,2020-02-01,0,0
2684,,afghanistan,33.0,65.0,2020-02-02,0,0
2928,,afghanistan,33.0,65.0,2020-02-03,0,0
3172,,afghanistan,33.0,65.0,2020-02-04,0,0
3416,,afghanistan,33.0,65.0,2020-02-05,0,0
3660,,afghanistan,33.0,65.0,2020-02-06,0,0
3904,,afghanistan,33.0,65.0,2020-02-07,0,0
4148,,afghanistan,33.0,65.0,2020-02-08,0,0
4392,,afghanistan,33.0,65.0,2020-02-09,0,0
4636,,afghanistan,33.0,65.0,2020-02-10,0,0
4880,,afghanistan,33.0,65.0,2020-02-11,0,0
5124,,afghanistan,33.0,65.0,2020-02-12,0,0
5368,,afghanistan,33.0,65.0,2020-02-13,0,0
5612,,afghanistan,33.0,65.0,2020-02-14,0,0
5856,,afghanistan,33.0,65.0,2020-02-15,0,0
6100,,afghanistan,33.0,65.0,2020-02-16,0,0
6344,,afghanistan,33.0,65.0,2020-02-17,0,0
6588,,afghanistan,33.0,65.0,2020-02-18,0,0
6832,,afghanistan,33.0,65.0,2020-02-19,0,0
7076,,afghanistan,33.0,65.0,2020-02-20,0,0
7320,,afghanistan,33.0,65.0,2020-02-21,0,0
7564,,afghanistan,33.0,65.0,2020-02-22,0,0
7808,,afghanistan,33.0,65.0,2020-02-23,0,0
8052,,afghanistan,33.0,65.0,2020-02-24,0,0
8296,,afghanistan,33.0,65.0,2020-02-25,0,0
8540,,afghanistan,33.0,65.0,2020-02-26,0,0
8784,,afghanistan,33.0,65.0,2020-02-27,0,0
9028,,afghanistan,33.0,65.0,2020-02-28,0,0
9272,,afghanistan,33.0,65.0,2020-02-29,0,0
9516,,afghanistan,33.0,65.0,2020-03-01,0,0
9760,,afghanistan,33.0,65.0,2020-03-02,0,0
10004,,afghanistan,33.0,65.0,2020-03-03,0,0
10248,,afghanistan,33.0,65.0,2020-03-04,0,0
10492,,afghanistan,33.0,65.0,2020-03-05,0,0
10736,,afghanistan,33.0,65.0,2020-03-06,0,0
10980,,afghanistan,33.0,65.0,2020-03-07,0,0
11224,,afghanistan,33.0,65.0,2020-03-08,0,0
11468,,afghanistan,33.0,65.0,2020-03-09,0,0
11712,,afghanistan,33.0,65.0,2020-03-10,0,0
11956,,afghanistan,33.0,65.0,2020-03-11,0,0
12200,,afghanistan,33.0,65.0,2020-03-12,0,0
12444,,afghanistan,33.0,65.0,2020-03-13,0,0
12688,,afghanistan,33.0,65.0,2020-03-14,0,0
12932,,afghanistan,33.0,65.0,2020-03-15,0,0
13176,,afghanistan,33.0,65.0,2020-03-16,1,1
13420,,afghanistan,33.0,65.0,2020-03-17,1,0
13664,,afghanistan,33.0,65.0,2020-03-18,1,0
13908,,afghanistan,33.0,65.0,2020-03-19,1,0
14152,,afghanistan,33.0,65.0,2020-03-20,1,0
14396,,afghanistan,33.0,65.0,2020-03-21,1,0
14640,,afghanistan,33.0,65.0,2020-03-22,1,0
14884,,afghanistan,33.0,65.0,2020-03-23,1,0
15128,,afghanistan,33.0,65.0,2020-03-24,1,0
15372,,afghanistan,33.0,65.0,2020-03-25,2,1
15616,,afghanistan,33.0,65.0,2020-03-26,2,0
15860,,afghanistan,33.0,65.0,2020-03-27,2,0
16104,,afghanistan,33.0,65.0,2020-03-28,2,0
16348,,afghanistan,33.0,65.0,2020-03-29,2,0
16592,,afghanistan,33.0,65.0,2020-03-30,2,0
16836,,afghanistan,33.0,65.0,2020-03-31,5,3
17080,,afghanistan,33.0,65.0,2020-04-01,5,0
17324,,afghanistan,33.0,65.0,2020-04-02,10,5
17568,,afghanistan,33.0,65.0,2020-04-03,10,0
