date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-01-23,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-01-24,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-01-25,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-01-26,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-01-27,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-01-28,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-01-29,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-01-30,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-01-31,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-01,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-02,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-03,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-04,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-05,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-06,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-07,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-08,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-09,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-10,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-11,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-12,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-13,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-14,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-15,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-16,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-17,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-18,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-19,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-20,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-21,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-22,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-23,afghanistan,,33.0,65.0,0,0,0.0,0,0,0.0
2020-02-24,afghanistan,,33.0,65.0,1,0,0.0,1,0,0.0
2020-02-25,afghanistan,,33.0,65.0,1,0,0.0,0,0,0.0
2020-02-26,afghanistan,,33.0,65.0,1,0,0.0,0,0,0.0
2020-02-27,afghanistan,,33.0,65.0,1,0,0.0,0,0,0.0
2020-02-28,afghanistan,,33.0,65.0,1,0,0.0,0,0,0.0
2020-02-29,afghanistan,,33.0,65.0,1,0,0.0,0,0,0.0
2020-03-01,afghanistan,,33.0,65.0,1,0,0.0,0,0,0.0
2020-03-02,afghanistan,,33.0,65.0,1,0,0.0,0,0,0.0
2020-03-03,afghanistan,,33.0,65.0,1,0,0.0,0,0,0.0
2020-03-04,afghanistan,,33.0,65.0,1,0,0.0,0,0,0.0
2020-03-05,afghanistan,,33.0,65.0,1,0,0.0,0,0,0.0
2020-03-06,afghanistan,,33.0,65.0,1,0,0.0,0,0,0.0
