date,country,state,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new,lat,long
2020-01-22,australia,australian-capital-territory,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-22,australia,new-south-wales,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-22,australia,northern-territory,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-22,australia,queensland,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-22,australia,south-australia,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-22,australia,tasmania,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-22,australia,victoria,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-22,australia,western-australia,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-23,australia,australian-capital-territory,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-23,australia,new-south-wales,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-23,australia,northern-territory,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-23,australia,queensland,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-23,australia,south-australia,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-23,australia,tasmania,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-23,australia,victoria,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-23,australia,western-australia,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-24,australia,australian-capital-territory,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-24,australia,new-south-wales,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-24,australia,northern-territory,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-24,australia,queensland,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-24,australia,south-australia,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-24,australia,tasmania,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-24,australia,victoria,0,0,0.0,0,0,0.0,-35.4735,149.0124
2020-01-24,australia,western-australia,0,0,0.0,0,0,0.0,-35.4735,149.0124
