date,country,state,lat,long,confirmed,confirmed_new,deaths,deaths_new,recovered,recovered_new
2020-01-22,australia,new-south-wales,-33.8688,151.2093,0,0,0,0,0.0,0.0
2020-01-23,australia,new-south-wales,-33.8688,151.2093,0,0,0,0,0.0,0.0
2020-01-24,australia,new-south-wales,-33.8688,151.2093,0,0,0,0,0.0,0.0
2020-01-25,australia,new-south-wales,-33.8688,151.2093,0,0,0,0,0.0,0.0
2020-01-26,australia,new-south-wales,-33.8688,151.2093,3,3,0,0,0.0,0.0
2020-01-27,australia,new-south-wales,-33.8688,151.2093,4,1,0,0,0.0,0.0
2020-01-28,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,0.0,0.0
2020-01-29,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,0.0,0.0
2020-01-30,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,2.0,2.0
2020-01-31,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,2.0,0.0
2020-02-01,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,2.0,0.0
2020-02-02,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,2.0,0.0
2020-02-03,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,2.0,0.0
2020-02-04,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,2.0,0.0
2020-02-05,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,2.0,0.0
2020-02-06,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,2.0,0.0
2020-02-07,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,2.0,0.0
2020-02-08,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,2.0,0.0
2020-02-09,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,2.0,0.0
2020-02-10,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,2.0,0.0
2020-02-11,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,2.0,0.0
2020-02-12,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,2.0,0.0
2020-02-13,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,4.0,2.0
2020-02-14,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,4.0,0.0
2020-02-15,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,4.0,0.0
2020-02-16,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,4.0,0.0
2020-02-17,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,4.0,0.0
2020-02-18,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,4.0,0.0
2020-02-19,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,4.0,0.0
2020-02-20,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,4.0,0.0
2020-02-21,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,4.0,0.0
2020-02-22,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,4.0,0.0
2020-02-23,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,4.0,0.0
2020-02-24,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,4.0,0.0
2020-02-25,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,4.0,0.0
2020-02-26,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,4.0,0.0
2020-02-27,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,4.0,0.0
2020-02-28,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,4.0,0.0
2020-02-29,australia,new-south-wales,-33.8688,151.2093,4,0,0,0,4.0,0.0
2020-03-01,australia,new-south-wales,-33.8688,151.2093,6,2,0,0,4.0,0.0
2020-03-02,australia,new-south-wales,-33.8688,151.2093,6,0,0,0,4.0,0.0
2020-03-03,australia,new-south-wales,-33.8688,151.2093,13,7,0,0,4.0,0.0
2020-03-04,australia,new-south-wales,-33.8688,151.2093,22,9,1,1,4.0,0.0
2020-03-05,australia,new-south-wales,-33.8688,151.2093,22,0,1,0,4.0,0.0
2020-03-06,australia,new-south-wales,-33.8688,151.2093,26,4,1,0,4.0,0.0
2020-03-07,australia,new-south-wales,-33.8688,151.2093,28,2,1,0,4.0,0.0
2020-03-08,australia,new-south-wales,-33.8688,151.2093,38,10,2,1,4.0,0.0
2020-03-09,australia,new-south-wales,-33.8688,151.2093,48,10,2,0,4.0,0.0
2020-03-10,australia,new-south-wales,-33.8688,151.2093,55,7,2,0,4.0,0.0
2020-03-11,australia,new-south-wales,-33.8688,151.2093,65,10,2,0,4.0,0.0
2020-03-12,australia,new-south-wales,-33.8688,151.2093,65,0,2,0,4.0,0.0
2020-03-13,australia,new-south-wales,-33.8688,151.2093,92,27,2,0,4.0,0.0
2020-03-14,australia,new-south-wales,-33.8688,151.2093,112,20,2,0,4.0,0.0
2020-03-15,australia,new-south-wales,-33.8688,151.2093,134,22,2,0,4.0,0.0
2020-03-16,australia,new-south-wales,-33.8688,151.2093,171,37,2,0,4.0,0.0
2020-03-17,australia,new-south-wales,-33.8688,151.2093,210,39,4,2,4.0,0.0
2020-03-18,australia,new-south-wales,-33.8688,151.2093,267,57,5,1,4.0,0.0
2020-03-19,australia,new-south-wales,-33.8688,151.2093,307,40,5,0,4.0,0.0
2020-03-20,australia,new-south-wales,-33.8688,151.2093,353,46,6,1,4.0,0.0
2020-03-21,australia,new-south-wales,-33.8688,151.2093,436,83,6,0,4.0,0.0
2020-03-22,australia,new-south-wales,-33.8688,151.2093,669,233,6,0,4.0,0.0
2020-03-23,australia,new-south-wales,-33.8688,151.2093,669,0,6,0,4.0,0.0
2020-03-24,australia,new-south-wales,-33.8688,151.2093,818,149,7,1,4.0,0.0
2020-03-25,australia,new-south-wales,-33.8688,151.2093,1029,211,7,0,4.0,0.0
2020-03-26,australia,new-south-wales,-33.8688,151.2093,1219,190,7,0,4.0,0.0
2020-03-27,australia,new-south-wales,-33.8688,151.2093,1405,186,7,0,4.0,0.0
2020-03-28,australia,new-south-wales,-33.8688,151.2093,1617,212,8,1,4.0,0.0
2020-03-29,australia,new-south-wales,-33.8688,151.2093,1791,174,8,0,4.0,0.0
2020-03-30,australia,new-south-wales,-33.8688,151.2093,2032,241,8,0,4.0,0.0
2020-03-31,australia,new-south-wales,-33.8688,151.2093,2032,0,8,0,4.0,0.0
2020-04-01,australia,new-south-wales,-33.8688,151.2093,2182,150,9,1,4.0,0.0
2020-04-02,australia,new-south-wales,-33.8688,151.2093,2298,116,10,1,4.0,0.0
2020-04-03,australia,new-south-wales,-33.8688,151.2093,2389,91,12,2,4.0,0.0
2020-04-04,australia,new-south-wales,-33.8688,151.2093,2493,104,12,0,4.0,0.0
2020-04-05,australia,new-south-wales,-33.8688,151.2093,2580,87,16,4,4.0,0.0
2020-04-06,australia,new-south-wales,-33.8688,151.2093,2637,57,18,2,4.0,0.0
2020-04-07,australia,new-south-wales,-33.8688,151.2093,2686,49,21,3,4.0,0.0
2020-04-08,australia,new-south-wales,-33.8688,151.2093,2734,48,21,0,4.0,0.0
2020-04-09,australia,new-south-wales,-33.8688,151.2093,2773,39,21,0,4.0,0.0
2020-04-10,australia,new-south-wales,-33.8688,151.2093,2822,49,22,1,4.0,0.0
2020-04-11,australia,new-south-wales,-33.8688,151.2093,2857,35,23,1,4.0,0.0
2020-04-12,australia,new-south-wales,-33.8688,151.2093,2857,0,24,1,4.0,0.0
2020-04-13,australia,new-south-wales,-33.8688,151.2093,2863,6,25,1,4.0,0.0
2020-04-14,australia,new-south-wales,-33.8688,151.2093,2870,7,25,0,4.0,0.0
2020-04-15,australia,new-south-wales,-33.8688,151.2093,2886,16,25,0,4.0,0.0
2020-04-16,australia,new-south-wales,-33.8688,151.2093,2897,11,25,0,4.0,0.0
2020-04-17,australia,new-south-wales,-33.8688,151.2093,2926,29,26,1,1379.0,1375.0
2020-04-18,australia,new-south-wales,-33.8688,151.2093,2936,10,26,0,1379.0,0.0
2020-04-19,australia,new-south-wales,-33.8688,151.2093,2957,21,26,0,1379.0,0.0
2020-04-20,australia,new-south-wales,-33.8688,151.2093,2963,6,26,0,1379.0,0.0
2020-04-21,australia,new-south-wales,-33.8688,151.2093,2969,6,26,0,1755.0,376.0
2020-04-22,australia,new-south-wales,-33.8688,151.2093,2971,2,26,0,1926.0,171.0
2020-04-23,australia,new-south-wales,-33.8688,151.2093,2976,5,31,5,2006.0,80.0
2020-04-24,australia,new-south-wales,-33.8688,151.2093,2982,6,33,2,2056.0,50.0
2020-04-25,australia,new-south-wales,-33.8688,151.2093,2994,12,33,0,2193.0,137.0
2020-04-26,australia,new-south-wales,-33.8688,151.2093,3002,8,34,1,2208.0,15.0
2020-04-27,australia,new-south-wales,-33.8688,151.2093,3004,2,34,0,2227.0,19.0
2020-04-28,australia,new-south-wales,-33.8688,151.2093,3016,12,39,5,2266.0,39.0
2020-04-29,australia,new-south-wales,-33.8688,151.2093,3016,0,40,1,2284.0,18.0
2020-04-30,australia,new-south-wales,-33.8688,151.2093,3025,9,41,1,2293.0,9.0
2020-05-01,australia,new-south-wales,-33.8688,151.2093,3030,5,41,0,2293.0,0.0
2020-05-02,australia,new-south-wales,-33.8688,151.2093,3035,5,42,1,2306.0,13.0
2020-05-03,australia,new-south-wales,-33.8688,151.2093,3033,-2,42,0,2328.0,22.0
2020-05-04,australia,new-south-wales,-33.8688,151.2093,3035,2,43,1,2349.0,21.0
