date,country,state,lat,long,confirmed,confirmed_new,deaths,deaths_new,recovered,recovered_new
2020-01-22,australia,south-australia,-34.9285,138.6007,0,0,0,0,0.0,0.0
2020-01-23,australia,south-australia,-34.9285,138.6007,0,0,0,0,0.0,0.0
2020-01-24,australia,south-australia,-34.9285,138.6007,0,0,0,0,0.0,0.0
2020-01-25,australia,south-australia,-34.9285,138.6007,0,0,0,0,0.0,0.0
2020-01-26,australia,south-australia,-34.9285,138.6007,0,0,0,0,0.0,0.0
2020-01-27,australia,south-australia,-34.9285,138.6007,0,0,0,0,0.0,0.0
2020-01-28,australia,south-australia,-34.9285,138.6007,0,0,0,0,0.0,0.0
2020-01-29,australia,south-australia,-34.9285,138.6007,0,0,0,0,0.0,0.0
2020-01-30,australia,south-australia,-34.9285,138.6007,0,0,0,0,0.0,0.0
2020-01-31,australia,south-australia,-34.9285,138.6007,0,0,0,0,0.0,0.0
2020-02-01,australia,south-australia,-34.9285,138.6007,1,1,0,0,0.0,0.0
2020-02-02,australia,south-australia,-34.9285,138.6007,2,1,0,0,0.0,0.0
2020-02-03,australia,south-australia,-34.9285,138.6007,2,0,0,0,0.0,0.0
2020-02-04,australia,south-australia,-34.9285,138.6007,2,0,0,0,0.0,0.0
2020-02-05,australia,south-australia,-34.9285,138.6007,2,0,0,0,0.0,0.0
2020-02-06,australia,south-australia,-34.9285,138.6007,2,0,0,0,0.0,0.0
2020-02-07,australia,south-australia,-34.9285,138.6007,2,0,0,0,0.0,0.0
2020-02-08,australia,south-australia,-34.9285,138.6007,2,0,0,0,0.0,0.0
2020-02-09,australia,south-australia,-34.9285,138.6007,2,0,0,0,0.0,0.0
2020-02-10,australia,south-australia,-34.9285,138.6007,2,0,0,0,0.0,0.0
2020-02-11,australia,south-australia,-34.9285,138.6007,2,0,0,0,0.0,0.0
2020-02-12,australia,south-australia,-34.9285,138.6007,2,0,0,0,0.0,0.0
2020-02-13,australia,south-australia,-34.9285,138.6007,2,0,0,0,0.0,0.0
2020-02-14,australia,south-australia,-34.9285,138.6007,2,0,0,0,0.0,0.0
2020-02-15,australia,south-australia,-34.9285,138.6007,2,0,0,0,0.0,0.0
2020-02-16,australia,south-australia,-34.9285,138.6007,2,0,0,0,0.0,0.0
2020-02-17,australia,south-australia,-34.9285,138.6007,2,0,0,0,2.0,2.0
2020-02-18,australia,south-australia,-34.9285,138.6007,2,0,0,0,2.0,0.0
2020-02-19,australia,south-australia,-34.9285,138.6007,2,0,0,0,2.0,0.0
2020-02-20,australia,south-australia,-34.9285,138.6007,2,0,0,0,2.0,0.0
2020-02-21,australia,south-australia,-34.9285,138.6007,2,0,0,0,2.0,0.0
2020-02-22,australia,south-australia,-34.9285,138.6007,2,0,0,0,2.0,0.0
2020-02-23,australia,south-australia,-34.9285,138.6007,2,0,0,0,2.0,0.0
2020-02-24,australia,south-australia,-34.9285,138.6007,2,0,0,0,2.0,0.0
2020-02-25,australia,south-australia,-34.9285,138.6007,2,0,0,0,2.0,0.0
2020-02-26,australia,south-australia,-34.9285,138.6007,2,0,0,0,2.0,0.0
2020-02-27,australia,south-australia,-34.9285,138.6007,2,0,0,0,2.0,0.0
2020-02-28,australia,south-australia,-34.9285,138.6007,2,0,0,0,2.0,0.0
2020-02-29,australia,south-australia,-34.9285,138.6007,3,1,0,0,2.0,0.0
2020-03-01,australia,south-australia,-34.9285,138.6007,3,0,0,0,2.0,0.0
2020-03-02,australia,south-australia,-34.9285,138.6007,3,0,0,0,2.0,0.0
2020-03-03,australia,south-australia,-34.9285,138.6007,3,0,0,0,2.0,0.0
2020-03-04,australia,south-australia,-34.9285,138.6007,5,2,0,0,2.0,0.0
2020-03-05,australia,south-australia,-34.9285,138.6007,5,0,0,0,2.0,0.0
2020-03-06,australia,south-australia,-34.9285,138.6007,7,2,0,0,2.0,0.0
2020-03-07,australia,south-australia,-34.9285,138.6007,7,0,0,0,2.0,0.0
2020-03-08,australia,south-australia,-34.9285,138.6007,7,0,0,0,2.0,0.0
2020-03-09,australia,south-australia,-34.9285,138.6007,7,0,0,0,2.0,0.0
2020-03-10,australia,south-australia,-34.9285,138.6007,7,0,0,0,2.0,0.0
2020-03-11,australia,south-australia,-34.9285,138.6007,9,2,0,0,2.0,0.0
2020-03-12,australia,south-australia,-34.9285,138.6007,9,0,0,0,2.0,0.0
2020-03-13,australia,south-australia,-34.9285,138.6007,16,7,0,0,3.0,1.0
2020-03-14,australia,south-australia,-34.9285,138.6007,19,3,0,0,3.0,0.0
2020-03-15,australia,south-australia,-34.9285,138.6007,20,1,0,0,3.0,0.0
2020-03-16,australia,south-australia,-34.9285,138.6007,29,9,0,0,3.0,0.0
2020-03-17,australia,south-australia,-34.9285,138.6007,29,0,0,0,3.0,0.0
2020-03-18,australia,south-australia,-34.9285,138.6007,37,8,0,0,3.0,0.0
2020-03-19,australia,south-australia,-34.9285,138.6007,42,5,0,0,3.0,0.0
2020-03-20,australia,south-australia,-34.9285,138.6007,50,8,0,0,3.0,0.0
2020-03-21,australia,south-australia,-34.9285,138.6007,67,17,0,0,3.0,0.0
2020-03-22,australia,south-australia,-34.9285,138.6007,100,33,0,0,3.0,0.0
2020-03-23,australia,south-australia,-34.9285,138.6007,134,34,0,0,3.0,0.0
2020-03-24,australia,south-australia,-34.9285,138.6007,170,36,0,0,3.0,0.0
2020-03-25,australia,south-australia,-34.9285,138.6007,170,0,0,0,6.0,3.0
2020-03-26,australia,south-australia,-34.9285,138.6007,235,65,0,0,6.0,0.0
2020-03-27,australia,south-australia,-34.9285,138.6007,257,22,0,0,6.0,0.0
2020-03-28,australia,south-australia,-34.9285,138.6007,287,30,0,0,6.0,0.0
2020-03-29,australia,south-australia,-34.9285,138.6007,299,12,0,0,6.0,0.0
2020-03-30,australia,south-australia,-34.9285,138.6007,305,6,0,0,6.0,0.0
2020-03-31,australia,south-australia,-34.9285,138.6007,337,32,0,0,6.0,0.0
2020-04-01,australia,south-australia,-34.9285,138.6007,367,30,0,0,6.0,0.0
2020-04-02,australia,south-australia,-34.9285,138.6007,367,0,0,0,6.0,0.0
2020-04-03,australia,south-australia,-34.9285,138.6007,396,29,0,0,46.0,40.0
2020-04-04,australia,south-australia,-34.9285,138.6007,407,11,0,0,46.0,0.0
2020-04-05,australia,south-australia,-34.9285,138.6007,407,0,0,0,46.0,0.0
2020-04-06,australia,south-australia,-34.9285,138.6007,411,4,0,0,53.0,7.0
2020-04-07,australia,south-australia,-34.9285,138.6007,411,0,1,1,53.0,0.0
2020-04-08,australia,south-australia,-34.9285,138.6007,415,4,2,1,53.0,0.0
2020-04-09,australia,south-australia,-34.9285,138.6007,420,5,3,1,120.0,67.0
2020-04-10,australia,south-australia,-34.9285,138.6007,428,8,3,0,179.0,59.0
2020-04-11,australia,south-australia,-34.9285,138.6007,429,1,3,0,179.0,0.0
2020-04-12,australia,south-australia,-34.9285,138.6007,429,0,4,1,179.0,0.0
2020-04-13,australia,south-australia,-34.9285,138.6007,429,0,4,0,179.0,0.0
2020-04-14,australia,south-australia,-34.9285,138.6007,433,4,4,0,240.0,61.0
2020-04-15,australia,south-australia,-34.9285,138.6007,433,0,4,0,240.0,0.0
2020-04-16,australia,south-australia,-34.9285,138.6007,433,0,4,0,279.0,39.0
2020-04-17,australia,south-australia,-34.9285,138.6007,435,2,4,0,331.0,52.0
2020-04-18,australia,south-australia,-34.9285,138.6007,435,0,4,0,331.0,0.0
2020-04-19,australia,south-australia,-34.9285,138.6007,435,0,4,0,331.0,0.0
2020-04-20,australia,south-australia,-34.9285,138.6007,435,0,4,0,331.0,0.0
2020-04-21,australia,south-australia,-34.9285,138.6007,435,0,4,0,331.0,0.0
2020-04-22,australia,south-australia,-34.9285,138.6007,435,0,4,0,331.0,0.0
