date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-01-23,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-01-24,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-01-25,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-01-26,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-01-27,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-01-28,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-01-29,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-01-30,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-01-31,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-01,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-02,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-03,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-04,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-05,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-06,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-07,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-08,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-09,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-10,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-11,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-12,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-13,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-14,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-15,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-16,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-17,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-18,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-19,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-20,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-21,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-22,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-23,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-24,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-25,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-26,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-27,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-28,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-02-29,azerbaijan,,40.1431,47.5769,0,0.0,0.0,0,0.0,0.0
2020-03-01,azerbaijan,,40.1431,47.5769,3,0.0,0.0,3,0.0,0.0
2020-03-02,azerbaijan,,40.1431,47.5769,3,0.0,0.0,0,0.0,0.0
2020-03-03,azerbaijan,,40.1431,47.5769,3,0.0,0.0,0,0.0,0.0
2020-03-04,azerbaijan,,40.1431,47.5769,3,0.0,0.0,0,0.0,0.0
2020-03-05,azerbaijan,,40.1431,47.5769,6,0.0,0.0,3,0.0,0.0
2020-03-06,azerbaijan,,40.1431,47.5769,6,0.0,0.0,0,0.0,0.0
2020-03-07,azerbaijan,,40.1431,47.5769,9,0.0,0.0,3,0.0,0.0
2020-03-08,azerbaijan,,40.1431,47.5769,9,0.0,0.0,0,0.0,0.0
2020-03-09,azerbaijan,,40.1431,47.5769,9,0.0,0.0,0,0.0,0.0
2020-03-10,azerbaijan,,40.1431,47.5769,11,0.0,0.0,2,0.0,0.0
2020-03-11,azerbaijan,,40.1431,47.5769,11,0.0,3.0,0,0.0,3.0
2020-03-12,azerbaijan,,40.1431,47.5769,11,0.0,3.0,0,0.0,0.0
2020-03-13,azerbaijan,,40.1431,47.5769,15,1.0,3.0,4,1.0,0.0
2020-03-14,azerbaijan,,40.1431,47.5769,15,1.0,3.0,0,0.0,0.0
2020-03-15,azerbaijan,,40.1431,47.5769,23,1.0,6.0,8,0.0,3.0
2020-03-16,azerbaijan,,40.1431,47.5769,28,1.0,6.0,5,0.0,0.0
2020-03-17,azerbaijan,,40.1431,47.5769,28,1.0,6.0,0,0.0,0.0
2020-03-18,azerbaijan,,40.1431,47.5769,28,1.0,6.0,0,0.0,0.0
2020-03-19,azerbaijan,,40.1431,47.5769,44,1.0,6.0,16,0.0,0.0
2020-03-20,azerbaijan,,40.1431,47.5769,44,1.0,6.0,0,0.0,0.0
2020-03-21,azerbaijan,,40.1431,47.5769,53,1.0,11.0,9,0.0,5.0
2020-03-22,azerbaijan,,40.1431,47.5769,65,1.0,10.0,12,0.0,-1.0
2020-03-23,azerbaijan,,40.1431,47.5769,72,1.0,10.0,7,0.0,0.0
2020-03-24,azerbaijan,,40.1431,47.5769,87,1.0,10.0,15,0.0,0.0
2020-03-25,azerbaijan,,40.1431,47.5769,93,2.0,10.0,6,1.0,0.0
2020-03-26,azerbaijan,,40.1431,47.5769,122,3.0,15.0,29,1.0,5.0
2020-03-27,azerbaijan,,40.1431,47.5769,165,3.0,15.0,43,0.0,0.0
2020-03-28,azerbaijan,,40.1431,47.5769,182,4.0,15.0,17,1.0,0.0
2020-03-29,azerbaijan,,40.1431,47.5769,209,4.0,15.0,27,0.0,0.0
2020-03-30,azerbaijan,,40.1431,47.5769,273,4.0,26.0,64,0.0,11.0
2020-03-31,azerbaijan,,40.1431,47.5769,298,5.0,26.0,25,1.0,0.0
2020-04-01,azerbaijan,,40.1431,47.5769,359,5.0,26.0,61,0.0,0.0
2020-04-02,azerbaijan,,40.1431,47.5769,400,5.0,26.0,41,0.0,0.0
2020-04-03,azerbaijan,,40.1431,47.5769,443,5.0,32.0,43,0.0,6.0
2020-04-04,azerbaijan,,40.1431,47.5769,521,5.0,32.0,78,0.0,0.0
2020-04-05,azerbaijan,,40.1431,47.5769,584,7.0,32.0,63,2.0,0.0
2020-04-06,azerbaijan,,40.1431,47.5769,641,7.0,44.0,57,0.0,12.0
2020-04-07,azerbaijan,,40.1431,47.5769,717,8.0,44.0,76,1.0,0.0
2020-04-08,azerbaijan,,40.1431,47.5769,822,8.0,63.0,105,0.0,19.0
2020-04-09,azerbaijan,,40.1431,47.5769,926,9.0,101.0,104,1.0,38.0
