date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-01-23,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-01-24,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-01-25,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-01-26,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-01-27,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-01-28,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-01-29,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-01-30,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-01-31,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-01,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-02,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-03,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-04,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-05,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-06,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-07,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-08,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-09,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-10,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-11,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-12,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-13,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-14,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-15,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-16,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-17,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-18,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-19,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-20,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-21,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-22,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-23,bahrain,,26.0275,50.55,0,0,0.0,0,0,0.0
2020-02-24,bahrain,,26.0275,50.55,1,0,0.0,1,0,0.0
2020-02-25,bahrain,,26.0275,50.55,23,0,0.0,22,0,0.0
2020-02-26,bahrain,,26.0275,50.55,33,0,0.0,10,0,0.0
2020-02-27,bahrain,,26.0275,50.55,33,0,0.0,0,0,0.0
2020-02-28,bahrain,,26.0275,50.55,36,0,0.0,3,0,0.0
2020-02-29,bahrain,,26.0275,50.55,41,0,0.0,5,0,0.0
2020-03-01,bahrain,,26.0275,50.55,47,0,0.0,6,0,0.0
2020-03-02,bahrain,,26.0275,50.55,49,0,0.0,2,0,0.0
2020-03-03,bahrain,,26.0275,50.55,49,0,0.0,0,0,0.0
2020-03-04,bahrain,,26.0275,50.55,52,0,0.0,3,0,0.0
2020-03-05,bahrain,,26.0275,50.55,55,0,0.0,3,0,0.0
2020-03-06,bahrain,,26.0275,50.55,60,0,4.0,5,0,4.0
2020-03-07,bahrain,,26.0275,50.55,85,0,4.0,25,0,0.0
2020-03-08,bahrain,,26.0275,50.55,85,0,4.0,0,0,0.0
2020-03-09,bahrain,,26.0275,50.55,95,0,14.0,10,0,10.0
2020-03-10,bahrain,,26.0275,50.55,110,0,22.0,15,0,8.0
2020-03-11,bahrain,,26.0275,50.55,195,0,35.0,85,0,13.0
2020-03-12,bahrain,,26.0275,50.55,195,0,35.0,0,0,0.0
2020-03-13,bahrain,,26.0275,50.55,195,0,44.0,0,0,9.0
2020-03-14,bahrain,,26.0275,50.55,210,0,44.0,15,0,0.0
2020-03-15,bahrain,,26.0275,50.55,214,0,60.0,4,0,16.0
2020-03-16,bahrain,,26.0275,50.55,214,1,77.0,0,1,17.0
2020-03-17,bahrain,,26.0275,50.55,228,1,81.0,14,0,4.0
2020-03-18,bahrain,,26.0275,50.55,256,1,88.0,28,0,7.0
2020-03-19,bahrain,,26.0275,50.55,278,1,100.0,22,0,12.0
2020-03-20,bahrain,,26.0275,50.55,285,1,100.0,7,0,0.0
2020-03-21,bahrain,,26.0275,50.55,305,1,125.0,20,0,25.0
2020-03-22,bahrain,,26.0275,50.55,334,2,149.0,29,1,24.0
2020-03-23,bahrain,,26.0275,50.55,377,2,149.0,43,0,0.0
2020-03-24,bahrain,,26.0275,50.55,392,3,177.0,15,1,28.0
2020-03-25,bahrain,,26.0275,50.55,419,4,177.0,27,1,0.0
2020-03-26,bahrain,,26.0275,50.55,458,4,204.0,39,0,27.0
2020-03-27,bahrain,,26.0275,50.55,466,4,227.0,8,0,23.0
2020-03-28,bahrain,,26.0275,50.55,476,4,265.0,10,0,38.0
2020-03-29,bahrain,,26.0275,50.55,499,4,272.0,23,0,7.0
2020-03-30,bahrain,,26.0275,50.55,515,4,279.0,16,0,7.0
2020-03-31,bahrain,,26.0275,50.55,567,4,295.0,52,0,16.0
2020-04-01,bahrain,,26.0275,50.55,569,4,337.0,2,0,42.0
2020-04-02,bahrain,,26.0275,50.55,643,4,381.0,74,0,44.0
2020-04-03,bahrain,,26.0275,50.55,672,4,382.0,29,0,1.0
2020-04-04,bahrain,,26.0275,50.55,688,4,423.0,16,0,41.0
2020-04-05,bahrain,,26.0275,50.55,700,4,431.0,12,0,8.0
2020-04-06,bahrain,,26.0275,50.55,756,4,458.0,56,0,27.0
2020-04-07,bahrain,,26.0275,50.55,811,5,458.0,55,1,0.0
2020-04-08,bahrain,,26.0275,50.55,823,5,477.0,12,0,19.0
2020-04-09,bahrain,,26.0275,50.55,887,5,519.0,64,0,42.0
2020-04-10,bahrain,,26.0275,50.55,925,6,539.0,38,1,20.0
2020-04-11,bahrain,,26.0275,50.55,1040,6,555.0,115,0,16.0
2020-04-12,bahrain,,26.0275,50.55,1136,6,558.0,96,0,3.0
2020-04-13,bahrain,,26.0275,50.55,1361,6,591.0,225,0,33.0
2020-04-14,bahrain,,26.0275,50.55,1528,7,645.0,167,1,54.0
2020-04-15,bahrain,,26.0275,50.55,1671,7,663.0,143,0,18.0
2020-04-16,bahrain,,26.0275,50.55,1700,7,703.0,29,0,40.0
2020-04-17,bahrain,,26.0275,50.55,1740,7,725.0,40,0,22.0
2020-04-18,bahrain,,26.0275,50.55,1773,7,755.0,33,0,30.0
2020-04-19,bahrain,,26.0275,50.55,1881,7,759.0,108,0,4.0
2020-04-20,bahrain,,26.0275,50.55,1907,7,769.0,26,0,10.0
2020-04-21,bahrain,,26.0275,50.55,1973,7,784.0,66,0,15.0
2020-04-22,bahrain,,26.0275,50.55,2027,7,1026.0,54,0,242.0
