date,country,state,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new,lat,long
2020-01-22,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-01-23,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-01-24,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-01-25,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-01-26,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-01-27,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-01-28,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-01-29,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-01-30,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-01-31,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-01,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-02,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-03,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-04,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-05,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-06,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-07,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-08,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-09,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-10,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-11,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-12,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-13,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-14,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-15,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-16,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-17,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-18,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-19,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-20,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-21,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-22,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-23,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-24,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-25,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-26,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-27,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-28,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-02-29,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-01,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-02,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-03,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-04,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-05,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-06,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-07,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-08,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-09,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-10,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-11,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-12,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-13,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-14,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-15,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-16,barbados,,0,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-17,barbados,,2,0,0.0,2,0,0.0,13.1939,-59.5432
2020-03-18,barbados,,2,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-19,barbados,,5,0,0.0,3,0,0.0,13.1939,-59.5432
2020-03-20,barbados,,5,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-21,barbados,,6,0,0.0,1,0,0.0,13.1939,-59.5432
2020-03-22,barbados,,14,0,0.0,8,0,0.0,13.1939,-59.5432
2020-03-23,barbados,,17,0,0.0,3,0,0.0,13.1939,-59.5432
2020-03-24,barbados,,18,0,0.0,1,0,0.0,13.1939,-59.5432
2020-03-25,barbados,,18,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-26,barbados,,18,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-27,barbados,,24,0,0.0,6,0,0.0,13.1939,-59.5432
2020-03-28,barbados,,26,0,0.0,2,0,0.0,13.1939,-59.5432
2020-03-29,barbados,,33,0,0.0,7,0,0.0,13.1939,-59.5432
2020-03-30,barbados,,33,0,0.0,0,0,0.0,13.1939,-59.5432
2020-03-31,barbados,,34,0,0.0,1,0,0.0,13.1939,-59.5432
2020-04-01,barbados,,34,0,0.0,0,0,0.0,13.1939,-59.5432
2020-04-02,barbados,,46,0,0.0,12,0,0.0,13.1939,-59.5432
