country,date,confirmed,deaths,recovered,lat,long
belgium,2020-01-22,0,0,0.0,50.8333,4.0
belgium,2020-01-23,0,0,0.0,50.8333,4.0
belgium,2020-01-24,0,0,0.0,50.8333,4.0
belgium,2020-01-25,0,0,0.0,50.8333,4.0
belgium,2020-01-26,0,0,0.0,50.8333,4.0
belgium,2020-01-27,0,0,0.0,50.8333,4.0
belgium,2020-01-28,0,0,0.0,50.8333,4.0
belgium,2020-01-29,0,0,0.0,50.8333,4.0
belgium,2020-01-30,0,0,0.0,50.8333,4.0
belgium,2020-01-31,0,0,0.0,50.8333,4.0
belgium,2020-02-01,0,0,0.0,50.8333,4.0
belgium,2020-02-02,0,0,0.0,50.8333,4.0
belgium,2020-02-03,0,0,0.0,50.8333,4.0
belgium,2020-02-04,1,0,0.0,50.8333,4.0
belgium,2020-02-05,1,0,0.0,50.8333,4.0
belgium,2020-02-06,1,0,0.0,50.8333,4.0
belgium,2020-02-07,1,0,0.0,50.8333,4.0
belgium,2020-02-08,1,0,0.0,50.8333,4.0
belgium,2020-02-09,1,0,0.0,50.8333,4.0
belgium,2020-02-10,1,0,0.0,50.8333,4.0
belgium,2020-02-11,1,0,0.0,50.8333,4.0
belgium,2020-02-12,1,0,0.0,50.8333,4.0
belgium,2020-02-13,1,0,0.0,50.8333,4.0
belgium,2020-02-14,1,0,0.0,50.8333,4.0
belgium,2020-02-15,1,0,0.0,50.8333,4.0
belgium,2020-02-16,1,0,0.0,50.8333,4.0
belgium,2020-02-17,1,0,1.0,50.8333,4.0
belgium,2020-02-18,1,0,1.0,50.8333,4.0
belgium,2020-02-19,1,0,1.0,50.8333,4.0
belgium,2020-02-20,1,0,1.0,50.8333,4.0
belgium,2020-02-21,1,0,1.0,50.8333,4.0
belgium,2020-02-22,1,0,1.0,50.8333,4.0
belgium,2020-02-23,1,0,1.0,50.8333,4.0
belgium,2020-02-24,1,0,1.0,50.8333,4.0
belgium,2020-02-25,1,0,1.0,50.8333,4.0
belgium,2020-02-26,1,0,1.0,50.8333,4.0
belgium,2020-02-27,1,0,1.0,50.8333,4.0
belgium,2020-02-28,1,0,1.0,50.8333,4.0
belgium,2020-02-29,1,0,1.0,50.8333,4.0
belgium,2020-03-01,2,0,1.0,50.8333,4.0
belgium,2020-03-02,8,0,1.0,50.8333,4.0
belgium,2020-03-03,13,0,1.0,50.8333,4.0
belgium,2020-03-04,23,0,1.0,50.8333,4.0
belgium,2020-03-05,50,0,1.0,50.8333,4.0
belgium,2020-03-06,109,0,1.0,50.8333,4.0
belgium,2020-03-07,169,0,1.0,50.8333,4.0
belgium,2020-03-08,200,0,1.0,50.8333,4.0
belgium,2020-03-09,239,0,1.0,50.8333,4.0
belgium,2020-03-10,267,0,1.0,50.8333,4.0
belgium,2020-03-11,314,3,1.0,50.8333,4.0
belgium,2020-03-12,314,3,1.0,50.8333,4.0
belgium,2020-03-13,559,3,1.0,50.8333,4.0
belgium,2020-03-14,689,4,1.0,50.8333,4.0
belgium,2020-03-15,886,4,1.0,50.8333,4.0
belgium,2020-03-16,1058,5,1.0,50.8333,4.0
belgium,2020-03-17,1243,10,1.0,50.8333,4.0
belgium,2020-03-18,1486,14,31.0,50.8333,4.0
belgium,2020-03-19,1795,21,31.0,50.8333,4.0
belgium,2020-03-20,2257,37,1.0,50.8333,4.0
belgium,2020-03-21,2815,67,263.0,50.8333,4.0
belgium,2020-03-22,3401,75,263.0,50.8333,4.0
belgium,2020-03-23,3743,88,263.0,50.8333,4.0
belgium,2020-03-24,4269,122,461.0,50.8333,4.0
belgium,2020-03-25,4937,178,547.0,50.8333,4.0
belgium,2020-03-26,6235,220,675.0,50.8333,4.0
belgium,2020-03-27,7284,289,858.0,50.8333,4.0
belgium,2020-03-28,9134,353,1063.0,50.8333,4.0
belgium,2020-03-29,10836,431,1359.0,50.8333,4.0
belgium,2020-03-30,11899,513,1527.0,50.8333,4.0
belgium,2020-03-31,12775,705,1696.0,50.8333,4.0
