date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-01-23,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-01-24,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-01-25,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-01-26,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-01-27,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-01-28,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-01-29,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-01-30,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-01-31,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-01,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-02,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-03,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-04,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-05,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-06,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-07,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-08,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-09,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-10,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-11,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-12,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-13,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-14,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-15,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-16,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-17,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-18,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-19,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-20,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-21,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-22,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-23,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-24,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-25,brazil,,-14.235,-51.9253,0,0,0.0,0,0,0.0
2020-02-26,brazil,,-14.235,-51.9253,1,0,0.0,1,0,0.0
2020-02-27,brazil,,-14.235,-51.9253,1,0,0.0,0,0,0.0
2020-02-28,brazil,,-14.235,-51.9253,1,0,0.0,0,0,0.0
2020-02-29,brazil,,-14.235,-51.9253,2,0,0.0,1,0,0.0
2020-03-01,brazil,,-14.235,-51.9253,2,0,0.0,0,0,0.0
2020-03-02,brazil,,-14.235,-51.9253,2,0,0.0,0,0,0.0
2020-03-03,brazil,,-14.235,-51.9253,2,0,0.0,0,0,0.0
2020-03-04,brazil,,-14.235,-51.9253,4,0,0.0,2,0,0.0
2020-03-05,brazil,,-14.235,-51.9253,4,0,0.0,0,0,0.0
2020-03-06,brazil,,-14.235,-51.9253,13,0,0.0,9,0,0.0
2020-03-07,brazil,,-14.235,-51.9253,13,0,0.0,0,0,0.0
2020-03-08,brazil,,-14.235,-51.9253,20,0,0.0,7,0,0.0
2020-03-09,brazil,,-14.235,-51.9253,25,0,0.0,5,0,0.0
2020-03-10,brazil,,-14.235,-51.9253,31,0,0.0,6,0,0.0
2020-03-11,brazil,,-14.235,-51.9253,38,0,0.0,7,0,0.0
2020-03-12,brazil,,-14.235,-51.9253,52,0,0.0,14,0,0.0
2020-03-13,brazil,,-14.235,-51.9253,151,0,0.0,99,0,0.0
2020-03-14,brazil,,-14.235,-51.9253,151,0,0.0,0,0,0.0
2020-03-15,brazil,,-14.235,-51.9253,162,0,0.0,11,0,0.0
2020-03-16,brazil,,-14.235,-51.9253,200,0,1.0,38,0,1.0
2020-03-17,brazil,,-14.235,-51.9253,321,1,2.0,121,1,1.0
2020-03-18,brazil,,-14.235,-51.9253,372,3,2.0,51,2,0.0
2020-03-19,brazil,,-14.235,-51.9253,621,6,2.0,249,3,0.0
2020-03-20,brazil,,-14.235,-51.9253,793,11,2.0,172,5,0.0
2020-03-21,brazil,,-14.235,-51.9253,1021,15,2.0,228,4,0.0
