date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-01-23,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-01-24,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-01-25,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-01-26,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-01-27,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-01-28,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-01-29,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-01-30,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-01-31,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-01,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-02,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-03,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-04,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-05,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-06,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-07,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-08,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-09,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-10,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-11,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-12,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-13,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-14,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-15,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-16,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-17,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-18,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-19,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-20,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-21,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-22,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-23,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-24,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-25,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-26,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-27,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-28,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-02-29,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-03-01,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-03-02,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-03-03,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-03-04,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-03-05,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-03-06,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-03-07,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-03-08,brunei,,4.5353,114.7277,0,0,0.0,0,0,0.0
2020-03-09,brunei,,4.5353,114.7277,1,0,0.0,1,0,0.0
2020-03-10,brunei,,4.5353,114.7277,1,0,0.0,0,0,0.0
2020-03-11,brunei,,4.5353,114.7277,11,0,0.0,10,0,0.0
2020-03-12,brunei,,4.5353,114.7277,11,0,0.0,0,0,0.0
2020-03-13,brunei,,4.5353,114.7277,37,0,0.0,26,0,0.0
2020-03-14,brunei,,4.5353,114.7277,40,0,0.0,3,0,0.0
2020-03-15,brunei,,4.5353,114.7277,50,0,0.0,10,0,0.0
2020-03-16,brunei,,4.5353,114.7277,54,0,0.0,4,0,0.0
2020-03-17,brunei,,4.5353,114.7277,56,0,0.0,2,0,0.0
2020-03-18,brunei,,4.5353,114.7277,68,0,0.0,12,0,0.0
2020-03-19,brunei,,4.5353,114.7277,75,0,0.0,7,0,0.0
2020-03-20,brunei,,4.5353,114.7277,78,0,1.0,3,0,1.0
2020-03-21,brunei,,4.5353,114.7277,83,0,2.0,5,0,1.0
2020-03-22,brunei,,4.5353,114.7277,88,0,2.0,5,0,0.0
2020-03-23,brunei,,4.5353,114.7277,91,0,2.0,3,0,0.0
2020-03-24,brunei,,4.5353,114.7277,104,0,2.0,13,0,0.0
2020-03-25,brunei,,4.5353,114.7277,109,0,2.0,5,0,0.0
2020-03-26,brunei,,4.5353,114.7277,114,0,5.0,5,0,3.0
2020-03-27,brunei,,4.5353,114.7277,115,0,11.0,1,0,6.0
2020-03-28,brunei,,4.5353,114.7277,120,1,25.0,5,1,14.0
2020-03-29,brunei,,4.5353,114.7277,126,1,34.0,6,0,9.0
2020-03-30,brunei,,4.5353,114.7277,127,1,38.0,1,0,4.0
2020-03-31,brunei,,4.5353,114.7277,129,1,45.0,2,0,7.0
2020-04-01,brunei,,4.5353,114.7277,131,1,52.0,2,0,7.0
2020-04-02,brunei,,4.5353,114.7277,133,1,56.0,2,0,4.0
2020-04-03,brunei,,4.5353,114.7277,134,1,65.0,1,0,9.0
2020-04-04,brunei,,4.5353,114.7277,135,1,66.0,1,0,1.0
2020-04-05,brunei,,4.5353,114.7277,135,1,73.0,0,0,7.0
2020-04-06,brunei,,4.5353,114.7277,135,1,82.0,0,0,9.0
2020-04-07,brunei,,4.5353,114.7277,135,1,85.0,0,0,3.0
2020-04-08,brunei,,4.5353,114.7277,135,1,91.0,0,0,6.0
2020-04-09,brunei,,4.5353,114.7277,135,1,92.0,0,0,1.0
2020-04-10,brunei,,4.5353,114.7277,136,1,99.0,1,0,7.0
2020-04-11,brunei,,4.5353,114.7277,136,1,104.0,0,0,5.0
2020-04-12,brunei,,4.5353,114.7277,136,1,106.0,0,0,2.0
2020-04-13,brunei,,4.5353,114.7277,136,1,107.0,0,0,1.0
2020-04-14,brunei,,4.5353,114.7277,136,1,107.0,0,0,0.0
2020-04-15,brunei,,4.5353,114.7277,136,1,108.0,0,0,1.0
2020-04-16,brunei,,4.5353,114.7277,136,1,108.0,0,0,0.0
2020-04-17,brunei,,4.5353,114.7277,136,1,112.0,0,0,4.0
2020-04-18,brunei,,4.5353,114.7277,137,1,113.0,1,0,1.0
2020-04-19,brunei,,4.5353,114.7277,138,1,115.0,1,0,2.0
2020-04-20,brunei,,4.5353,114.7277,138,1,116.0,0,0,1.0
2020-04-21,brunei,,4.5353,114.7277,138,1,116.0,0,0,0.0
