index_x,state,country,lat,long,date,confirmed,confirmed_new,index_y,deaths,deaths_new,index,recovered,recovered_new
231,diamond-princess,canada,0.0,0.0,2020-01-22,0,0,231,0,0,0.0,0.0,0.0
489,diamond-princess,canada,0.0,0.0,2020-01-23,0,0,489,0,0,0.0,0.0,0.0
747,diamond-princess,canada,0.0,0.0,2020-01-24,0,0,747,0,0,0.0,0.0,0.0
1005,diamond-princess,canada,0.0,0.0,2020-01-25,0,0,1005,0,0,0.0,0.0,0.0
1263,diamond-princess,canada,0.0,0.0,2020-01-26,0,0,1263,0,0,0.0,0.0,0.0
1521,diamond-princess,canada,0.0,0.0,2020-01-27,0,0,1521,0,0,0.0,0.0,0.0
1779,diamond-princess,canada,0.0,0.0,2020-01-28,0,0,1779,0,0,0.0,0.0,0.0
2037,diamond-princess,canada,0.0,0.0,2020-01-29,0,0,2037,0,0,0.0,0.0,0.0
2295,diamond-princess,canada,0.0,0.0,2020-01-30,0,0,2295,0,0,0.0,0.0,0.0
2553,diamond-princess,canada,0.0,0.0,2020-01-31,0,0,2553,0,0,0.0,0.0,0.0
2811,diamond-princess,canada,0.0,0.0,2020-02-01,0,0,2811,0,0,0.0,0.0,0.0
3069,diamond-princess,canada,0.0,0.0,2020-02-02,0,0,3069,0,0,0.0,0.0,0.0
3327,diamond-princess,canada,0.0,0.0,2020-02-03,0,0,3327,0,0,0.0,0.0,0.0
3585,diamond-princess,canada,0.0,0.0,2020-02-04,0,0,3585,0,0,0.0,0.0,0.0
3843,diamond-princess,canada,0.0,0.0,2020-02-05,0,0,3843,0,0,0.0,0.0,0.0
4101,diamond-princess,canada,0.0,0.0,2020-02-06,0,0,4101,0,0,0.0,0.0,0.0
4359,diamond-princess,canada,0.0,0.0,2020-02-07,0,0,4359,0,0,0.0,0.0,0.0
4617,diamond-princess,canada,0.0,0.0,2020-02-08,0,0,4617,0,0,0.0,0.0,0.0
4875,diamond-princess,canada,0.0,0.0,2020-02-09,0,0,4875,0,0,0.0,0.0,0.0
5133,diamond-princess,canada,0.0,0.0,2020-02-10,0,0,5133,0,0,0.0,0.0,0.0
5391,diamond-princess,canada,0.0,0.0,2020-02-11,0,0,5391,0,0,0.0,0.0,0.0
5649,diamond-princess,canada,0.0,0.0,2020-02-12,0,0,5649,0,0,0.0,0.0,0.0
5907,diamond-princess,canada,0.0,0.0,2020-02-13,0,0,5907,0,0,0.0,0.0,0.0
6165,diamond-princess,canada,0.0,0.0,2020-02-14,0,0,6165,0,0,0.0,0.0,0.0
6423,diamond-princess,canada,0.0,0.0,2020-02-15,0,0,6423,0,0,0.0,0.0,0.0
6681,diamond-princess,canada,0.0,0.0,2020-02-16,0,0,6681,0,0,0.0,0.0,0.0
6939,diamond-princess,canada,0.0,0.0,2020-02-17,0,0,6939,0,0,0.0,0.0,0.0
7197,diamond-princess,canada,0.0,0.0,2020-02-18,0,0,7197,0,0,0.0,0.0,0.0
7455,diamond-princess,canada,0.0,0.0,2020-02-19,0,0,7455,0,0,0.0,0.0,0.0
7713,diamond-princess,canada,0.0,0.0,2020-02-20,0,0,7713,0,0,0.0,0.0,0.0
7971,diamond-princess,canada,0.0,0.0,2020-02-21,0,0,7971,0,0,0.0,0.0,0.0
8229,diamond-princess,canada,0.0,0.0,2020-02-22,0,0,8229,0,0,0.0,0.0,0.0
8487,diamond-princess,canada,0.0,0.0,2020-02-23,0,0,8487,0,0,0.0,0.0,0.0
8745,diamond-princess,canada,0.0,0.0,2020-02-24,0,0,8745,0,0,0.0,0.0,0.0
9003,diamond-princess,canada,0.0,0.0,2020-02-25,0,0,9003,0,0,0.0,0.0,0.0
9261,diamond-princess,canada,0.0,0.0,2020-02-26,0,0,9261,0,0,0.0,0.0,0.0
9519,diamond-princess,canada,0.0,0.0,2020-02-27,0,0,9519,0,0,0.0,0.0,0.0
9777,diamond-princess,canada,0.0,0.0,2020-02-28,0,0,9777,0,0,0.0,0.0,0.0
10035,diamond-princess,canada,0.0,0.0,2020-02-29,0,0,10035,0,0,0.0,0.0,0.0
10293,diamond-princess,canada,0.0,0.0,2020-03-01,0,0,10293,0,0,0.0,0.0,0.0
10551,diamond-princess,canada,0.0,0.0,2020-03-02,0,0,10551,0,0,0.0,0.0,0.0
10809,diamond-princess,canada,0.0,0.0,2020-03-03,0,0,10809,0,0,0.0,0.0,0.0
11067,diamond-princess,canada,0.0,0.0,2020-03-04,0,0,11067,0,0,0.0,0.0,0.0
11325,diamond-princess,canada,0.0,0.0,2020-03-05,0,0,11325,0,0,0.0,0.0,0.0
11583,diamond-princess,canada,0.0,0.0,2020-03-06,0,0,11583,0,0,0.0,0.0,0.0
11841,diamond-princess,canada,0.0,0.0,2020-03-07,0,0,11841,0,0,0.0,0.0,0.0
12099,diamond-princess,canada,0.0,0.0,2020-03-08,0,0,12099,0,0,0.0,0.0,0.0
12357,diamond-princess,canada,0.0,0.0,2020-03-09,0,0,12357,0,0,0.0,0.0,0.0
12615,diamond-princess,canada,0.0,0.0,2020-03-10,0,0,12615,0,0,0.0,0.0,0.0
12873,diamond-princess,canada,0.0,0.0,2020-03-11,0,0,12873,0,0,0.0,0.0,0.0
13131,diamond-princess,canada,0.0,0.0,2020-03-12,0,0,13131,0,0,0.0,0.0,0.0
13389,diamond-princess,canada,0.0,0.0,2020-03-13,0,0,13389,0,0,0.0,0.0,0.0
13647,diamond-princess,canada,0.0,0.0,2020-03-14,0,0,13647,0,0,0.0,0.0,0.0
13905,diamond-princess,canada,0.0,0.0,2020-03-15,0,0,13905,0,0,0.0,0.0,0.0
14163,diamond-princess,canada,0.0,0.0,2020-03-16,0,0,14163,0,0,0.0,0.0,0.0
14421,diamond-princess,canada,0.0,0.0,2020-03-17,0,0,14421,0,0,0.0,0.0,0.0
14679,diamond-princess,canada,0.0,0.0,2020-03-18,0,0,14679,0,0,0.0,0.0,0.0
14937,diamond-princess,canada,0.0,0.0,2020-03-19,0,0,14937,0,0,0.0,0.0,0.0
15195,diamond-princess,canada,0.0,0.0,2020-03-20,0,0,15195,0,0,0.0,0.0,0.0
15453,diamond-princess,canada,0.0,0.0,2020-03-21,0,0,15453,0,0,0.0,0.0,0.0
15711,diamond-princess,canada,0.0,0.0,2020-03-22,0,0,15711,1,1,0.0,0.0,0.0
15969,diamond-princess,canada,0.0,0.0,2020-03-23,0,0,15969,1,0,0.0,0.0,0.0
16227,diamond-princess,canada,0.0,0.0,2020-03-24,0,0,16227,1,0,0.0,0.0,0.0
16485,diamond-princess,canada,0.0,0.0,2020-03-25,0,0,16485,1,0,0.0,0.0,0.0
16743,diamond-princess,canada,0.0,0.0,2020-03-26,0,0,16743,1,0,0.0,0.0,0.0
17001,diamond-princess,canada,0.0,0.0,2020-03-27,0,0,17001,1,0,0.0,0.0,0.0
17259,diamond-princess,canada,0.0,0.0,2020-03-28,0,0,17259,1,0,0.0,0.0,0.0
17517,diamond-princess,canada,0.0,0.0,2020-03-29,0,0,17517,1,0,0.0,0.0,0.0
17775,diamond-princess,canada,0.0,0.0,2020-03-30,0,0,17775,1,0,0.0,0.0,0.0
18033,diamond-princess,canada,0.0,0.0,2020-03-31,0,0,18033,1,0,0.0,0.0,0.0
18291,diamond-princess,canada,0.0,0.0,2020-04-01,0,0,18291,1,0,0.0,0.0,0.0
18549,diamond-princess,canada,0.0,0.0,2020-04-02,0,0,18549,1,0,0.0,0.0,0.0
