index_x,state,country,lat,long,date,confirmed,confirmed_new,index_y,deaths,deaths_new,index,recovered,recovered_new
245,northwest-territories,canada,64.8255,-124.8457,2020-01-22,0,0,245,0,0,0.0,0.0,0.0
503,northwest-territories,canada,64.8255,-124.8457,2020-01-23,0,0,503,0,0,0.0,0.0,0.0
761,northwest-territories,canada,64.8255,-124.8457,2020-01-24,0,0,761,0,0,0.0,0.0,0.0
1019,northwest-territories,canada,64.8255,-124.8457,2020-01-25,0,0,1019,0,0,0.0,0.0,0.0
1277,northwest-territories,canada,64.8255,-124.8457,2020-01-26,0,0,1277,0,0,0.0,0.0,0.0
1535,northwest-territories,canada,64.8255,-124.8457,2020-01-27,0,0,1535,0,0,0.0,0.0,0.0
1793,northwest-territories,canada,64.8255,-124.8457,2020-01-28,0,0,1793,0,0,0.0,0.0,0.0
2051,northwest-territories,canada,64.8255,-124.8457,2020-01-29,0,0,2051,0,0,0.0,0.0,0.0
2309,northwest-territories,canada,64.8255,-124.8457,2020-01-30,0,0,2309,0,0,0.0,0.0,0.0
2567,northwest-territories,canada,64.8255,-124.8457,2020-01-31,0,0,2567,0,0,0.0,0.0,0.0
2825,northwest-territories,canada,64.8255,-124.8457,2020-02-01,0,0,2825,0,0,0.0,0.0,0.0
3083,northwest-territories,canada,64.8255,-124.8457,2020-02-02,0,0,3083,0,0,0.0,0.0,0.0
3341,northwest-territories,canada,64.8255,-124.8457,2020-02-03,0,0,3341,0,0,0.0,0.0,0.0
3599,northwest-territories,canada,64.8255,-124.8457,2020-02-04,0,0,3599,0,0,0.0,0.0,0.0
3857,northwest-territories,canada,64.8255,-124.8457,2020-02-05,0,0,3857,0,0,0.0,0.0,0.0
4115,northwest-territories,canada,64.8255,-124.8457,2020-02-06,0,0,4115,0,0,0.0,0.0,0.0
4373,northwest-territories,canada,64.8255,-124.8457,2020-02-07,0,0,4373,0,0,0.0,0.0,0.0
4631,northwest-territories,canada,64.8255,-124.8457,2020-02-08,0,0,4631,0,0,0.0,0.0,0.0
4889,northwest-territories,canada,64.8255,-124.8457,2020-02-09,0,0,4889,0,0,0.0,0.0,0.0
5147,northwest-territories,canada,64.8255,-124.8457,2020-02-10,0,0,5147,0,0,0.0,0.0,0.0
5405,northwest-territories,canada,64.8255,-124.8457,2020-02-11,0,0,5405,0,0,0.0,0.0,0.0
5663,northwest-territories,canada,64.8255,-124.8457,2020-02-12,0,0,5663,0,0,0.0,0.0,0.0
5921,northwest-territories,canada,64.8255,-124.8457,2020-02-13,0,0,5921,0,0,0.0,0.0,0.0
6179,northwest-territories,canada,64.8255,-124.8457,2020-02-14,0,0,6179,0,0,0.0,0.0,0.0
6437,northwest-territories,canada,64.8255,-124.8457,2020-02-15,0,0,6437,0,0,0.0,0.0,0.0
6695,northwest-territories,canada,64.8255,-124.8457,2020-02-16,0,0,6695,0,0,0.0,0.0,0.0
6953,northwest-territories,canada,64.8255,-124.8457,2020-02-17,0,0,6953,0,0,0.0,0.0,0.0
7211,northwest-territories,canada,64.8255,-124.8457,2020-02-18,0,0,7211,0,0,0.0,0.0,0.0
7469,northwest-territories,canada,64.8255,-124.8457,2020-02-19,0,0,7469,0,0,0.0,0.0,0.0
7727,northwest-territories,canada,64.8255,-124.8457,2020-02-20,0,0,7727,0,0,0.0,0.0,0.0
7985,northwest-territories,canada,64.8255,-124.8457,2020-02-21,0,0,7985,0,0,0.0,0.0,0.0
8243,northwest-territories,canada,64.8255,-124.8457,2020-02-22,0,0,8243,0,0,0.0,0.0,0.0
8501,northwest-territories,canada,64.8255,-124.8457,2020-02-23,0,0,8501,0,0,0.0,0.0,0.0
8759,northwest-territories,canada,64.8255,-124.8457,2020-02-24,0,0,8759,0,0,0.0,0.0,0.0
9017,northwest-territories,canada,64.8255,-124.8457,2020-02-25,0,0,9017,0,0,0.0,0.0,0.0
9275,northwest-territories,canada,64.8255,-124.8457,2020-02-26,0,0,9275,0,0,0.0,0.0,0.0
