date,country,state,lat,long,confirmed,confirmed_new,deaths,deaths_new,recovered,recovered_new
2020-01-22,canada,ontario,51.2538,-85.3232,0,0,0,0,0.0,0.0
2020-01-23,canada,ontario,51.2538,-85.3232,0,0,0,0,0.0,0.0
2020-01-24,canada,ontario,51.2538,-85.3232,0,0,0,0,0.0,0.0
2020-01-25,canada,ontario,51.2538,-85.3232,0,0,0,0,0.0,0.0
2020-01-26,canada,ontario,51.2538,-85.3232,1,1,0,0,0.0,0.0
2020-01-27,canada,ontario,51.2538,-85.3232,1,0,0,0,0.0,0.0
2020-01-28,canada,ontario,51.2538,-85.3232,1,0,0,0,0.0,0.0
2020-01-29,canada,ontario,51.2538,-85.3232,1,0,0,0,0.0,0.0
2020-01-30,canada,ontario,51.2538,-85.3232,1,0,0,0,0.0,0.0
2020-01-31,canada,ontario,51.2538,-85.3232,3,2,0,0,0.0,0.0
2020-02-01,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-02,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-03,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-04,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-05,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-06,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-07,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-08,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-09,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-10,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-11,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-12,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-13,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-14,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-15,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-16,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-17,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-18,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-19,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-20,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-21,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-22,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-23,canada,ontario,51.2538,-85.3232,3,0,0,0,0.0,0.0
2020-02-24,canada,ontario,51.2538,-85.3232,4,1,0,0,0.0,0.0
2020-02-25,canada,ontario,51.2538,-85.3232,4,0,0,0,0.0,0.0
2020-02-26,canada,ontario,51.2538,-85.3232,4,0,0,0,0.0,0.0
2020-02-27,canada,ontario,51.2538,-85.3232,6,2,0,0,0.0,0.0
2020-02-28,canada,ontario,51.2538,-85.3232,6,0,0,0,0.0,0.0
2020-02-29,canada,ontario,51.2538,-85.3232,11,5,0,0,0.0,0.0
2020-03-01,canada,ontario,51.2538,-85.3232,15,4,0,0,0.0,0.0
2020-03-02,canada,ontario,51.2538,-85.3232,18,3,0,0,0.0,0.0
2020-03-03,canada,ontario,51.2538,-85.3232,20,2,0,0,0.0,0.0
2020-03-04,canada,ontario,51.2538,-85.3232,20,0,0,0,0.0,0.0
2020-03-05,canada,ontario,51.2538,-85.3232,22,2,0,0,0.0,0.0
2020-03-06,canada,ontario,51.2538,-85.3232,25,3,0,0,0.0,0.0
2020-03-07,canada,ontario,51.2538,-85.3232,28,3,0,0,0.0,0.0
2020-03-08,canada,ontario,51.2538,-85.3232,29,1,0,0,0.0,0.0
