date,country,state,lat,long,confirmed,confirmed_new,deaths,deaths_new,recovered,recovered_new
2020-01-22,china,anhui,31.8257,117.2264,1,1,0,0,0.0,0.0
2020-01-23,china,anhui,31.8257,117.2264,9,8,0,0,0.0,0.0
2020-01-24,china,anhui,31.8257,117.2264,15,6,0,0,0.0,0.0
2020-01-25,china,anhui,31.8257,117.2264,39,24,0,0,0.0,0.0
2020-01-26,china,anhui,31.8257,117.2264,60,21,0,0,0.0,0.0
2020-01-27,china,anhui,31.8257,117.2264,70,10,0,0,0.0,0.0
2020-01-28,china,anhui,31.8257,117.2264,106,36,0,0,0.0,0.0
2020-01-29,china,anhui,31.8257,117.2264,152,46,0,0,2.0,2.0
2020-01-30,china,anhui,31.8257,117.2264,200,48,0,0,2.0,0.0
2020-01-31,china,anhui,31.8257,117.2264,237,37,0,0,3.0,1.0
2020-02-01,china,anhui,31.8257,117.2264,297,60,0,0,5.0,2.0
2020-02-02,china,anhui,31.8257,117.2264,340,43,0,0,7.0,2.0
2020-02-03,china,anhui,31.8257,117.2264,408,68,0,0,14.0,7.0
2020-02-04,china,anhui,31.8257,117.2264,480,72,0,0,20.0,6.0
2020-02-05,china,anhui,31.8257,117.2264,530,50,0,0,23.0,3.0
2020-02-06,china,anhui,31.8257,117.2264,591,61,0,0,34.0,11.0
2020-02-07,china,anhui,31.8257,117.2264,665,74,0,0,47.0,13.0
2020-02-08,china,anhui,31.8257,117.2264,733,68,0,0,59.0,12.0
2020-02-09,china,anhui,31.8257,117.2264,779,46,1,1,72.0,13.0
2020-02-10,china,anhui,31.8257,117.2264,830,51,3,2,88.0,16.0
2020-02-11,china,anhui,31.8257,117.2264,860,30,4,1,105.0,17.0
2020-02-12,china,anhui,31.8257,117.2264,889,29,4,0,127.0,22.0
2020-02-13,china,anhui,31.8257,117.2264,910,21,5,1,157.0,30.0
2020-02-14,china,anhui,31.8257,117.2264,934,24,6,1,193.0,36.0
2020-02-15,china,anhui,31.8257,117.2264,950,16,6,0,221.0,28.0
2020-02-16,china,anhui,31.8257,117.2264,962,12,6,0,255.0,34.0
2020-02-17,china,anhui,31.8257,117.2264,973,11,6,0,280.0,25.0
2020-02-18,china,anhui,31.8257,117.2264,982,9,6,0,361.0,81.0
2020-02-19,china,anhui,31.8257,117.2264,986,4,6,0,413.0,52.0
2020-02-20,china,anhui,31.8257,117.2264,987,1,6,0,474.0,61.0
2020-02-21,china,anhui,31.8257,117.2264,988,1,6,0,539.0,65.0
2020-02-22,china,anhui,31.8257,117.2264,989,1,6,0,597.0,58.0
2020-02-23,china,anhui,31.8257,117.2264,989,0,6,0,637.0,40.0
2020-02-24,china,anhui,31.8257,117.2264,989,0,6,0,663.0,26.0
2020-02-25,china,anhui,31.8257,117.2264,989,0,6,0,712.0,49.0
2020-02-26,china,anhui,31.8257,117.2264,989,0,6,0,744.0,32.0
2020-02-27,china,anhui,31.8257,117.2264,989,0,6,0,792.0,48.0
2020-02-28,china,anhui,31.8257,117.2264,990,1,6,0,821.0,29.0
2020-02-29,china,anhui,31.8257,117.2264,990,0,6,0,868.0,47.0
2020-03-01,china,anhui,31.8257,117.2264,990,0,6,0,873.0,5.0
2020-03-02,china,anhui,31.8257,117.2264,990,0,6,0,917.0,44.0
2020-03-03,china,anhui,31.8257,117.2264,990,0,6,0,936.0,19.0
2020-03-04,china,anhui,31.8257,117.2264,990,0,6,0,956.0,20.0
2020-03-05,china,anhui,31.8257,117.2264,990,0,6,0,970.0,14.0
2020-03-06,china,anhui,31.8257,117.2264,990,0,6,0,979.0,9.0
2020-03-07,china,anhui,31.8257,117.2264,990,0,6,0,979.0,0.0
2020-03-08,china,anhui,31.8257,117.2264,990,0,6,0,984.0,5.0
2020-03-09,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-10,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-11,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-12,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-13,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-14,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-15,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-16,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-17,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-18,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-19,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-20,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-21,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-22,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-23,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-24,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-25,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-26,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-27,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-28,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-29,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-30,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-03-31,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-04-01,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-04-02,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-04-03,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-04-04,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-04-05,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-04-06,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-04-07,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-04-08,china,anhui,31.8257,117.2264,990,0,6,0,984.0,0.0
2020-04-09,china,anhui,31.8257,117.2264,991,1,6,0,984.0,0.0
2020-04-10,china,anhui,31.8257,117.2264,991,0,6,0,984.0,0.0
2020-04-11,china,anhui,31.8257,117.2264,991,0,6,0,984.0,0.0
2020-04-12,china,anhui,31.8257,117.2264,991,0,6,0,984.0,0.0
2020-04-13,china,anhui,31.8257,117.2264,991,0,6,0,984.0,0.0
2020-04-14,china,anhui,31.8257,117.2264,991,0,6,0,984.0,0.0
