index_x,state,country,lat,long,date,confirmed,confirmed_new,index_y,deaths,deaths_new,index,recovered,recovered_new
51,chongqing,china,30.0572,107.874,2020-01-22,6,6,51,0,0,42.0,0.0,0.0
309,chongqing,china,30.0572,107.874,2020-01-23,9,3,309,0,0,286.0,0.0,0.0
567,chongqing,china,30.0572,107.874,2020-01-24,27,18,567,0,0,530.0,0.0,0.0
825,chongqing,china,30.0572,107.874,2020-01-25,57,30,825,0,0,774.0,0.0,0.0
1083,chongqing,china,30.0572,107.874,2020-01-26,75,18,1083,0,0,1018.0,0.0,0.0
1341,chongqing,china,30.0572,107.874,2020-01-27,110,35,1341,0,0,1262.0,0.0,0.0
1599,chongqing,china,30.0572,107.874,2020-01-28,132,22,1599,0,0,1506.0,0.0,0.0
1857,chongqing,china,30.0572,107.874,2020-01-29,147,15,1857,0,0,1750.0,1.0,1.0
2115,chongqing,china,30.0572,107.874,2020-01-30,182,35,2115,0,0,1994.0,1.0,0.0
2373,chongqing,china,30.0572,107.874,2020-01-31,211,29,2373,0,0,2238.0,1.0,0.0
2631,chongqing,china,30.0572,107.874,2020-02-01,247,36,2631,1,1,2482.0,3.0,2.0
2889,chongqing,china,30.0572,107.874,2020-02-02,300,53,2889,2,1,2726.0,7.0,4.0
3147,chongqing,china,30.0572,107.874,2020-02-03,337,37,3147,2,0,2970.0,9.0,2.0
3405,chongqing,china,30.0572,107.874,2020-02-04,366,29,3405,2,0,3214.0,9.0,0.0
3663,chongqing,china,30.0572,107.874,2020-02-05,389,23,3663,2,0,3458.0,15.0,6.0
3921,chongqing,china,30.0572,107.874,2020-02-06,411,22,3921,2,0,3702.0,24.0,9.0
4179,chongqing,china,30.0572,107.874,2020-02-07,426,15,4179,2,0,3946.0,31.0,7.0
4437,chongqing,china,30.0572,107.874,2020-02-08,428,2,4437,2,0,4190.0,39.0,8.0
4695,chongqing,china,30.0572,107.874,2020-02-09,468,40,4695,2,0,4434.0,51.0,12.0
4953,chongqing,china,30.0572,107.874,2020-02-10,486,18,4953,2,0,4678.0,66.0,15.0
5211,chongqing,china,30.0572,107.874,2020-02-11,505,19,5211,3,1,4922.0,79.0,13.0
5469,chongqing,china,30.0572,107.874,2020-02-12,518,13,5469,3,0,5166.0,102.0,23.0
5727,chongqing,china,30.0572,107.874,2020-02-13,529,11,5727,4,1,5410.0,128.0,26.0
5985,chongqing,china,30.0572,107.874,2020-02-14,537,8,5985,5,1,5654.0,152.0,24.0
6243,chongqing,china,30.0572,107.874,2020-02-15,544,7,6243,5,0,5898.0,184.0,32.0
6501,chongqing,china,30.0572,107.874,2020-02-16,551,7,6501,5,0,6142.0,207.0,23.0
6759,chongqing,china,30.0572,107.874,2020-02-17,553,2,6759,5,0,6386.0,225.0,18.0
7017,chongqing,china,30.0572,107.874,2020-02-18,555,2,7017,5,0,6630.0,254.0,29.0
7275,chongqing,china,30.0572,107.874,2020-02-19,560,5,7275,5,0,6874.0,274.0,20.0
7533,chongqing,china,30.0572,107.874,2020-02-20,567,7,7533,6,1,7118.0,299.0,25.0
