index_x,state,country,lat,long,date,confirmed,confirmed_new,index_y,deaths,deaths_new,index,recovered,recovered_new
54,guangdong,china,23.3417,113.4244,2020-01-22,26,26,54,0,0,45.0,0.0,0.0
312,guangdong,china,23.3417,113.4244,2020-01-23,32,6,312,0,0,289.0,2.0,2.0
570,guangdong,china,23.3417,113.4244,2020-01-24,53,21,570,0,0,533.0,2.0,0.0
828,guangdong,china,23.3417,113.4244,2020-01-25,78,25,828,0,0,777.0,2.0,0.0
1086,guangdong,china,23.3417,113.4244,2020-01-26,111,33,1086,0,0,1021.0,2.0,0.0
1344,guangdong,china,23.3417,113.4244,2020-01-27,151,40,1344,0,0,1265.0,4.0,2.0
1602,guangdong,china,23.3417,113.4244,2020-01-28,207,56,1602,0,0,1509.0,4.0,0.0
1860,guangdong,china,23.3417,113.4244,2020-01-29,277,70,1860,0,0,1753.0,5.0,1.0
2118,guangdong,china,23.3417,113.4244,2020-01-30,354,77,2118,0,0,1997.0,10.0,5.0
2376,guangdong,china,23.3417,113.4244,2020-01-31,436,82,2376,0,0,2241.0,11.0,1.0
2634,guangdong,china,23.3417,113.4244,2020-02-01,535,99,2634,0,0,2485.0,14.0,3.0
2892,guangdong,china,23.3417,113.4244,2020-02-02,632,97,2892,0,0,2729.0,15.0,1.0
3150,guangdong,china,23.3417,113.4244,2020-02-03,725,93,3150,0,0,2973.0,21.0,6.0
3408,guangdong,china,23.3417,113.4244,2020-02-04,813,88,3408,0,0,3217.0,30.0,9.0
3666,guangdong,china,23.3417,113.4244,2020-02-05,895,82,3666,0,0,3461.0,49.0,19.0
3924,guangdong,china,23.3417,113.4244,2020-02-06,970,75,3924,0,0,3705.0,69.0,20.0
4182,guangdong,china,23.3417,113.4244,2020-02-07,1034,64,4182,1,1,3949.0,88.0,19.0
4440,guangdong,china,23.3417,113.4244,2020-02-08,1095,61,4440,1,0,4193.0,112.0,24.0
4698,guangdong,china,23.3417,113.4244,2020-02-09,1131,36,4698,1,0,4437.0,141.0,29.0
4956,guangdong,china,23.3417,113.4244,2020-02-10,1159,28,4956,1,0,4681.0,167.0,26.0
5214,guangdong,china,23.3417,113.4244,2020-02-11,1177,18,5214,1,0,4925.0,212.0,45.0
5472,guangdong,china,23.3417,113.4244,2020-02-12,1219,42,5472,1,0,5169.0,275.0,63.0
5730,guangdong,china,23.3417,113.4244,2020-02-13,1241,22,5730,2,1,5413.0,314.0,39.0
5988,guangdong,china,23.3417,113.4244,2020-02-14,1261,20,5988,2,0,5657.0,362.0,48.0
6246,guangdong,china,23.3417,113.4244,2020-02-15,1294,33,6246,2,0,5901.0,410.0,48.0
6504,guangdong,china,23.3417,113.4244,2020-02-16,1316,22,6504,2,0,6145.0,465.0,55.0
6762,guangdong,china,23.3417,113.4244,2020-02-17,1322,6,6762,4,2,6389.0,524.0,59.0
7020,guangdong,china,23.3417,113.4244,2020-02-18,1328,6,7020,4,0,6633.0,565.0,41.0
7278,guangdong,china,23.3417,113.4244,2020-02-19,1331,3,7278,5,1,6877.0,606.0,41.0
7536,guangdong,china,23.3417,113.4244,2020-02-20,1332,1,7536,5,0,7121.0,642.0,36.0
7794,guangdong,china,23.3417,113.4244,2020-02-21,1333,1,7794,5,0,7365.0,690.0,48.0
8052,guangdong,china,23.3417,113.4244,2020-02-22,1339,6,8052,5,0,7609.0,728.0,38.0
8310,guangdong,china,23.3417,113.4244,2020-02-23,1342,3,8310,6,1,7853.0,755.0,27.0
8568,guangdong,china,23.3417,113.4244,2020-02-24,1345,3,8568,6,0,8097.0,786.0,31.0
8826,guangdong,china,23.3417,113.4244,2020-02-25,1347,2,8826,7,1,8341.0,822.0,36.0
9084,guangdong,china,23.3417,113.4244,2020-02-26,1347,0,9084,7,0,8585.0,851.0,29.0
9342,guangdong,china,23.3417,113.4244,2020-02-27,1347,0,9342,7,0,8829.0,890.0,39.0
9600,guangdong,china,23.3417,113.4244,2020-02-28,1348,1,9600,7,0,9073.0,935.0,45.0
9858,guangdong,china,23.3417,113.4244,2020-02-29,1349,1,9858,7,0,9317.0,983.0,48.0
10116,guangdong,china,23.3417,113.4244,2020-03-01,1349,0,10116,7,0,9561.0,1016.0,33.0
10374,guangdong,china,23.3417,113.4244,2020-03-02,1350,1,10374,7,0,9805.0,1059.0,43.0
10632,guangdong,china,23.3417,113.4244,2020-03-03,1350,0,10632,7,0,10049.0,1101.0,42.0
10890,guangdong,china,23.3417,113.4244,2020-03-04,1350,0,10890,7,0,10293.0,1133.0,32.0
11148,guangdong,china,23.3417,113.4244,2020-03-05,1351,1,11148,7,0,10537.0,1181.0,48.0
11406,guangdong,china,23.3417,113.4244,2020-03-06,1352,1,11406,7,0,10781.0,1216.0,35.0
11664,guangdong,china,23.3417,113.4244,2020-03-07,1352,0,11664,7,0,11025.0,1237.0,21.0
11922,guangdong,china,23.3417,113.4244,2020-03-08,1352,0,11922,7,0,11269.0,1256.0,19.0
12180,guangdong,china,23.3417,113.4244,2020-03-09,1352,0,12180,8,1,11513.0,1260.0,4.0
12438,guangdong,china,23.3417,113.4244,2020-03-10,1353,1,12438,8,0,11757.0,1274.0,14.0
12696,guangdong,china,23.3417,113.4244,2020-03-11,1356,3,12696,8,0,12001.0,1282.0,8.0
12954,guangdong,china,23.3417,113.4244,2020-03-12,1356,0,12954,8,0,12245.0,1289.0,7.0
13212,guangdong,china,23.3417,113.4244,2020-03-13,1356,0,13212,8,0,12489.0,1296.0,7.0
13470,guangdong,china,23.3417,113.4244,2020-03-14,1356,0,13470,8,0,12733.0,1299.0,3.0
13728,guangdong,china,23.3417,113.4244,2020-03-15,1360,4,13728,8,0,12977.0,1304.0,5.0
