index_x,state,country,lat,long,date,confirmed,confirmed_new,index_y,deaths,deaths_new,index,recovered,recovered_new
55,guangxi,china,23.8298,108.7881,2020-01-22,2,2,55,0,0,46.0,0.0,0.0
313,guangxi,china,23.8298,108.7881,2020-01-23,5,3,313,0,0,290.0,0.0,0.0
571,guangxi,china,23.8298,108.7881,2020-01-24,23,18,571,0,0,534.0,0.0,0.0
829,guangxi,china,23.8298,108.7881,2020-01-25,23,0,829,0,0,778.0,0.0,0.0
1087,guangxi,china,23.8298,108.7881,2020-01-26,36,13,1087,0,0,1022.0,0.0,0.0
1345,guangxi,china,23.8298,108.7881,2020-01-27,46,10,1345,0,0,1266.0,0.0,0.0
1603,guangxi,china,23.8298,108.7881,2020-01-28,51,5,1603,0,0,1510.0,2.0,2.0
1861,guangxi,china,23.8298,108.7881,2020-01-29,58,7,1861,0,0,1754.0,2.0,0.0
2119,guangxi,china,23.8298,108.7881,2020-01-30,78,20,2119,0,0,1998.0,2.0,0.0
2377,guangxi,china,23.8298,108.7881,2020-01-31,87,9,2377,0,0,2242.0,2.0,0.0
2635,guangxi,china,23.8298,108.7881,2020-02-01,100,13,2635,0,0,2486.0,2.0,0.0
2893,guangxi,china,23.8298,108.7881,2020-02-02,111,11,2893,0,0,2730.0,2.0,0.0
3151,guangxi,china,23.8298,108.7881,2020-02-03,127,16,3151,0,0,2974.0,7.0,5.0
3409,guangxi,china,23.8298,108.7881,2020-02-04,139,12,3409,0,0,3218.0,10.0,3.0
3667,guangxi,china,23.8298,108.7881,2020-02-05,150,11,3667,0,0,3462.0,13.0,3.0
3925,guangxi,china,23.8298,108.7881,2020-02-06,168,18,3925,0,0,3706.0,14.0,1.0
4183,guangxi,china,23.8298,108.7881,2020-02-07,172,4,4183,0,0,3950.0,17.0,3.0
4441,guangxi,china,23.8298,108.7881,2020-02-08,183,11,4441,0,0,4194.0,17.0,0.0
4699,guangxi,china,23.8298,108.7881,2020-02-09,195,12,4699,1,1,4438.0,18.0,1.0
4957,guangxi,china,23.8298,108.7881,2020-02-10,210,15,4957,1,0,4682.0,24.0,6.0
5215,guangxi,china,23.8298,108.7881,2020-02-11,215,5,5215,1,0,4926.0,33.0,9.0
5473,guangxi,china,23.8298,108.7881,2020-02-12,222,7,5473,1,0,5170.0,32.0,-1.0
5731,guangxi,china,23.8298,108.7881,2020-02-13,222,0,5731,2,1,5414.0,33.0,1.0
5989,guangxi,china,23.8298,108.7881,2020-02-14,226,4,5989,2,0,5658.0,36.0,3.0
6247,guangxi,china,23.8298,108.7881,2020-02-15,235,9,6247,2,0,5902.0,44.0,8.0
6505,guangxi,china,23.8298,108.7881,2020-02-16,237,2,6505,2,0,6146.0,49.0,5.0
6763,guangxi,china,23.8298,108.7881,2020-02-17,238,1,6763,2,0,6390.0,53.0,4.0
7021,guangxi,china,23.8298,108.7881,2020-02-18,242,4,7021,2,0,6634.0,69.0,16.0
7279,guangxi,china,23.8298,108.7881,2020-02-19,244,2,7279,2,0,6878.0,86.0,17.0
7537,guangxi,china,23.8298,108.7881,2020-02-20,245,1,7537,2,0,7122.0,90.0,4.0
7795,guangxi,china,23.8298,108.7881,2020-02-21,246,1,7795,2,0,7366.0,97.0,7.0
8053,guangxi,china,23.8298,108.7881,2020-02-22,249,3,8053,2,0,7610.0,104.0,7.0
8311,guangxi,china,23.8298,108.7881,2020-02-23,249,0,8311,2,0,7854.0,106.0,2.0
8569,guangxi,china,23.8298,108.7881,2020-02-24,251,2,8569,2,0,8098.0,112.0,6.0
8827,guangxi,china,23.8298,108.7881,2020-02-25,252,1,8827,2,0,8342.0,134.0,22.0
9085,guangxi,china,23.8298,108.7881,2020-02-26,252,0,9085,2,0,8586.0,147.0,13.0
9343,guangxi,china,23.8298,108.7881,2020-02-27,252,0,9343,2,0,8830.0,161.0,14.0
9601,guangxi,china,23.8298,108.7881,2020-02-28,252,0,9601,2,0,9074.0,168.0,7.0
9859,guangxi,china,23.8298,108.7881,2020-02-29,252,0,9859,2,0,9318.0,176.0,8.0
10117,guangxi,china,23.8298,108.7881,2020-03-01,252,0,10117,2,0,9562.0,181.0,5.0
10375,guangxi,china,23.8298,108.7881,2020-03-02,252,0,10375,2,0,9806.0,192.0,11.0
10633,guangxi,china,23.8298,108.7881,2020-03-03,252,0,10633,2,0,10050.0,202.0,10.0
10891,guangxi,china,23.8298,108.7881,2020-03-04,252,0,10891,2,0,10294.0,210.0,8.0
11149,guangxi,china,23.8298,108.7881,2020-03-05,252,0,11149,2,0,10538.0,214.0,4.0
11407,guangxi,china,23.8298,108.7881,2020-03-06,252,0,11407,2,0,10782.0,217.0,3.0
11665,guangxi,china,23.8298,108.7881,2020-03-07,252,0,11665,2,0,11026.0,218.0,1.0
11923,guangxi,china,23.8298,108.7881,2020-03-08,252,0,11923,2,0,11270.0,223.0,5.0
12181,guangxi,china,23.8298,108.7881,2020-03-09,252,0,12181,2,0,11514.0,230.0,7.0
12439,guangxi,china,23.8298,108.7881,2020-03-10,252,0,12439,2,0,11758.0,234.0,4.0
12697,guangxi,china,23.8298,108.7881,2020-03-11,252,0,12697,2,0,12002.0,238.0,4.0
12955,guangxi,china,23.8298,108.7881,2020-03-12,252,0,12955,2,0,12246.0,241.0,3.0
13213,guangxi,china,23.8298,108.7881,2020-03-13,252,0,13213,2,0,12490.0,243.0,2.0
13471,guangxi,china,23.8298,108.7881,2020-03-14,252,0,13471,2,0,12734.0,243.0,0.0
13729,guangxi,china,23.8298,108.7881,2020-03-15,252,0,13729,2,0,12978.0,243.0,0.0
13987,guangxi,china,23.8298,108.7881,2020-03-16,252,0,13987,2,0,13222.0,248.0,5.0
14245,guangxi,china,23.8298,108.7881,2020-03-17,253,1,14245,2,0,13466.0,248.0,0.0
14503,guangxi,china,23.8298,108.7881,2020-03-18,253,0,14503,2,0,13710.0,250.0,2.0
14761,guangxi,china,23.8298,108.7881,2020-03-19,253,0,14761,2,0,13954.0,250.0,0.0
15019,guangxi,china,23.8298,108.7881,2020-03-20,254,1,15019,2,0,14198.0,250.0,0.0
15277,guangxi,china,23.8298,108.7881,2020-03-21,254,0,15277,2,0,14442.0,250.0,0.0
15535,guangxi,china,23.8298,108.7881,2020-03-22,254,0,15535,2,0,14686.0,250.0,0.0
15793,guangxi,china,23.8298,108.7881,2020-03-23,254,0,15793,2,0,14930.0,250.0,0.0
16051,guangxi,china,23.8298,108.7881,2020-03-24,254,0,16051,2,0,15174.0,250.0,0.0
16309,guangxi,china,23.8298,108.7881,2020-03-25,254,0,16309,2,0,15418.0,250.0,0.0
