date,country,state,lat,long,confirmed,confirmed_new,deaths,deaths_new,recovered,recovered_new
2020-01-22,china,guizhou,26.8154,106.8748,1,1,0,0,0.0,0.0
2020-01-23,china,guizhou,26.8154,106.8748,3,2,0,0,0.0,0.0
2020-01-24,china,guizhou,26.8154,106.8748,3,0,0,0,0.0,0.0
2020-01-25,china,guizhou,26.8154,106.8748,4,1,0,0,0.0,0.0
2020-01-26,china,guizhou,26.8154,106.8748,5,1,0,0,0.0,0.0
2020-01-27,china,guizhou,26.8154,106.8748,7,2,0,0,0.0,0.0
2020-01-28,china,guizhou,26.8154,106.8748,9,2,0,0,0.0,0.0
2020-01-29,china,guizhou,26.8154,106.8748,9,0,0,0,1.0,1.0
2020-01-30,china,guizhou,26.8154,106.8748,12,3,0,0,1.0,0.0
2020-01-31,china,guizhou,26.8154,106.8748,29,17,0,0,2.0,1.0
2020-02-01,china,guizhou,26.8154,106.8748,29,0,0,0,2.0,0.0
2020-02-02,china,guizhou,26.8154,106.8748,38,9,0,0,2.0,0.0
2020-02-03,china,guizhou,26.8154,106.8748,46,8,0,0,2.0,0.0
2020-02-04,china,guizhou,26.8154,106.8748,58,12,0,0,2.0,0.0
2020-02-05,china,guizhou,26.8154,106.8748,64,6,1,1,9.0,7.0
2020-02-06,china,guizhou,26.8154,106.8748,71,7,1,0,6.0,-3.0
2020-02-07,china,guizhou,26.8154,106.8748,81,10,1,0,6.0,0.0
2020-02-08,china,guizhou,26.8154,106.8748,89,8,1,0,7.0,1.0
2020-02-09,china,guizhou,26.8154,106.8748,99,10,1,0,7.0,0.0
2020-02-10,china,guizhou,26.8154,106.8748,109,10,1,0,10.0,3.0
2020-02-11,china,guizhou,26.8154,106.8748,127,18,1,0,17.0,7.0
2020-02-12,china,guizhou,26.8154,106.8748,133,6,1,0,18.0,1.0
2020-02-13,china,guizhou,26.8154,106.8748,135,2,1,0,27.0,9.0
2020-02-14,china,guizhou,26.8154,106.8748,140,5,1,0,28.0,1.0
2020-02-15,china,guizhou,26.8154,106.8748,143,3,1,0,41.0,13.0
2020-02-16,china,guizhou,26.8154,106.8748,144,1,1,0,46.0,5.0
2020-02-17,china,guizhou,26.8154,106.8748,146,2,1,0,57.0,11.0
2020-02-18,china,guizhou,26.8154,106.8748,146,0,2,1,66.0,9.0
2020-02-19,china,guizhou,26.8154,106.8748,146,0,2,0,70.0,4.0
2020-02-20,china,guizhou,26.8154,106.8748,146,0,2,0,72.0,2.0
2020-02-21,china,guizhou,26.8154,106.8748,146,0,2,0,77.0,5.0
2020-02-22,china,guizhou,26.8154,106.8748,146,0,2,0,90.0,13.0
2020-02-23,china,guizhou,26.8154,106.8748,146,0,2,0,102.0,12.0
2020-02-24,china,guizhou,26.8154,106.8748,146,0,2,0,102.0,0.0
2020-02-25,china,guizhou,26.8154,106.8748,146,0,2,0,104.0,2.0
2020-02-26,china,guizhou,26.8154,106.8748,146,0,2,0,104.0,0.0
2020-02-27,china,guizhou,26.8154,106.8748,146,0,2,0,112.0,8.0
2020-02-28,china,guizhou,26.8154,106.8748,146,0,2,0,112.0,0.0
2020-02-29,china,guizhou,26.8154,106.8748,146,0,2,0,112.0,0.0
2020-03-01,china,guizhou,26.8154,106.8748,146,0,2,0,112.0,0.0
2020-03-02,china,guizhou,26.8154,106.8748,146,0,2,0,114.0,2.0
2020-03-03,china,guizhou,26.8154,106.8748,146,0,2,0,114.0,0.0
2020-03-04,china,guizhou,26.8154,106.8748,146,0,2,0,114.0,0.0
2020-03-05,china,guizhou,26.8154,106.8748,146,0,2,0,114.0,0.0
2020-03-06,china,guizhou,26.8154,106.8748,146,0,2,0,114.0,0.0
2020-03-07,china,guizhou,26.8154,106.8748,146,0,2,0,115.0,1.0
2020-03-08,china,guizhou,26.8154,106.8748,146,0,2,0,117.0,2.0
2020-03-09,china,guizhou,26.8154,106.8748,146,0,2,0,123.0,6.0
2020-03-10,china,guizhou,26.8154,106.8748,146,0,2,0,129.0,6.0
2020-03-11,china,guizhou,26.8154,106.8748,146,0,2,0,133.0,4.0
2020-03-12,china,guizhou,26.8154,106.8748,146,0,2,0,137.0,4.0
2020-03-13,china,guizhou,26.8154,106.8748,146,0,2,0,140.0,3.0
2020-03-14,china,guizhou,26.8154,106.8748,146,0,2,0,143.0,3.0
2020-03-15,china,guizhou,26.8154,106.8748,146,0,2,0,143.0,0.0
2020-03-16,china,guizhou,26.8154,106.8748,146,0,2,0,144.0,1.0
2020-03-17,china,guizhou,26.8154,106.8748,147,1,2,0,144.0,0.0
2020-03-18,china,guizhou,26.8154,106.8748,146,-1,2,0,144.0,0.0
2020-03-19,china,guizhou,26.8154,106.8748,146,0,2,0,144.0,0.0
2020-03-20,china,guizhou,26.8154,106.8748,146,0,2,0,144.0,0.0
