date,country,state,lat,long,confirmed,confirmed_new,deaths,deaths_new,recovered,recovered_new
2020-01-22,china,henan,37.8957,114.9042,5,5,0,0,0.0,0.0
2020-01-23,china,henan,37.8957,114.9042,5,0,0,0,0.0,0.0
2020-01-24,china,henan,37.8957,114.9042,9,4,0,0,0.0,0.0
2020-01-25,china,henan,37.8957,114.9042,32,23,0,0,0.0,0.0
2020-01-26,china,henan,37.8957,114.9042,83,51,1,1,0.0,0.0
2020-01-27,china,henan,37.8957,114.9042,128,45,1,0,0.0,0.0
2020-01-28,china,henan,37.8957,114.9042,168,40,1,0,0.0,0.0
2020-01-29,china,henan,37.8957,114.9042,206,38,2,1,0.0,0.0
2020-01-30,china,henan,37.8957,114.9042,278,72,2,0,0.0,0.0
2020-01-31,china,henan,37.8957,114.9042,352,74,2,0,0.0,0.0
2020-02-01,china,henan,37.8957,114.9042,422,70,2,0,0.0,0.0
2020-02-02,china,henan,37.8957,114.9042,493,71,2,0,0.0,0.0
2020-02-03,china,henan,37.8957,114.9042,566,73,2,0,0.0,0.0
2020-02-04,china,henan,37.8957,114.9042,675,109,2,0,0.0,0.0
2020-02-05,china,henan,37.8957,114.9042,764,89,2,0,0.0,0.0
2020-02-06,china,henan,37.8957,114.9042,851,87,2,0,0.0,0.0
2020-02-07,china,henan,37.8957,114.9042,914,63,3,1,0.0,0.0
2020-02-08,china,henan,37.8957,114.9042,981,67,4,1,0.0,0.0
2020-02-09,china,henan,37.8957,114.9042,1033,52,6,2,0.0,0.0
2020-02-10,china,henan,37.8957,114.9042,1073,40,6,0,0.0,0.0
2020-02-11,china,henan,37.8957,114.9042,1105,32,7,1,0.0,0.0
2020-02-12,china,henan,37.8957,114.9042,1135,30,8,1,0.0,0.0
2020-02-13,china,henan,37.8957,114.9042,1169,34,10,2,0.0,0.0
2020-02-14,china,henan,37.8957,114.9042,1184,15,11,1,0.0,0.0
2020-02-15,china,henan,37.8957,114.9042,1212,28,13,2,0.0,0.0
2020-02-16,china,henan,37.8957,114.9042,1231,19,13,0,0.0,0.0
2020-02-17,china,henan,37.8957,114.9042,1246,15,16,3,0.0,0.0
2020-02-18,china,henan,37.8957,114.9042,1257,11,19,3,0.0,0.0
2020-02-19,china,henan,37.8957,114.9042,1262,5,19,0,0.0,0.0
2020-02-20,china,henan,37.8957,114.9042,1265,3,19,0,0.0,0.0
2020-02-21,china,henan,37.8957,114.9042,1267,2,19,0,0.0,0.0
2020-02-22,china,henan,37.8957,114.9042,1270,3,19,0,0.0,0.0
2020-02-23,china,henan,37.8957,114.9042,1271,1,19,0,0.0,0.0
2020-02-24,china,henan,37.8957,114.9042,1271,0,19,0,0.0,0.0
2020-02-25,china,henan,37.8957,114.9042,1271,0,19,0,0.0,0.0
2020-02-26,china,henan,37.8957,114.9042,1271,0,19,0,0.0,0.0
2020-02-27,china,henan,37.8957,114.9042,1272,1,20,1,0.0,0.0
2020-02-28,china,henan,37.8957,114.9042,1272,0,20,0,0.0,0.0
