state,country,lat,long,date,confirmed,confirmed_new,deaths,deaths_new,recovered,recovered_new
hong-kong,china,22.3,114.2,2020-01-22,0,-5,0,0,0.0,0.0
hong-kong,china,22.3,114.2,2020-01-23,2,-3,0,0,0.0,0.0
hong-kong,china,22.3,114.2,2020-01-24,2,-7,0,0,0.0,0.0
hong-kong,china,22.3,114.2,2020-01-25,5,-27,0,0,0.0,0.0
hong-kong,china,22.3,114.2,2020-01-26,8,-75,0,-1,0.0,0.0
hong-kong,china,22.3,114.2,2020-01-27,8,-120,0,-1,0.0,0.0
hong-kong,china,22.3,114.2,2020-01-28,8,-160,0,-1,0.0,0.0
hong-kong,china,22.3,114.2,2020-01-29,10,-196,0,-2,0.0,-1.0
hong-kong,china,22.3,114.2,2020-01-30,10,-268,0,-2,0.0,-2.0
hong-kong,china,22.3,114.2,2020-01-31,12,-340,0,-2,0.0,-3.0
hong-kong,china,22.3,114.2,2020-02-01,13,-409,0,-2,0.0,-3.0
hong-kong,china,22.3,114.2,2020-02-02,15,-478,0,-2,0.0,-10.0
hong-kong,china,22.3,114.2,2020-02-03,15,-551,0,-2,0.0,-16.0
hong-kong,china,22.3,114.2,2020-02-04,17,-658,1,-1,0.0,-27.0
hong-kong,china,22.3,114.2,2020-02-05,21,-743,1,-1,0.0,-47.0
hong-kong,china,22.3,114.2,2020-02-06,24,-827,1,-1,0.0,-56.0
hong-kong,china,22.3,114.2,2020-02-07,25,-889,1,-2,0.0,-86.0
hong-kong,china,22.3,114.2,2020-02-08,26,-955,1,-3,0.0,-116.0
hong-kong,china,22.3,114.2,2020-02-09,29,-1004,1,-5,0.0,-153.0
hong-kong,china,22.3,114.2,2020-02-10,38,-1035,1,-5,0.0,-191.0
hong-kong,china,22.3,114.2,2020-02-11,49,-1056,1,-6,0.0,-218.0
hong-kong,china,22.3,114.2,2020-02-12,50,-1085,1,-7,1.0,-245.0
hong-kong,china,22.3,114.2,2020-02-13,53,-1116,1,-9,1.0,-295.0
hong-kong,china,22.3,114.2,2020-02-14,56,-1128,1,-10,1.0,-356.0
hong-kong,china,22.3,114.2,2020-02-15,56,-1156,1,-12,1.0,-390.0
