state,country,lat,long,date,confirmed,confirmed_new,deaths,deaths_new,recovered,recovered_new
hunan,china,27.6104,111.7088,2020-01-22,4,-440,0,-17,0.0,-28.0
hunan,china,27.6104,111.7088,2020-01-23,9,-435,0,-17,0.0,-28.0
hunan,china,27.6104,111.7088,2020-01-24,24,-525,0,-24,0.0,-31.0
hunan,china,27.6104,111.7088,2020-01-25,43,-718,0,-40,0.0,-32.0
hunan,china,27.6104,111.7088,2020-01-26,69,-989,0,-52,0.0,-42.0
hunan,china,27.6104,111.7088,2020-01-27,100,-1323,0,-76,0.0,-45.0
hunan,china,27.6104,111.7088,2020-01-28,143,-3411,0,-125,0.0,-80.0
hunan,china,27.6104,111.7088,2020-01-29,221,-3333,0,-125,0.0,-88.0
hunan,china,27.6104,111.7088,2020-01-30,277,-4626,0,-162,2.0,-88.0
hunan,china,27.6104,111.7088,2020-01-31,332,-5474,0,-204,2.0,-139.0
hunan,china,27.6104,111.7088,2020-02-01,389,-6764,0,-249,8.0,-160.0
hunan,china,27.6104,111.7088,2020-02-02,463,-10714,0,-350,16.0,-279.0
hunan,china,27.6104,111.7088,2020-02-03,521,-13001,0,-414,22.0,-364.0
hunan,china,27.6104,111.7088,2020-02-04,593,-16085,0,-479,31.0,-491.0
hunan,china,27.6104,111.7088,2020-02-05,661,-19004,0,-549,54.0,-579.0
hunan,china,27.6104,111.7088,2020-02-06,711,-21401,0,-618,81.0,-736.0
hunan,china,27.6104,111.7088,2020-02-07,772,-24181,0,-699,112.0,-1003.0
hunan,china,27.6104,111.7088,2020-02-08,803,-26297,1,-779,156.0,-1283.0
hunan,china,27.6104,111.7088,2020-02-09,838,-28793,1,-870,186.0,-1609.0
hunan,china,27.6104,111.7088,2020-02-10,879,-30849,1,-973,208.0,-2014.0
hunan,china,27.6104,111.7088,2020-02-11,912,-32454,1,-1067,247.0,-2392.0
hunan,china,27.6104,111.7088,2020-02-12,946,-32420,2,-1066,304.0,-2382.0
hunan,china,27.6104,111.7088,2020-02-13,968,-47238,2,-1308,339.0,-3120.0
hunan,china,27.6104,111.7088,2020-02-14,988,-53418,2,-1455,364.0,-4410.0
hunan,china,27.6104,111.7088,2020-02-15,1001,-55248,2,-1594,425.0,-5198.0
hunan,china,27.6104,111.7088,2020-02-16,1004,-57178,3,-1693,464.0,-6175.0
hunan,china,27.6104,111.7088,2020-02-17,1006,-58983,3,-1786,498.0,-7364.0
