state,country,lat,long,date,confirmed,confirmed_new,deaths,deaths_new,recovered,recovered_new
liaoning,china,41.2956,122.6085,2020-01-22,2,2,0,0,0.0,0.0
liaoning,china,41.2956,122.6085,2020-01-23,3,2,0,0,0.0,0.0
liaoning,china,41.2956,122.6085,2020-01-24,4,1,0,0,0.0,0.0
liaoning,china,41.2956,122.6085,2020-01-25,17,13,0,0,0.0,0.0
liaoning,china,41.2956,122.6085,2020-01-26,21,17,0,0,0.0,0.0
liaoning,china,41.2956,122.6085,2020-01-27,27,21,0,0,0.0,0.0
liaoning,china,41.2956,122.6085,2020-01-28,34,26,0,0,0.0,0.0
liaoning,china,41.2956,122.6085,2020-01-29,39,30,0,0,1.0,1.0
liaoning,china,41.2956,122.6085,2020-01-30,41,27,0,0,1.0,0.0
liaoning,china,41.2956,122.6085,2020-01-31,48,34,0,0,1.0,0.0
liaoning,china,41.2956,122.6085,2020-02-01,64,47,0,0,1.0,0.0
liaoning,china,41.2956,122.6085,2020-02-02,70,47,0,0,1.0,0.0
liaoning,china,41.2956,122.6085,2020-02-03,74,43,0,0,1.0,0.0
liaoning,china,41.2956,122.6085,2020-02-04,81,39,0,0,2.0,1.0
liaoning,china,41.2956,122.6085,2020-02-05,89,35,0,0,4.0,2.0
liaoning,china,41.2956,122.6085,2020-02-06,94,35,0,0,5.0,1.0
liaoning,china,41.2956,122.6085,2020-02-07,99,34,0,-1,7.0,3.0
liaoning,china,41.2956,122.6085,2020-02-08,105,36,0,-1,8.0,4.0
liaoning,china,41.2956,122.6085,2020-02-09,107,29,0,-1,12.0,0.0
liaoning,china,41.2956,122.6085,2020-02-10,108,28,0,-1,13.0,0.0
liaoning,china,41.2956,122.6085,2020-02-11,111,30,0,-1,19.0,1.0
liaoning,china,41.2956,122.6085,2020-02-12,116,33,1,0,20.0,-2.0
liaoning,china,41.2956,122.6085,2020-02-13,117,33,1,0,22.0,-2.0
liaoning,china,41.2956,122.6085,2020-02-14,119,33,1,0,29.0,4.0
liaoning,china,41.2956,122.6085,2020-02-15,119,31,1,0,31.0,5.0
liaoning,china,41.2956,122.6085,2020-02-16,121,32,1,0,40.0,10.0
liaoning,china,41.2956,122.6085,2020-02-17,121,32,1,0,43.0,9.0
liaoning,china,41.2956,122.6085,2020-02-18,121,32,1,0,53.0,17.0
liaoning,china,41.2956,122.6085,2020-02-19,121,31,1,0,55.0,18.0
liaoning,china,41.2956,122.6085,2020-02-20,121,30,1,0,59.0,16.0
liaoning,china,41.2956,122.6085,2020-02-21,121,30,1,0,61.0,16.0
liaoning,china,41.2956,122.6085,2020-02-22,121,30,1,0,66.0,14.0
liaoning,china,41.2956,122.6085,2020-02-23,121,30,1,0,73.0,19.0
liaoning,china,41.2956,122.6085,2020-02-24,121,28,1,0,80.0,20.0
liaoning,china,41.2956,122.6085,2020-02-25,121,28,1,0,83.0,20.0
liaoning,china,41.2956,122.6085,2020-02-26,121,28,1,0,88.0,23.0
liaoning,china,41.2956,122.6085,2020-02-27,121,28,1,0,93.0,26.0
liaoning,china,41.2956,122.6085,2020-02-28,121,28,1,0,93.0,20.0
liaoning,china,41.2956,122.6085,2020-02-29,121,28,1,0,96.0,21.0
liaoning,china,41.2956,122.6085,2020-03-01,122,29,1,0,103.0,25.0
liaoning,china,41.2956,122.6085,2020-03-02,122,29,1,0,103.0,20.0
liaoning,china,41.2956,122.6085,2020-03-03,125,32,1,0,106.0,23.0
liaoning,china,41.2956,122.6085,2020-03-04,125,32,1,0,106.0,20.0
liaoning,china,41.2956,122.6085,2020-03-05,125,32,1,0,106.0,18.0
liaoning,china,41.2956,122.6085,2020-03-06,125,32,1,0,106.0,16.0
liaoning,china,41.2956,122.6085,2020-03-07,125,32,1,0,107.0,17.0
liaoning,china,41.2956,122.6085,2020-03-08,125,32,1,0,109.0,19.0
liaoning,china,41.2956,122.6085,2020-03-09,125,32,1,0,109.0,18.0
liaoning,china,41.2956,122.6085,2020-03-10,125,32,1,0,111.0,20.0
liaoning,china,41.2956,122.6085,2020-03-11,125,32,1,0,111.0,20.0
liaoning,china,41.2956,122.6085,2020-03-12,125,32,1,0,112.0,21.0
liaoning,china,41.2956,122.6085,2020-03-13,125,32,1,0,112.0,21.0
liaoning,china,41.2956,122.6085,2020-03-14,125,32,1,0,113.0,22.0
liaoning,china,41.2956,122.6085,2020-03-15,125,32,1,0,114.0,23.0
liaoning,china,41.2956,122.6085,2020-03-16,125,32,1,0,115.0,23.0
liaoning,china,41.2956,122.6085,2020-03-17,125,32,1,0,120.0,28.0
liaoning,china,41.2956,122.6085,2020-03-18,125,32,1,0,122.0,30.0
liaoning,china,41.2956,122.6085,2020-03-19,125,32,1,0,122.0,30.0
liaoning,china,41.2956,122.6085,2020-03-20,126,33,2,1,122.0,30.0
liaoning,china,41.2956,122.6085,2020-03-21,126,33,2,1,122.0,30.0
liaoning,china,41.2956,122.6085,2020-03-22,127,34,2,1,124.0,32.0
liaoning,china,41.2956,122.6085,2020-03-23,127,34,2,1,124.0,32.0
liaoning,china,41.2956,122.6085,2020-03-24,127,34,2,1,124.0,32.0
liaoning,china,41.2956,122.6085,2020-03-25,127,33,2,1,124.0,32.0
liaoning,china,41.2956,122.6085,2020-03-26,128,33,2,1,124.0,32.0
liaoning,china,41.2956,122.6085,2020-03-27,128,33,2,1,124.0,32.0
liaoning,china,41.2956,122.6085,2020-03-28,132,35,2,1,124.0,32.0
liaoning,china,41.2956,122.6085,2020-03-29,134,36,2,1,124.0,32.0
liaoning,china,41.2956,122.6085,2020-03-30,136,38,2,1,124.0,32.0
liaoning,china,41.2956,122.6085,2020-03-31,139,41,2,1,124.0,32.0
liaoning,china,41.2956,122.6085,2020-04-01,140,42,2,1,124.0,32.0
liaoning,china,41.2956,122.6085,2020-04-02,141,43,2,1,124.0,32.0
