date,country,state,lat,long,confirmed,confirmed_new,deaths,deaths_new,recovered,recovered_new
2020-01-22,china,shaanxi,35.1917,108.8701,0,0,0,0,0.0,0.0
2020-01-23,china,shaanxi,35.1917,108.8701,3,3,0,0,0.0,0.0
2020-01-24,china,shaanxi,35.1917,108.8701,5,2,0,0,0.0,0.0
2020-01-25,china,shaanxi,35.1917,108.8701,15,10,0,0,0.0,0.0
2020-01-26,china,shaanxi,35.1917,108.8701,22,7,0,0,0.0,0.0
2020-01-27,china,shaanxi,35.1917,108.8701,35,13,0,0,0.0,0.0
2020-01-28,china,shaanxi,35.1917,108.8701,46,11,0,0,0.0,0.0
2020-01-29,china,shaanxi,35.1917,108.8701,56,10,0,0,0.0,0.0
2020-01-30,china,shaanxi,35.1917,108.8701,63,7,0,0,0.0,0.0
2020-01-31,china,shaanxi,35.1917,108.8701,87,24,0,0,0.0,0.0
2020-02-01,china,shaanxi,35.1917,108.8701,101,14,0,0,0.0,0.0
2020-02-02,china,shaanxi,35.1917,108.8701,116,15,0,0,0.0,0.0
2020-02-03,china,shaanxi,35.1917,108.8701,128,12,0,0,0.0,0.0
2020-02-04,china,shaanxi,35.1917,108.8701,142,14,0,0,2.0,2.0
2020-02-05,china,shaanxi,35.1917,108.8701,165,23,0,0,6.0,4.0
2020-02-06,china,shaanxi,35.1917,108.8701,173,8,0,0,9.0,3.0
2020-02-07,china,shaanxi,35.1917,108.8701,184,11,0,0,17.0,8.0
2020-02-08,china,shaanxi,35.1917,108.8701,195,11,0,0,20.0,3.0
2020-02-09,china,shaanxi,35.1917,108.8701,208,13,0,0,25.0,5.0
2020-02-10,china,shaanxi,35.1917,108.8701,213,5,0,0,30.0,5.0
2020-02-11,china,shaanxi,35.1917,108.8701,219,6,0,0,32.0,2.0
2020-02-12,china,shaanxi,35.1917,108.8701,225,6,0,0,43.0,11.0
2020-02-13,china,shaanxi,35.1917,108.8701,229,4,0,0,46.0,3.0
2020-02-14,china,shaanxi,35.1917,108.8701,230,1,0,0,54.0,8.0
2020-02-15,china,shaanxi,35.1917,108.8701,232,2,0,0,60.0,6.0
2020-02-16,china,shaanxi,35.1917,108.8701,236,4,0,0,71.0,11.0
2020-02-17,china,shaanxi,35.1917,108.8701,240,4,0,0,79.0,8.0
2020-02-18,china,shaanxi,35.1917,108.8701,240,0,0,0,89.0,10.0
2020-02-19,china,shaanxi,35.1917,108.8701,242,2,0,0,102.0,13.0
2020-02-20,china,shaanxi,35.1917,108.8701,245,3,1,1,118.0,16.0
2020-02-21,china,shaanxi,35.1917,108.8701,245,0,1,0,134.0,16.0
2020-02-22,china,shaanxi,35.1917,108.8701,245,0,1,0,149.0,15.0
2020-02-23,china,shaanxi,35.1917,108.8701,245,0,1,0,163.0,14.0
2020-02-24,china,shaanxi,35.1917,108.8701,245,0,1,0,173.0,10.0
2020-02-25,china,shaanxi,35.1917,108.8701,245,0,1,0,186.0,13.0
2020-02-26,china,shaanxi,35.1917,108.8701,245,0,1,0,192.0,6.0
2020-02-27,china,shaanxi,35.1917,108.8701,245,0,1,0,195.0,3.0
2020-02-28,china,shaanxi,35.1917,108.8701,245,0,1,0,199.0,4.0
2020-02-29,china,shaanxi,35.1917,108.8701,245,0,1,0,207.0,8.0
2020-03-01,china,shaanxi,35.1917,108.8701,245,0,1,0,208.0,1.0
2020-03-02,china,shaanxi,35.1917,108.8701,245,0,1,0,216.0,8.0
2020-03-03,china,shaanxi,35.1917,108.8701,245,0,1,0,216.0,0.0
2020-03-04,china,shaanxi,35.1917,108.8701,245,0,1,0,223.0,7.0
2020-03-05,china,shaanxi,35.1917,108.8701,245,0,1,0,224.0,1.0
2020-03-06,china,shaanxi,35.1917,108.8701,245,0,1,0,226.0,2.0
2020-03-07,china,shaanxi,35.1917,108.8701,245,0,1,0,226.0,0.0
2020-03-08,china,shaanxi,35.1917,108.8701,245,0,1,0,227.0,1.0
2020-03-09,china,shaanxi,35.1917,108.8701,245,0,1,0,227.0,0.0
2020-03-10,china,shaanxi,35.1917,108.8701,245,0,1,0,227.0,0.0
2020-03-11,china,shaanxi,35.1917,108.8701,245,0,1,0,232.0,5.0
2020-03-12,china,shaanxi,35.1917,108.8701,245,0,2,1,232.0,0.0
2020-03-13,china,shaanxi,35.1917,108.8701,245,0,2,0,232.0,0.0
2020-03-14,china,shaanxi,35.1917,108.8701,245,0,2,0,232.0,0.0
2020-03-15,china,shaanxi,35.1917,108.8701,245,0,2,0,232.0,0.0
2020-03-16,china,shaanxi,35.1917,108.8701,245,0,2,0,233.0,1.0
2020-03-17,china,shaanxi,35.1917,108.8701,246,1,3,1,236.0,3.0
2020-03-18,china,shaanxi,35.1917,108.8701,246,0,3,0,237.0,1.0
2020-03-19,china,shaanxi,35.1917,108.8701,246,0,3,0,237.0,0.0
2020-03-20,china,shaanxi,35.1917,108.8701,247,1,3,0,237.0,0.0
2020-03-21,china,shaanxi,35.1917,108.8701,248,1,3,0,239.0,2.0
2020-03-22,china,shaanxi,35.1917,108.8701,248,0,3,0,239.0,0.0
2020-03-23,china,shaanxi,35.1917,108.8701,248,0,3,0,239.0,0.0
2020-03-24,china,shaanxi,35.1917,108.8701,249,1,3,0,240.0,1.0
2020-03-25,china,shaanxi,35.1917,108.8701,250,1,3,0,240.0,0.0
2020-03-26,china,shaanxi,35.1917,108.8701,253,3,3,0,242.0,2.0
2020-03-27,china,shaanxi,35.1917,108.8701,253,0,3,0,242.0,0.0
2020-03-28,china,shaanxi,35.1917,108.8701,253,0,3,0,242.0,0.0
2020-03-29,china,shaanxi,35.1917,108.8701,253,0,3,0,242.0,0.0
2020-03-30,china,shaanxi,35.1917,108.8701,253,0,3,0,242.0,0.0
2020-03-31,china,shaanxi,35.1917,108.8701,253,0,3,0,242.0,0.0
2020-04-01,china,shaanxi,35.1917,108.8701,255,2,3,0,242.0,0.0
2020-04-02,china,shaanxi,35.1917,108.8701,255,0,3,0,242.0,0.0
2020-04-03,china,shaanxi,35.1917,108.8701,255,0,3,0,244.0,2.0
2020-04-04,china,shaanxi,35.1917,108.8701,256,1,3,0,245.0,1.0
2020-04-05,china,shaanxi,35.1917,108.8701,256,0,3,0,245.0,0.0
2020-04-06,china,shaanxi,35.1917,108.8701,256,0,3,0,246.0,1.0
2020-04-07,china,shaanxi,35.1917,108.8701,256,0,3,0,246.0,0.0
2020-04-08,china,shaanxi,35.1917,108.8701,256,0,3,0,246.0,0.0
2020-04-09,china,shaanxi,35.1917,108.8701,256,0,3,0,246.0,0.0
2020-04-10,china,shaanxi,35.1917,108.8701,256,0,3,0,246.0,0.0
2020-04-11,china,shaanxi,35.1917,108.8701,256,0,3,0,248.0,2.0
2020-04-12,china,shaanxi,35.1917,108.8701,256,0,3,0,248.0,0.0
2020-04-13,china,shaanxi,35.1917,108.8701,256,0,3,0,248.0,0.0
2020-04-14,china,shaanxi,35.1917,108.8701,256,0,3,0,248.0,0.0
2020-04-15,china,shaanxi,35.1917,108.8701,256,0,3,0,251.0,3.0
2020-04-16,china,shaanxi,35.1917,108.8701,256,0,3,0,251.0,0.0
2020-04-17,china,shaanxi,35.1917,108.8701,256,0,3,0,252.0,1.0
2020-04-18,china,shaanxi,35.1917,108.8701,256,0,3,0,252.0,0.0
