state,country,lat,long,date,confirmed,deaths,recovered
shandong,china,36.3427,118.1498,2020-01-22,2,0,0.0
shandong,china,36.3427,118.1498,2020-01-23,6,0,0.0
shandong,china,36.3427,118.1498,2020-01-24,15,0,0.0
shandong,china,36.3427,118.1498,2020-01-25,27,0,0.0
shandong,china,36.3427,118.1498,2020-01-26,46,0,0.0
shandong,china,36.3427,118.1498,2020-01-27,75,0,0.0
shandong,china,36.3427,118.1498,2020-01-28,95,0,0.0
shandong,china,36.3427,118.1498,2020-01-29,130,0,1.0
shandong,china,36.3427,118.1498,2020-01-30,158,0,1.0
shandong,china,36.3427,118.1498,2020-01-31,184,0,2.0
shandong,china,36.3427,118.1498,2020-02-01,206,0,3.0
shandong,china,36.3427,118.1498,2020-02-02,230,0,6.0
shandong,china,36.3427,118.1498,2020-02-03,259,0,7.0
shandong,china,36.3427,118.1498,2020-02-04,275,0,11.0
shandong,china,36.3427,118.1498,2020-02-05,307,0,15.0
shandong,china,36.3427,118.1498,2020-02-06,347,0,27.0
shandong,china,36.3427,118.1498,2020-02-07,386,0,37.0
shandong,china,36.3427,118.1498,2020-02-08,416,0,44.0
shandong,china,36.3427,118.1498,2020-02-09,444,1,63.0
shandong,china,36.3427,118.1498,2020-02-10,466,1,66.0
shandong,china,36.3427,118.1498,2020-02-11,487,1,80.0
shandong,china,36.3427,118.1498,2020-02-12,497,2,92.0
shandong,china,36.3427,118.1498,2020-02-13,509,2,105.0
shandong,china,36.3427,118.1498,2020-02-14,523,2,136.0
shandong,china,36.3427,118.1498,2020-02-15,532,2,156.0
shandong,china,36.3427,118.1498,2020-02-16,537,2,173.0
shandong,china,36.3427,118.1498,2020-02-17,541,2,191.0
shandong,china,36.3427,118.1498,2020-02-18,543,3,211.0
shandong,china,36.3427,118.1498,2020-02-19,544,3,231.0
shandong,china,36.3427,118.1498,2020-02-20,546,4,254.0
shandong,china,36.3427,118.1498,2020-02-21,749,4,281.0
shandong,china,36.3427,118.1498,2020-02-22,750,4,302.0
shandong,china,36.3427,118.1498,2020-02-23,754,4,321.0
shandong,china,36.3427,118.1498,2020-02-24,755,5,343.0
shandong,china,36.3427,118.1498,2020-02-25,756,6,355.0
shandong,china,36.3427,118.1498,2020-02-26,756,6,377.0
shandong,china,36.3427,118.1498,2020-02-27,756,6,387.0
shandong,china,36.3427,118.1498,2020-02-28,756,6,405.0
shandong,china,36.3427,118.1498,2020-02-29,756,6,421.0
shandong,china,36.3427,118.1498,2020-03-01,758,6,443.0
shandong,china,36.3427,118.1498,2020-03-02,758,6,460.0
shandong,china,36.3427,118.1498,2020-03-03,758,6,511.0
shandong,china,36.3427,118.1498,2020-03-04,758,6,516.0
shandong,china,36.3427,118.1498,2020-03-05,758,6,578.0
shandong,china,36.3427,118.1498,2020-03-06,758,6,618.0
shandong,china,36.3427,118.1498,2020-03-07,758,6,627.0
shandong,china,36.3427,118.1498,2020-03-08,758,6,642.0
shandong,china,36.3427,118.1498,2020-03-09,758,6,700.0
shandong,china,36.3427,118.1498,2020-03-10,758,6,719.0
shandong,china,36.3427,118.1498,2020-03-11,760,6,726.0
shandong,china,36.3427,118.1498,2020-03-12,760,6,734.0
shandong,china,36.3427,118.1498,2020-03-13,760,7,739.0
shandong,china,36.3427,118.1498,2020-03-14,760,7,741.0
shandong,china,36.3427,118.1498,2020-03-15,760,7,741.0
shandong,china,36.3427,118.1498,2020-03-16,760,7,746.0
shandong,china,36.3427,118.1498,2020-03-17,761,7,746.0
shandong,china,36.3427,118.1498,2020-03-18,761,7,746.0
shandong,china,36.3427,118.1498,2020-03-19,761,7,747.0
shandong,china,36.3427,118.1498,2020-03-20,762,7,748.0
shandong,china,36.3427,118.1498,2020-03-21,764,7,749.0
shandong,china,36.3427,118.1498,2020-03-22,767,7,750.0
shandong,china,36.3427,118.1498,2020-03-23,768,7,751.0
shandong,china,36.3427,118.1498,2020-03-24,768,7,752.0
shandong,china,36.3427,118.1498,2020-03-25,769,7,752.0
shandong,china,36.3427,118.1498,2020-03-26,771,7,752.0
shandong,china,36.3427,118.1498,2020-03-27,772,7,752.0
shandong,china,36.3427,118.1498,2020-03-28,772,7,752.0
shandong,china,36.3427,118.1498,2020-03-29,772,7,752.0
shandong,china,36.3427,118.1498,2020-03-30,773,7,753.0
shandong,china,36.3427,118.1498,2020-03-31,774,7,753.0
shandong,china,36.3427,118.1498,2020-04-01,774,7,753.0
shandong,china,36.3427,118.1498,2020-04-02,775,7,753.0
