date,country,state,lat,long,confirmed,confirmed_new,deaths,deaths_new,recovered,recovered_new
2020-01-22,china,sichuan,30.6171,102.7103,5,5,0,0,0.0,0.0
2020-01-23,china,sichuan,30.6171,102.7103,8,3,0,0,0.0,0.0
2020-01-24,china,sichuan,30.6171,102.7103,15,7,0,0,0.0,0.0
2020-01-25,china,sichuan,30.6171,102.7103,28,13,0,0,0.0,0.0
2020-01-26,china,sichuan,30.6171,102.7103,44,16,0,0,0.0,0.0
2020-01-27,china,sichuan,30.6171,102.7103,69,25,0,0,0.0,0.0
2020-01-28,china,sichuan,30.6171,102.7103,90,21,0,0,0.0,0.0
2020-01-29,china,sichuan,30.6171,102.7103,108,18,1,1,1.0,1.0
2020-01-30,china,sichuan,30.6171,102.7103,142,34,1,0,1.0,0.0
2020-01-31,china,sichuan,30.6171,102.7103,177,35,1,0,1.0,0.0
2020-02-01,china,sichuan,30.6171,102.7103,207,30,1,0,3.0,2.0
2020-02-02,china,sichuan,30.6171,102.7103,231,24,1,0,11.0,8.0
2020-02-03,china,sichuan,30.6171,102.7103,254,23,1,0,14.0,3.0
2020-02-04,china,sichuan,30.6171,102.7103,282,28,1,0,14.0,0.0
2020-02-05,china,sichuan,30.6171,102.7103,301,19,1,0,24.0,10.0
2020-02-06,china,sichuan,30.6171,102.7103,321,20,1,0,31.0,7.0
2020-02-07,china,sichuan,30.6171,102.7103,344,23,1,0,42.0,11.0
2020-02-08,china,sichuan,30.6171,102.7103,364,20,1,0,60.0,18.0
2020-02-09,china,sichuan,30.6171,102.7103,386,22,1,0,71.0,11.0
2020-02-10,china,sichuan,30.6171,102.7103,405,19,1,0,80.0,9.0
2020-02-11,china,sichuan,30.6171,102.7103,417,12,1,0,85.0,5.0
2020-02-12,china,sichuan,30.6171,102.7103,436,19,1,0,92.0,7.0
2020-02-13,china,sichuan,30.6171,102.7103,451,15,1,0,104.0,12.0
2020-02-14,china,sichuan,30.6171,102.7103,463,12,1,0,114.0,10.0
2020-02-15,china,sichuan,30.6171,102.7103,470,7,1,0,119.0,5.0
2020-02-16,china,sichuan,30.6171,102.7103,481,11,3,2,131.0,12.0
2020-02-17,china,sichuan,30.6171,102.7103,495,14,3,0,156.0,25.0
2020-02-18,china,sichuan,30.6171,102.7103,508,13,3,0,169.0,13.0
2020-02-19,china,sichuan,30.6171,102.7103,514,6,3,0,188.0,19.0
2020-02-20,china,sichuan,30.6171,102.7103,520,6,3,0,217.0,29.0
2020-02-21,china,sichuan,30.6171,102.7103,525,5,3,0,231.0,14.0
2020-02-22,china,sichuan,30.6171,102.7103,526,1,3,0,250.0,19.0
2020-02-23,china,sichuan,30.6171,102.7103,526,0,3,0,261.0,11.0
2020-02-24,china,sichuan,30.6171,102.7103,527,1,3,0,276.0,15.0
2020-02-25,china,sichuan,30.6171,102.7103,529,2,3,0,289.0,13.0
2020-02-26,china,sichuan,30.6171,102.7103,531,2,3,0,307.0,18.0
2020-02-27,china,sichuan,30.6171,102.7103,534,3,3,0,321.0,14.0
2020-02-28,china,sichuan,30.6171,102.7103,538,4,3,0,338.0,17.0
2020-02-29,china,sichuan,30.6171,102.7103,538,0,3,0,351.0,13.0
2020-03-01,china,sichuan,30.6171,102.7103,538,0,3,0,365.0,14.0
2020-03-02,china,sichuan,30.6171,102.7103,538,0,3,0,386.0,21.0
2020-03-03,china,sichuan,30.6171,102.7103,538,0,3,0,394.0,8.0
2020-03-04,china,sichuan,30.6171,102.7103,538,0,3,0,406.0,12.0
2020-03-05,china,sichuan,30.6171,102.7103,539,1,3,0,425.0,19.0
2020-03-06,china,sichuan,30.6171,102.7103,539,0,3,0,442.0,17.0
2020-03-07,china,sichuan,30.6171,102.7103,539,0,3,0,454.0,12.0
2020-03-08,china,sichuan,30.6171,102.7103,539,0,3,0,464.0,10.0
2020-03-09,china,sichuan,30.6171,102.7103,539,0,3,0,466.0,2.0
2020-03-10,china,sichuan,30.6171,102.7103,539,0,3,0,478.0,12.0
2020-03-11,china,sichuan,30.6171,102.7103,539,0,3,0,488.0,10.0
2020-03-12,china,sichuan,30.6171,102.7103,539,0,3,0,498.0,10.0
2020-03-13,china,sichuan,30.6171,102.7103,539,0,3,0,503.0,5.0
2020-03-14,china,sichuan,30.6171,102.7103,539,0,3,0,511.0,8.0
2020-03-15,china,sichuan,30.6171,102.7103,539,0,3,0,516.0,5.0
2020-03-16,china,sichuan,30.6171,102.7103,539,0,3,0,516.0,0.0
2020-03-17,china,sichuan,30.6171,102.7103,540,1,3,0,520.0,4.0
2020-03-18,china,sichuan,30.6171,102.7103,540,0,3,0,525.0,5.0
2020-03-19,china,sichuan,30.6171,102.7103,540,0,3,0,536.0,11.0
2020-03-20,china,sichuan,30.6171,102.7103,541,1,3,0,536.0,0.0
2020-03-21,china,sichuan,30.6171,102.7103,542,1,3,0,536.0,0.0
2020-03-22,china,sichuan,30.6171,102.7103,543,1,3,0,536.0,0.0
2020-03-23,china,sichuan,30.6171,102.7103,543,0,3,0,536.0,0.0
2020-03-24,china,sichuan,30.6171,102.7103,545,2,3,0,536.0,0.0
2020-03-25,china,sichuan,30.6171,102.7103,547,2,3,0,536.0,0.0
2020-03-26,china,sichuan,30.6171,102.7103,547,0,3,0,536.0,0.0
2020-03-27,china,sichuan,30.6171,102.7103,548,1,3,0,536.0,0.0
2020-03-28,china,sichuan,30.6171,102.7103,548,0,3,0,536.0,0.0
2020-03-29,china,sichuan,30.6171,102.7103,550,2,3,0,536.0,0.0
2020-03-30,china,sichuan,30.6171,102.7103,550,0,3,0,536.0,0.0
2020-03-31,china,sichuan,30.6171,102.7103,550,0,3,0,536.0,0.0
2020-04-01,china,sichuan,30.6171,102.7103,552,2,3,0,537.0,1.0
2020-04-02,china,sichuan,30.6171,102.7103,554,2,3,0,537.0,0.0
2020-04-03,china,sichuan,30.6171,102.7103,555,1,3,0,537.0,0.0
2020-04-04,china,sichuan,30.6171,102.7103,557,2,3,0,538.0,1.0
2020-04-05,china,sichuan,30.6171,102.7103,558,1,3,0,539.0,1.0
2020-04-06,china,sichuan,30.6171,102.7103,559,1,3,0,540.0,1.0
2020-04-07,china,sichuan,30.6171,102.7103,560,1,3,0,541.0,1.0
2020-04-08,china,sichuan,30.6171,102.7103,560,0,3,0,541.0,0.0
2020-04-09,china,sichuan,30.6171,102.7103,560,0,3,0,541.0,0.0
2020-04-10,china,sichuan,30.6171,102.7103,560,0,3,0,546.0,5.0
2020-04-11,china,sichuan,30.6171,102.7103,560,0,3,0,547.0,1.0
2020-04-12,china,sichuan,30.6171,102.7103,560,0,3,0,547.0,0.0
2020-04-13,china,sichuan,30.6171,102.7103,560,0,3,0,548.0,1.0
2020-04-14,china,sichuan,30.6171,102.7103,560,0,3,0,548.0,0.0
2020-04-15,china,sichuan,30.6171,102.7103,560,0,3,0,550.0,2.0
2020-04-16,china,sichuan,30.6171,102.7103,560,0,3,0,552.0,2.0
2020-04-17,china,sichuan,30.6171,102.7103,560,0,3,0,552.0,0.0
2020-04-18,china,sichuan,30.6171,102.7103,561,1,3,0,553.0,1.0
2020-04-19,china,sichuan,30.6171,102.7103,561,0,3,0,554.0,1.0
2020-04-20,china,sichuan,30.6171,102.7103,561,0,3,0,554.0,0.0
2020-04-21,china,sichuan,30.6171,102.7103,561,0,3,0,554.0,0.0
2020-04-22,china,sichuan,30.6171,102.7103,561,0,3,0,556.0,2.0
2020-04-23,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,2.0
2020-04-24,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-04-25,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-04-26,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-04-27,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-04-28,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-04-29,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-04-30,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-01,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-02,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-03,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-04,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-05,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-06,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-07,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-08,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-09,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-10,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-11,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-12,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-13,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-14,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-15,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-16,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-17,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-18,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-19,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-20,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-21,china,sichuan,30.6171,102.7103,561,0,3,0,558.0,0.0
2020-05-22,china,sichuan,30.6171,102.7103,563,2,3,0,558.0,0.0
2020-05-23,china,sichuan,30.6171,102.7103,563,0,3,0,558.0,0.0
2020-05-24,china,sichuan,30.6171,102.7103,564,1,3,0,558.0,0.0
2020-05-25,china,sichuan,30.6171,102.7103,564,0,3,0,558.0,0.0
2020-05-26,china,sichuan,30.6171,102.7103,564,0,3,0,558.0,0.0
2020-05-27,china,sichuan,30.6171,102.7103,564,0,3,0,558.0,0.0
2020-05-28,china,sichuan,30.6171,102.7103,564,0,3,0,558.0,0.0
2020-05-29,china,sichuan,30.6171,102.7103,564,0,3,0,558.0,0.0
2020-05-30,china,sichuan,30.6171,102.7103,564,0,3,0,558.0,0.0
2020-05-31,china,sichuan,30.6171,102.7103,575,11,3,0,558.0,0.0
2020-06-01,china,sichuan,30.6171,102.7103,577,2,3,0,558.0,0.0
2020-06-02,china,sichuan,30.6171,102.7103,577,0,3,0,558.0,0.0
2020-06-03,china,sichuan,30.6171,102.7103,577,0,3,0,558.0,0.0
2020-06-04,china,sichuan,30.6171,102.7103,578,1,3,0,558.0,0.0
2020-06-05,china,sichuan,30.6171,102.7103,578,0,3,0,558.0,0.0
2020-06-06,china,sichuan,30.6171,102.7103,578,0,3,0,558.0,0.0
2020-06-07,china,sichuan,30.6171,102.7103,581,3,3,0,558.0,0.0
2020-06-08,china,sichuan,30.6171,102.7103,582,1,3,0,558.0,0.0
2020-06-09,china,sichuan,30.6171,102.7103,582,0,3,0,558.0,0.0
2020-06-10,china,sichuan,30.6171,102.7103,582,0,3,0,560.0,2.0
2020-06-11,china,sichuan,30.6171,102.7103,582,0,3,0,561.0,1.0
2020-06-12,china,sichuan,30.6171,102.7103,583,1,3,0,562.0,1.0
2020-06-13,china,sichuan,30.6171,102.7103,583,0,3,0,563.0,1.0
2020-06-14,china,sichuan,30.6171,102.7103,587,4,3,0,563.0,0.0
2020-06-15,china,sichuan,30.6171,102.7103,588,1,3,0,564.0,1.0
2020-06-16,china,sichuan,30.6171,102.7103,589,1,3,0,565.0,1.0
2020-06-17,china,sichuan,30.6171,102.7103,589,0,3,0,567.0,2.0
2020-06-18,china,sichuan,30.6171,102.7103,589,0,3,0,569.0,2.0
2020-06-19,china,sichuan,30.6171,102.7103,589,0,3,0,569.0,0.0
2020-06-20,china,sichuan,30.6171,102.7103,589,0,3,0,570.0,1.0
2020-06-21,china,sichuan,30.6171,102.7103,589,0,3,0,570.0,0.0
