date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-01-23,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-01-24,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-01-25,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-01-26,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-01-27,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-01-28,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-01-29,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-01-30,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-01-31,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-01,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-02,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-03,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-04,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-05,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-06,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-07,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-08,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-09,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-10,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-11,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-12,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-13,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-14,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-15,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-16,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-17,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-18,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-19,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-20,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-21,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-22,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-23,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-24,croatia,,45.1,15.2,0,0,0.0,0,0,0.0
2020-02-25,croatia,,45.1,15.2,1,0,0.0,1,0,0.0
2020-02-26,croatia,,45.1,15.2,3,0,0.0,2,0,0.0
2020-02-27,croatia,,45.1,15.2,3,0,0.0,0,0,0.0
2020-02-28,croatia,,45.1,15.2,5,0,0.0,2,0,0.0
2020-02-29,croatia,,45.1,15.2,6,0,0.0,1,0,0.0
2020-03-01,croatia,,45.1,15.2,7,0,0.0,1,0,0.0
2020-03-02,croatia,,45.1,15.2,7,0,0.0,0,0,0.0
2020-03-03,croatia,,45.1,15.2,9,0,0.0,2,0,0.0
2020-03-04,croatia,,45.1,15.2,10,0,0.0,1,0,0.0
2020-03-05,croatia,,45.1,15.2,10,0,0.0,0,0,0.0
2020-03-06,croatia,,45.1,15.2,11,0,0.0,1,0,0.0
2020-03-07,croatia,,45.1,15.2,12,0,0.0,1,0,0.0
2020-03-08,croatia,,45.1,15.2,12,0,0.0,0,0,0.0
2020-03-09,croatia,,45.1,15.2,12,0,0.0,0,0,0.0
2020-03-10,croatia,,45.1,15.2,14,0,0.0,2,0,0.0
2020-03-11,croatia,,45.1,15.2,19,0,0.0,5,0,0.0
2020-03-12,croatia,,45.1,15.2,19,0,0.0,0,0,0.0
2020-03-13,croatia,,45.1,15.2,32,0,1.0,13,0,1.0
2020-03-14,croatia,,45.1,15.2,38,0,1.0,6,0,0.0
2020-03-15,croatia,,45.1,15.2,49,0,1.0,11,0,0.0
2020-03-16,croatia,,45.1,15.2,57,0,2.0,8,0,1.0
2020-03-17,croatia,,45.1,15.2,65,0,4.0,8,0,2.0
2020-03-18,croatia,,45.1,15.2,81,0,4.0,16,0,0.0
2020-03-19,croatia,,45.1,15.2,105,1,5.0,24,1,1.0
2020-03-20,croatia,,45.1,15.2,128,1,5.0,23,0,0.0
2020-03-21,croatia,,45.1,15.2,206,1,5.0,78,0,0.0
2020-03-22,croatia,,45.1,15.2,254,1,5.0,48,0,0.0
2020-03-23,croatia,,45.1,15.2,315,1,5.0,61,0,0.0
2020-03-24,croatia,,45.1,15.2,382,1,5.0,67,0,0.0
2020-03-25,croatia,,45.1,15.2,442,1,22.0,60,0,17.0
2020-03-26,croatia,,45.1,15.2,495,3,22.0,53,2,0.0
2020-03-27,croatia,,45.1,15.2,586,3,37.0,91,0,15.0
2020-03-28,croatia,,45.1,15.2,657,5,45.0,71,2,8.0
2020-03-29,croatia,,45.1,15.2,713,6,52.0,56,1,7.0
2020-03-30,croatia,,45.1,15.2,790,6,67.0,77,0,15.0
2020-03-31,croatia,,45.1,15.2,867,6,67.0,77,0,0.0
2020-04-01,croatia,,45.1,15.2,963,6,73.0,96,0,6.0
2020-04-02,croatia,,45.1,15.2,1011,7,88.0,48,1,15.0
2020-04-03,croatia,,45.1,15.2,1079,8,92.0,68,1,4.0
2020-04-04,croatia,,45.1,15.2,1126,12,119.0,47,4,27.0
2020-04-05,croatia,,45.1,15.2,1182,15,125.0,56,3,6.0
2020-04-06,croatia,,45.1,15.2,1222,16,130.0,40,1,5.0
