date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-01-23,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-01-24,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-01-25,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-01-26,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-01-27,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-01-28,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-01-29,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-01-30,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-01-31,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-01,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-02,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-03,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-04,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-05,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-06,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-07,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-08,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-09,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-10,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-11,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-12,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-13,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-14,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-15,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-16,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-17,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-18,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-19,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-20,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-21,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-22,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-23,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-24,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-25,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-26,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-27,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-28,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-02-29,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-03-01,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-03-02,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-03-03,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-03-04,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-03-05,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-03-06,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-03-07,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-03-08,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-03-09,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-03-10,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-03-11,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-03-12,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-03-13,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-03-14,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-03-15,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-03-16,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-03-17,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-03-18,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-03-19,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-03-20,eritrea,,15.1794,39.7823,0,0,0.0,0,0,0.0
2020-03-21,eritrea,,15.1794,39.7823,1,0,0.0,1,0,0.0
2020-03-22,eritrea,,15.1794,39.7823,1,0,0.0,0,0,0.0
2020-03-23,eritrea,,15.1794,39.7823,1,0,0.0,0,0,0.0
2020-03-24,eritrea,,15.1794,39.7823,1,0,0.0,0,0,0.0
2020-03-25,eritrea,,15.1794,39.7823,4,0,0.0,3,0,0.0
2020-03-26,eritrea,,15.1794,39.7823,6,0,0.0,2,0,0.0
2020-03-27,eritrea,,15.1794,39.7823,6,0,0.0,0,0,0.0
2020-03-28,eritrea,,15.1794,39.7823,6,0,0.0,0,0,0.0
2020-03-29,eritrea,,15.1794,39.7823,12,0,0.0,6,0,0.0
2020-03-30,eritrea,,15.1794,39.7823,12,0,0.0,0,0,0.0
2020-03-31,eritrea,,15.1794,39.7823,15,0,0.0,3,0,0.0
2020-04-01,eritrea,,15.1794,39.7823,15,0,0.0,0,0,0.0
2020-04-02,eritrea,,15.1794,39.7823,22,0,0.0,7,0,0.0
2020-04-03,eritrea,,15.1794,39.7823,22,0,0.0,0,0,0.0
2020-04-04,eritrea,,15.1794,39.7823,29,0,0.0,7,0,0.0
2020-04-05,eritrea,,15.1794,39.7823,29,0,0.0,0,0,0.0
2020-04-06,eritrea,,15.1794,39.7823,31,0,0.0,2,0,0.0
2020-04-07,eritrea,,15.1794,39.7823,31,0,0.0,0,0,0.0
2020-04-08,eritrea,,15.1794,39.7823,33,0,0.0,2,0,0.0
2020-04-09,eritrea,,15.1794,39.7823,33,0,0.0,0,0,0.0
2020-04-10,eritrea,,15.1794,39.7823,34,0,0.0,1,0,0.0
2020-04-11,eritrea,,15.1794,39.7823,34,0,0.0,0,0,0.0
2020-04-12,eritrea,,15.1794,39.7823,34,0,0.0,0,0,0.0
2020-04-13,eritrea,,15.1794,39.7823,34,0,0.0,0,0,0.0
2020-04-14,eritrea,,15.1794,39.7823,34,0,0.0,0,0,0.0
2020-04-15,eritrea,,15.1794,39.7823,35,0,0.0,1,0,0.0
2020-04-16,eritrea,,15.1794,39.7823,35,0,0.0,0,0,0.0
2020-04-17,eritrea,,15.1794,39.7823,35,0,0.0,0,0,0.0
