date,country,state,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new,lat,long
2020-01-22,finland,,0,0,0.0,0,0,0.0,64.0,26.0
2020-01-23,finland,,0,0,0.0,0,0,0.0,64.0,26.0
2020-01-24,finland,,0,0,0.0,0,0,0.0,64.0,26.0
2020-01-25,finland,,0,0,0.0,0,0,0.0,64.0,26.0
2020-01-26,finland,,0,0,0.0,0,0,0.0,64.0,26.0
2020-01-27,finland,,0,0,0.0,0,0,0.0,64.0,26.0
2020-01-28,finland,,0,0,0.0,0,0,0.0,64.0,26.0
2020-01-29,finland,,1,0,0.0,1,0,0.0,64.0,26.0
2020-01-30,finland,,1,0,0.0,0,0,0.0,64.0,26.0
2020-01-31,finland,,1,0,0.0,0,0,0.0,64.0,26.0
2020-02-01,finland,,1,0,0.0,0,0,0.0,64.0,26.0
2020-02-02,finland,,1,0,0.0,0,0,0.0,64.0,26.0
2020-02-03,finland,,1,0,0.0,0,0,0.0,64.0,26.0
2020-02-04,finland,,1,0,0.0,0,0,0.0,64.0,26.0
2020-02-05,finland,,1,0,0.0,0,0,0.0,64.0,26.0
2020-02-06,finland,,1,0,0.0,0,0,0.0,64.0,26.0
2020-02-07,finland,,1,0,0.0,0,0,0.0,64.0,26.0
2020-02-08,finland,,1,0,0.0,0,0,0.0,64.0,26.0
2020-02-09,finland,,1,0,0.0,0,0,0.0,64.0,26.0
2020-02-10,finland,,1,0,0.0,0,0,0.0,64.0,26.0
2020-02-11,finland,,1,0,0.0,0,0,0.0,64.0,26.0
2020-02-12,finland,,1,0,1.0,0,0,1.0,64.0,26.0
2020-02-13,finland,,1,0,1.0,0,0,0.0,64.0,26.0
2020-02-14,finland,,1,0,1.0,0,0,0.0,64.0,26.0
2020-02-15,finland,,1,0,1.0,0,0,0.0,64.0,26.0
2020-02-16,finland,,1,0,1.0,0,0,0.0,64.0,26.0
2020-02-17,finland,,1,0,1.0,0,0,0.0,64.0,26.0
2020-02-18,finland,,1,0,1.0,0,0,0.0,64.0,26.0
2020-02-19,finland,,1,0,1.0,0,0,0.0,64.0,26.0
2020-02-20,finland,,1,0,1.0,0,0,0.0,64.0,26.0
2020-02-21,finland,,1,0,1.0,0,0,0.0,64.0,26.0
2020-02-22,finland,,1,0,1.0,0,0,0.0,64.0,26.0
2020-02-23,finland,,1,0,1.0,0,0,0.0,64.0,26.0
2020-02-24,finland,,1,0,1.0,0,0,0.0,64.0,26.0
2020-02-25,finland,,1,0,1.0,0,0,0.0,64.0,26.0
2020-02-26,finland,,2,0,1.0,1,0,0.0,64.0,26.0
2020-02-27,finland,,2,0,1.0,0,0,0.0,64.0,26.0
2020-02-28,finland,,2,0,1.0,0,0,0.0,64.0,26.0
2020-02-29,finland,,3,0,1.0,1,0,0.0,64.0,26.0
2020-03-01,finland,,6,0,1.0,3,0,0.0,64.0,26.0
2020-03-02,finland,,6,0,1.0,0,0,0.0,64.0,26.0
2020-03-03,finland,,6,0,1.0,0,0,0.0,64.0,26.0
2020-03-04,finland,,6,0,1.0,0,0,0.0,64.0,26.0
2020-03-05,finland,,12,0,1.0,6,0,0.0,64.0,26.0
2020-03-06,finland,,15,0,1.0,3,0,0.0,64.0,26.0
2020-03-07,finland,,15,0,1.0,0,0,0.0,64.0,26.0
2020-03-08,finland,,23,0,1.0,8,0,0.0,64.0,26.0
2020-03-09,finland,,30,0,1.0,7,0,0.0,64.0,26.0
2020-03-10,finland,,40,0,1.0,10,0,0.0,64.0,26.0
2020-03-11,finland,,59,0,1.0,19,0,0.0,64.0,26.0
2020-03-12,finland,,59,0,1.0,0,0,0.0,64.0,26.0
2020-03-13,finland,,155,0,1.0,96,0,0.0,64.0,26.0
2020-03-14,finland,,225,0,1.0,70,0,0.0,64.0,26.0
2020-03-15,finland,,244,0,10.0,19,0,9.0,64.0,26.0
2020-03-16,finland,,277,0,10.0,33,0,0.0,64.0,26.0
2020-03-17,finland,,321,0,10.0,44,0,0.0,64.0,26.0
2020-03-18,finland,,336,0,10.0,15,0,0.0,64.0,26.0
2020-03-19,finland,,400,0,10.0,64,0,0.0,64.0,26.0
2020-03-20,finland,,450,0,10.0,50,0,0.0,64.0,26.0
2020-03-21,finland,,523,1,10.0,73,1,0.0,64.0,26.0
2020-03-22,finland,,626,1,10.0,103,0,0.0,64.0,26.0
2020-03-23,finland,,700,1,10.0,74,0,0.0,64.0,26.0
2020-03-24,finland,,792,1,10.0,92,0,0.0,64.0,26.0
2020-03-25,finland,,880,3,10.0,88,2,0.0,64.0,26.0
2020-03-26,finland,,958,5,10.0,78,2,0.0,64.0,26.0
2020-03-27,finland,,1041,7,10.0,83,2,0.0,64.0,26.0
2020-03-28,finland,,1167,9,10.0,126,2,0.0,64.0,26.0
2020-03-29,finland,,1240,11,10.0,73,2,0.0,64.0,26.0
2020-03-30,finland,,1352,13,10.0,112,2,0.0,64.0,26.0
2020-03-31,finland,,1418,17,10.0,66,4,0.0,64.0,26.0
2020-04-01,finland,,1446,17,10.0,28,0,0.0,64.0,26.0
2020-04-02,finland,,1518,19,300.0,72,2,290.0,64.0,26.0
