index_x,state,country,lat,long,date,confirmed,confirmed_new,index_y,deaths,deaths_new,index,recovered,recovered_new
111,new-caledonia,france,-20.9043,165.618,2020-01-22,0,0,111,0,0,104.0,0.0,0.0
369,new-caledonia,france,-20.9043,165.618,2020-01-23,0,0,369,0,0,348.0,0.0,0.0
627,new-caledonia,france,-20.9043,165.618,2020-01-24,0,0,627,0,0,592.0,0.0,0.0
885,new-caledonia,france,-20.9043,165.618,2020-01-25,0,0,885,0,0,836.0,0.0,0.0
1143,new-caledonia,france,-20.9043,165.618,2020-01-26,0,0,1143,0,0,1080.0,0.0,0.0
1401,new-caledonia,france,-20.9043,165.618,2020-01-27,0,0,1401,0,0,1324.0,0.0,0.0
1659,new-caledonia,france,-20.9043,165.618,2020-01-28,0,0,1659,0,0,1568.0,0.0,0.0
1917,new-caledonia,france,-20.9043,165.618,2020-01-29,0,0,1917,0,0,1812.0,0.0,0.0
2175,new-caledonia,france,-20.9043,165.618,2020-01-30,0,0,2175,0,0,2056.0,0.0,0.0
2433,new-caledonia,france,-20.9043,165.618,2020-01-31,0,0,2433,0,0,2300.0,0.0,0.0
2691,new-caledonia,france,-20.9043,165.618,2020-02-01,0,0,2691,0,0,2544.0,0.0,0.0
2949,new-caledonia,france,-20.9043,165.618,2020-02-02,0,0,2949,0,0,2788.0,0.0,0.0
3207,new-caledonia,france,-20.9043,165.618,2020-02-03,0,0,3207,0,0,3032.0,0.0,0.0
3465,new-caledonia,france,-20.9043,165.618,2020-02-04,0,0,3465,0,0,3276.0,0.0,0.0
3723,new-caledonia,france,-20.9043,165.618,2020-02-05,0,0,3723,0,0,3520.0,0.0,0.0
3981,new-caledonia,france,-20.9043,165.618,2020-02-06,0,0,3981,0,0,3764.0,0.0,0.0
4239,new-caledonia,france,-20.9043,165.618,2020-02-07,0,0,4239,0,0,4008.0,0.0,0.0
4497,new-caledonia,france,-20.9043,165.618,2020-02-08,0,0,4497,0,0,4252.0,0.0,0.0
4755,new-caledonia,france,-20.9043,165.618,2020-02-09,0,0,4755,0,0,4496.0,0.0,0.0
5013,new-caledonia,france,-20.9043,165.618,2020-02-10,0,0,5013,0,0,4740.0,0.0,0.0
5271,new-caledonia,france,-20.9043,165.618,2020-02-11,0,0,5271,0,0,4984.0,0.0,0.0
5529,new-caledonia,france,-20.9043,165.618,2020-02-12,0,0,5529,0,0,5228.0,0.0,0.0
5787,new-caledonia,france,-20.9043,165.618,2020-02-13,0,0,5787,0,0,5472.0,0.0,0.0
6045,new-caledonia,france,-20.9043,165.618,2020-02-14,0,0,6045,0,0,5716.0,0.0,0.0
6303,new-caledonia,france,-20.9043,165.618,2020-02-15,0,0,6303,0,0,5960.0,0.0,0.0
6561,new-caledonia,france,-20.9043,165.618,2020-02-16,0,0,6561,0,0,6204.0,0.0,0.0
6819,new-caledonia,france,-20.9043,165.618,2020-02-17,0,0,6819,0,0,6448.0,0.0,0.0
7077,new-caledonia,france,-20.9043,165.618,2020-02-18,0,0,7077,0,0,6692.0,0.0,0.0
7335,new-caledonia,france,-20.9043,165.618,2020-02-19,0,0,7335,0,0,6936.0,0.0,0.0
7593,new-caledonia,france,-20.9043,165.618,2020-02-20,0,0,7593,0,0,7180.0,0.0,0.0
7851,new-caledonia,france,-20.9043,165.618,2020-02-21,0,0,7851,0,0,7424.0,0.0,0.0
8109,new-caledonia,france,-20.9043,165.618,2020-02-22,0,0,8109,0,0,7668.0,0.0,0.0
8367,new-caledonia,france,-20.9043,165.618,2020-02-23,0,0,8367,0,0,7912.0,0.0,0.0
8625,new-caledonia,france,-20.9043,165.618,2020-02-24,0,0,8625,0,0,8156.0,0.0,0.0
8883,new-caledonia,france,-20.9043,165.618,2020-02-25,0,0,8883,0,0,8400.0,0.0,0.0
9141,new-caledonia,france,-20.9043,165.618,2020-02-26,0,0,9141,0,0,8644.0,0.0,0.0
9399,new-caledonia,france,-20.9043,165.618,2020-02-27,0,0,9399,0,0,8888.0,0.0,0.0
9657,new-caledonia,france,-20.9043,165.618,2020-02-28,0,0,9657,0,0,9132.0,0.0,0.0
9915,new-caledonia,france,-20.9043,165.618,2020-02-29,0,0,9915,0,0,9376.0,0.0,0.0
10173,new-caledonia,france,-20.9043,165.618,2020-03-01,0,0,10173,0,0,9620.0,0.0,0.0
10431,new-caledonia,france,-20.9043,165.618,2020-03-02,0,0,10431,0,0,9864.0,0.0,0.0
10689,new-caledonia,france,-20.9043,165.618,2020-03-03,0,0,10689,0,0,10108.0,0.0,0.0
10947,new-caledonia,france,-20.9043,165.618,2020-03-04,0,0,10947,0,0,10352.0,0.0,0.0
11205,new-caledonia,france,-20.9043,165.618,2020-03-05,0,0,11205,0,0,10596.0,0.0,0.0
11463,new-caledonia,france,-20.9043,165.618,2020-03-06,0,0,11463,0,0,10840.0,0.0,0.0
11721,new-caledonia,france,-20.9043,165.618,2020-03-07,0,0,11721,0,0,11084.0,0.0,0.0
11979,new-caledonia,france,-20.9043,165.618,2020-03-08,0,0,11979,0,0,11328.0,0.0,0.0
12237,new-caledonia,france,-20.9043,165.618,2020-03-09,0,0,12237,0,0,11572.0,0.0,0.0
12495,new-caledonia,france,-20.9043,165.618,2020-03-10,0,0,12495,0,0,11816.0,0.0,0.0
12753,new-caledonia,france,-20.9043,165.618,2020-03-11,0,0,12753,0,0,12060.0,0.0,0.0
13011,new-caledonia,france,-20.9043,165.618,2020-03-12,0,0,13011,0,0,12304.0,0.0,0.0
13269,new-caledonia,france,-20.9043,165.618,2020-03-13,0,0,13269,0,0,12548.0,0.0,0.0
13527,new-caledonia,france,-20.9043,165.618,2020-03-14,0,0,13527,0,0,12792.0,0.0,0.0
13785,new-caledonia,france,-20.9043,165.618,2020-03-15,0,0,13785,0,0,13036.0,0.0,0.0
14043,new-caledonia,france,-20.9043,165.618,2020-03-16,0,0,14043,0,0,13280.0,0.0,0.0
14301,new-caledonia,france,-20.9043,165.618,2020-03-17,0,0,14301,0,0,13524.0,0.0,0.0
14559,new-caledonia,france,-20.9043,165.618,2020-03-18,0,0,14559,0,0,13768.0,0.0,0.0
14817,new-caledonia,france,-20.9043,165.618,2020-03-19,2,2,14817,0,0,14012.0,0.0,0.0
15075,new-caledonia,france,-20.9043,165.618,2020-03-20,2,0,15075,0,0,14256.0,0.0,0.0
15333,new-caledonia,france,-20.9043,165.618,2020-03-21,4,2,15333,0,0,14500.0,0.0,0.0
15591,new-caledonia,france,-20.9043,165.618,2020-03-22,4,0,15591,0,0,14744.0,0.0,0.0
