index_x,state,country,lat,long,date,confirmed,confirmed_new,index_y,deaths,deaths_new,index,recovered,recovered_new
113,saint-barthelemy,france,17.9,-62.8333,2020-01-22,0,0,113,0,0,106.0,0.0,0.0
371,saint-barthelemy,france,17.9,-62.8333,2020-01-23,0,0,371,0,0,350.0,0.0,0.0
629,saint-barthelemy,france,17.9,-62.8333,2020-01-24,0,0,629,0,0,594.0,0.0,0.0
887,saint-barthelemy,france,17.9,-62.8333,2020-01-25,0,0,887,0,0,838.0,0.0,0.0
1145,saint-barthelemy,france,17.9,-62.8333,2020-01-26,0,0,1145,0,0,1082.0,0.0,0.0
1403,saint-barthelemy,france,17.9,-62.8333,2020-01-27,0,0,1403,0,0,1326.0,0.0,0.0
1661,saint-barthelemy,france,17.9,-62.8333,2020-01-28,0,0,1661,0,0,1570.0,0.0,0.0
1919,saint-barthelemy,france,17.9,-62.8333,2020-01-29,0,0,1919,0,0,1814.0,0.0,0.0
2177,saint-barthelemy,france,17.9,-62.8333,2020-01-30,0,0,2177,0,0,2058.0,0.0,0.0
2435,saint-barthelemy,france,17.9,-62.8333,2020-01-31,0,0,2435,0,0,2302.0,0.0,0.0
2693,saint-barthelemy,france,17.9,-62.8333,2020-02-01,0,0,2693,0,0,2546.0,0.0,0.0
2951,saint-barthelemy,france,17.9,-62.8333,2020-02-02,0,0,2951,0,0,2790.0,0.0,0.0
3209,saint-barthelemy,france,17.9,-62.8333,2020-02-03,0,0,3209,0,0,3034.0,0.0,0.0
3467,saint-barthelemy,france,17.9,-62.8333,2020-02-04,0,0,3467,0,0,3278.0,0.0,0.0
3725,saint-barthelemy,france,17.9,-62.8333,2020-02-05,0,0,3725,0,0,3522.0,0.0,0.0
3983,saint-barthelemy,france,17.9,-62.8333,2020-02-06,0,0,3983,0,0,3766.0,0.0,0.0
4241,saint-barthelemy,france,17.9,-62.8333,2020-02-07,0,0,4241,0,0,4010.0,0.0,0.0
4499,saint-barthelemy,france,17.9,-62.8333,2020-02-08,0,0,4499,0,0,4254.0,0.0,0.0
4757,saint-barthelemy,france,17.9,-62.8333,2020-02-09,0,0,4757,0,0,4498.0,0.0,0.0
5015,saint-barthelemy,france,17.9,-62.8333,2020-02-10,0,0,5015,0,0,4742.0,0.0,0.0
5273,saint-barthelemy,france,17.9,-62.8333,2020-02-11,0,0,5273,0,0,4986.0,0.0,0.0
5531,saint-barthelemy,france,17.9,-62.8333,2020-02-12,0,0,5531,0,0,5230.0,0.0,0.0
