date,country,state,lat,long,confirmed,confirmed_new,deaths,deaths_new,recovered,recovered_new
2020-01-22,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-01-23,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-01-24,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-01-25,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-01-26,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-01-27,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-01-28,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-01-29,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-01-30,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-01-31,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-01,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-02,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-03,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-04,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-05,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-06,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-07,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-08,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-09,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-10,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-11,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-12,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-13,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-14,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-15,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-16,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-17,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-18,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-19,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-20,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-21,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-22,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-23,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-24,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-25,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-26,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-27,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-28,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-02-29,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-03-01,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-03-02,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-03-03,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-03-04,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-03-05,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-03-06,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-03-07,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-03-08,france,st-martin,18.0708,-63.0501,0,0,0,0,0.0,0.0
2020-03-09,france,st-martin,18.0708,-63.0501,2,2,0,0,0.0,0.0
2020-03-10,france,st-martin,18.0708,-63.0501,2,0,0,0,0.0,0.0
2020-03-11,france,st-martin,18.0708,-63.0501,2,0,0,0,0.0,0.0
2020-03-12,france,st-martin,18.0708,-63.0501,2,0,0,0,0.0,0.0
2020-03-13,france,st-martin,18.0708,-63.0501,2,0,0,0,0.0,0.0
2020-03-14,france,st-martin,18.0708,-63.0501,2,0,0,0,0.0,0.0
2020-03-15,france,st-martin,18.0708,-63.0501,2,0,0,0,0.0,0.0
2020-03-16,france,st-martin,18.0708,-63.0501,2,0,0,0,0.0,0.0
2020-03-17,france,st-martin,18.0708,-63.0501,2,0,0,0,0.0,0.0
2020-03-18,france,st-martin,18.0708,-63.0501,3,1,0,0,0.0,0.0
2020-03-19,france,st-martin,18.0708,-63.0501,4,1,0,0,0.0,0.0
2020-03-20,france,st-martin,18.0708,-63.0501,4,0,0,0,0.0,0.0
2020-03-21,france,st-martin,18.0708,-63.0501,4,0,0,0,0.0,0.0
2020-03-22,france,st-martin,18.0708,-63.0501,5,1,0,0,0.0,0.0
