date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-01-23,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-01-24,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-01-25,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-01-26,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-01-27,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-01-28,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-01-29,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-01-30,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-01-31,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-01,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-02,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-03,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-04,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-05,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-06,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-07,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-08,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-09,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-10,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-11,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-12,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-13,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-14,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-15,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-16,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-17,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-18,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-19,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-20,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-21,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-22,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-23,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-24,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-25,georgia,,42.3154,43.3569,0,0,0.0,0,0,0.0
2020-02-26,georgia,,42.3154,43.3569,1,0,0.0,1,0,0.0
2020-02-27,georgia,,42.3154,43.3569,1,0,0.0,0,0,0.0
2020-02-28,georgia,,42.3154,43.3569,1,0,0.0,0,0,0.0
2020-02-29,georgia,,42.3154,43.3569,1,0,0.0,0,0,0.0
