date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-01-23,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-01-24,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-01-25,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-01-26,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-01-27,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-01-28,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-01-29,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-01-30,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-01-31,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-01,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-02,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-03,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-04,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-05,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-06,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-07,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-08,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-09,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-10,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-11,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-12,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-13,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-14,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-15,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-16,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-17,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-18,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-19,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-20,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-21,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-22,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-23,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-24,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-25,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-26,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-27,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-28,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-02-29,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-03-01,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-03-02,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-03-03,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-03-04,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-03-05,holy-see,,41.9029,12.4534,0,0,0.0,0,0,0.0
2020-03-06,holy-see,,41.9029,12.4534,1,0,0.0,1,0,0.0
2020-03-07,holy-see,,41.9029,12.4534,1,0,0.0,0,0,0.0
2020-03-08,holy-see,,41.9029,12.4534,1,0,0.0,0,0,0.0
2020-03-09,holy-see,,41.9029,12.4534,1,0,0.0,0,0,0.0
2020-03-10,holy-see,,41.9029,12.4534,1,0,0.0,0,0,0.0
2020-03-11,holy-see,,41.9029,12.4534,1,0,0.0,0,0,0.0
2020-03-12,holy-see,,41.9029,12.4534,1,0,0.0,0,0,0.0
2020-03-13,holy-see,,41.9029,12.4534,1,0,0.0,0,0,0.0
2020-03-14,holy-see,,41.9029,12.4534,1,0,0.0,0,0,0.0
2020-03-15,holy-see,,41.9029,12.4534,1,0,0.0,0,0,0.0
2020-03-16,holy-see,,41.9029,12.4534,1,0,0.0,0,0,0.0
2020-03-17,holy-see,,41.9029,12.4534,1,0,0.0,0,0,0.0
2020-03-18,holy-see,,41.9029,12.4534,1,0,0.0,0,0,0.0
2020-03-19,holy-see,,41.9029,12.4534,1,0,0.0,0,0,0.0
2020-03-20,holy-see,,41.9029,12.4534,1,0,0.0,0,0,0.0
2020-03-21,holy-see,,41.9029,12.4534,1,0,0.0,0,0,0.0
2020-03-22,holy-see,,41.9029,12.4534,1,0,0.0,0,0,0.0
2020-03-23,holy-see,,41.9029,12.4534,1,0,0.0,0,0,0.0
2020-03-24,holy-see,,41.9029,12.4534,4,0,0.0,3,0,0.0
2020-03-25,holy-see,,41.9029,12.4534,4,0,0.0,0,0,0.0
2020-03-26,holy-see,,41.9029,12.4534,4,0,0.0,0,0,0.0
2020-03-27,holy-see,,41.9029,12.4534,4,0,0.0,0,0,0.0
2020-03-28,holy-see,,41.9029,12.4534,6,0,0.0,2,0,0.0
2020-03-29,holy-see,,41.9029,12.4534,6,0,0.0,0,0,0.0
2020-03-30,holy-see,,41.9029,12.4534,6,0,0.0,0,0,0.0
2020-03-31,holy-see,,41.9029,12.4534,6,0,0.0,0,0,0.0
2020-04-01,holy-see,,41.9029,12.4534,6,0,0.0,0,0,0.0
2020-04-02,holy-see,,41.9029,12.4534,7,0,0.0,1,0,0.0
2020-04-03,holy-see,,41.9029,12.4534,7,0,0.0,0,0,0.0
