date,country,state,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new,lat,long
2020-01-22,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-01-23,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-01-24,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-01-25,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-01-26,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-01-27,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-01-28,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-01-29,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-01-30,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-01-31,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-01,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-02,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-03,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-04,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-05,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-06,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-07,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-08,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-09,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-10,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-11,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-12,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-13,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-14,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-15,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-16,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-17,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-18,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-19,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-20,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-21,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-22,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-23,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-24,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-25,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-26,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-27,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-28,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-02-29,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-03-01,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-03-02,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-03-03,hungary,,0,0,0.0,0,0,0.0,47.1625,19.5033
2020-03-04,hungary,,2,0,0.0,2,0,0.0,47.1625,19.5033
2020-03-05,hungary,,2,0,0.0,0,0,0.0,47.1625,19.5033
2020-03-06,hungary,,2,0,0.0,0,0,0.0,47.1625,19.5033
2020-03-07,hungary,,4,0,0.0,2,0,0.0,47.1625,19.5033
2020-03-08,hungary,,7,0,0.0,3,0,0.0,47.1625,19.5033
2020-03-09,hungary,,9,0,0.0,2,0,0.0,47.1625,19.5033
2020-03-10,hungary,,9,0,0.0,0,0,0.0,47.1625,19.5033
2020-03-11,hungary,,13,0,0.0,4,0,0.0,47.1625,19.5033
2020-03-12,hungary,,13,0,0.0,0,0,0.0,47.1625,19.5033
2020-03-13,hungary,,19,0,0.0,6,0,0.0,47.1625,19.5033
2020-03-14,hungary,,30,0,1.0,11,0,1.0,47.1625,19.5033
2020-03-15,hungary,,32,1,1.0,2,1,0.0,47.1625,19.5033
2020-03-16,hungary,,39,1,1.0,7,0,0.0,47.1625,19.5033
2020-03-17,hungary,,50,1,2.0,11,0,1.0,47.1625,19.5033
2020-03-18,hungary,,58,1,2.0,8,0,0.0,47.1625,19.5033
2020-03-19,hungary,,73,1,2.0,15,0,0.0,47.1625,19.5033
2020-03-20,hungary,,85,3,2.0,12,2,0.0,47.1625,19.5033
2020-03-21,hungary,,103,4,7.0,18,1,5.0,47.1625,19.5033
2020-03-22,hungary,,131,6,16.0,28,2,9.0,47.1625,19.5033
2020-03-23,hungary,,167,7,16.0,36,1,0.0,47.1625,19.5033
2020-03-24,hungary,,187,9,21.0,20,2,5.0,47.1625,19.5033
2020-03-25,hungary,,226,10,21.0,39,1,0.0,47.1625,19.5033
2020-03-26,hungary,,261,10,28.0,35,0,7.0,47.1625,19.5033
2020-03-27,hungary,,300,10,34.0,39,0,6.0,47.1625,19.5033
2020-03-28,hungary,,343,11,34.0,43,1,0.0,47.1625,19.5033
2020-03-29,hungary,,408,13,34.0,65,2,0.0,47.1625,19.5033
2020-03-30,hungary,,447,15,34.0,39,2,0.0,47.1625,19.5033
2020-03-31,hungary,,492,16,37.0,45,1,3.0,47.1625,19.5033
2020-04-01,hungary,,525,20,40.0,33,4,3.0,47.1625,19.5033
2020-04-02,hungary,,585,21,42.0,60,1,2.0,47.1625,19.5033
