date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,india,,20.593684,78.96288,0,0,0.0,0,0,0.0
2020-01-23,india,,20.593684,78.96288,0,0,0.0,0,0,0.0
2020-01-24,india,,20.593684,78.96288,0,0,0.0,0,0,0.0
2020-01-25,india,,20.593684,78.96288,0,0,0.0,0,0,0.0
2020-01-26,india,,20.593684,78.96288,0,0,0.0,0,0,0.0
2020-01-27,india,,20.593684,78.96288,0,0,0.0,0,0,0.0
2020-01-28,india,,20.593684,78.96288,0,0,0.0,0,0,0.0
2020-01-29,india,,20.593684,78.96288,0,0,0.0,0,0,0.0
2020-01-30,india,,20.593684,78.96288,1,0,0.0,1,0,0.0
2020-01-31,india,,20.593684,78.96288,1,0,0.0,0,0,0.0
2020-02-01,india,,20.593684,78.96288,1,0,0.0,0,0,0.0
2020-02-02,india,,20.593684,78.96288,2,0,0.0,1,0,0.0
2020-02-03,india,,20.593684,78.96288,3,0,0.0,1,0,0.0
2020-02-04,india,,20.593684,78.96288,3,0,0.0,0,0,0.0
2020-02-05,india,,20.593684,78.96288,3,0,0.0,0,0,0.0
2020-02-06,india,,20.593684,78.96288,3,0,0.0,0,0,0.0
2020-02-07,india,,20.593684,78.96288,3,0,0.0,0,0,0.0
2020-02-08,india,,20.593684,78.96288,3,0,0.0,0,0,0.0
2020-02-09,india,,20.593684,78.96288,3,0,0.0,0,0,0.0
2020-02-10,india,,20.593684,78.96288,3,0,0.0,0,0,0.0
2020-02-11,india,,20.593684,78.96288,3,0,0.0,0,0,0.0
2020-02-12,india,,20.593684,78.96288,3,0,0.0,0,0,0.0
2020-02-13,india,,20.593684,78.96288,3,0,0.0,0,0,0.0
2020-02-14,india,,20.593684,78.96288,3,0,0.0,0,0,0.0
2020-02-15,india,,20.593684,78.96288,3,0,0.0,0,0,0.0
2020-02-16,india,,20.593684,78.96288,3,0,3.0,0,0,3.0
2020-02-17,india,,20.593684,78.96288,3,0,3.0,0,0,0.0
2020-02-18,india,,20.593684,78.96288,3,0,3.0,0,0,0.0
2020-02-19,india,,20.593684,78.96288,3,0,3.0,0,0,0.0
2020-02-20,india,,20.593684,78.96288,3,0,3.0,0,0,0.0
2020-02-21,india,,20.593684,78.96288,3,0,3.0,0,0,0.0
2020-02-22,india,,20.593684,78.96288,3,0,3.0,0,0,0.0
2020-02-23,india,,20.593684,78.96288,3,0,3.0,0,0,0.0
2020-02-24,india,,20.593684,78.96288,3,0,3.0,0,0,0.0
2020-02-25,india,,20.593684,78.96288,3,0,3.0,0,0,0.0
2020-02-26,india,,20.593684,78.96288,3,0,3.0,0,0,0.0
2020-02-27,india,,20.593684,78.96288,3,0,3.0,0,0,0.0
2020-02-28,india,,20.593684,78.96288,3,0,3.0,0,0,0.0
2020-02-29,india,,20.593684,78.96288,3,0,3.0,0,0,0.0
2020-03-01,india,,20.593684,78.96288,3,0,3.0,0,0,0.0
2020-03-02,india,,20.593684,78.96288,5,0,3.0,2,0,0.0
2020-03-03,india,,20.593684,78.96288,5,0,3.0,0,0,0.0
2020-03-04,india,,20.593684,78.96288,28,0,3.0,23,0,0.0
2020-03-05,india,,20.593684,78.96288,30,0,3.0,2,0,0.0
2020-03-06,india,,20.593684,78.96288,31,0,3.0,1,0,0.0
2020-03-07,india,,20.593684,78.96288,34,0,3.0,3,0,0.0
2020-03-08,india,,20.593684,78.96288,39,0,3.0,5,0,0.0
2020-03-09,india,,20.593684,78.96288,43,0,3.0,4,0,0.0
2020-03-10,india,,20.593684,78.96288,56,0,4.0,13,0,1.0
2020-03-11,india,,20.593684,78.96288,62,1,4.0,6,1,0.0
2020-03-12,india,,20.593684,78.96288,73,1,4.0,11,0,0.0
2020-03-13,india,,20.593684,78.96288,82,2,4.0,9,1,0.0
2020-03-14,india,,20.593684,78.96288,102,2,4.0,20,0,0.0
2020-03-15,india,,20.593684,78.96288,113,2,13.0,11,0,9.0
2020-03-16,india,,20.593684,78.96288,119,2,13.0,6,0,0.0
2020-03-17,india,,20.593684,78.96288,142,3,14.0,23,1,1.0
2020-03-18,india,,20.593684,78.96288,156,3,14.0,14,0,0.0
2020-03-19,india,,20.593684,78.96288,194,4,15.0,38,1,1.0
2020-03-20,india,,20.593684,78.96288,244,5,20.0,50,1,5.0
2020-03-21,india,,20.593684,78.96288,330,4,23.0,86,-1,3.0
2020-03-22,india,,20.593684,78.96288,396,7,27.0,66,3,4.0
2020-03-23,india,,20.593684,78.96288,499,10,27.0,103,3,0.0
2020-03-24,india,,20.593684,78.96288,536,10,40.0,37,0,13.0
2020-03-25,india,,20.593684,78.96288,657,12,43.0,121,2,3.0
2020-03-26,india,,20.593684,78.96288,727,20,45.0,70,8,2.0
2020-03-27,india,,20.593684,78.96288,887,20,73.0,160,0,28.0
2020-03-28,india,,20.593684,78.96288,987,24,84.0,100,4,11.0
2020-03-29,india,,20.593684,78.96288,1024,27,95.0,37,3,11.0
2020-03-30,india,,20.593684,78.96288,1251,32,102.0,227,5,7.0
2020-03-31,india,,20.593684,78.96288,1397,35,123.0,146,3,21.0
2020-04-01,india,,20.593684,78.96288,1998,58,148.0,601,23,25.0
2020-04-02,india,,20.593684,78.96288,2543,72,191.0,545,14,43.0
2020-04-03,india,,20.593684,78.96288,2567,72,192.0,24,0,1.0
2020-04-04,india,,20.593684,78.96288,3082,86,229.0,515,14,37.0
2020-04-05,india,,20.593684,78.96288,3588,99,229.0,506,13,0.0
2020-04-06,india,,20.593684,78.96288,4778,136,375.0,1190,37,146.0
2020-04-07,india,,20.593684,78.96288,5311,150,421.0,533,14,46.0
2020-04-08,india,,20.593684,78.96288,5916,178,506.0,605,28,85.0
2020-04-09,india,,20.593684,78.96288,6725,226,620.0,809,48,114.0
2020-04-10,india,,20.593684,78.96288,7598,246,774.0,873,20,154.0
2020-04-11,india,,20.593684,78.96288,8446,288,969.0,848,42,195.0
2020-04-12,india,,20.593684,78.96288,9205,331,1080.0,759,43,111.0
2020-04-13,india,,20.593684,78.96288,10453,358,1181.0,1248,27,101.0
2020-04-14,india,,20.593684,78.96288,11487,393,1359.0,1034,35,178.0
2020-04-15,india,,20.593684,78.96288,12322,405,1432.0,835,12,73.0
2020-04-16,india,,20.593684,78.96288,13430,448,1768.0,1108,43,336.0
2020-04-17,india,,20.593684,78.96288,14352,486,2041.0,922,38,273.0
2020-04-18,india,,20.593684,78.96288,15722,521,2463.0,1370,35,422.0
2020-04-19,india,,20.593684,78.96288,17615,559,2854.0,1893,38,391.0
2020-04-20,india,,20.593684,78.96288,18539,592,3273.0,924,33,419.0
2020-04-21,india,,20.593684,78.96288,20080,645,3975.0,1541,53,702.0
2020-04-22,india,,20.593684,78.96288,21370,681,4370.0,1290,36,395.0
2020-04-23,india,,20.593684,78.96288,23077,721,5012.0,1707,40,642.0
2020-04-24,india,,20.593684,78.96288,24530,780,5498.0,1453,59,486.0
2020-04-25,india,,20.593684,78.96288,26283,825,5939.0,1753,45,441.0
2020-04-26,india,,20.593684,78.96288,27890,881,6523.0,1607,56,584.0
2020-04-27,india,,20.593684,78.96288,29451,939,7137.0,1561,58,614.0
2020-04-28,india,,20.593684,78.96288,31324,1008,7747.0,1873,69,610.0
2020-04-29,india,,20.593684,78.96288,33062,1079,8437.0,1738,71,690.0
2020-04-30,india,,20.593684,78.96288,34863,1154,9068.0,1801,75,631.0
2020-05-01,india,,20.593684,78.96288,37257,1223,10007.0,2394,69,939.0
2020-05-02,india,,20.593684,78.96288,39699,1323,10819.0,2442,100,812.0
2020-05-03,india,,20.593684,78.96288,42505,1391,11775.0,2806,68,956.0
2020-05-04,india,,20.593684,78.96288,46437,1566,12847.0,3932,175,1072.0
2020-05-05,india,,20.593684,78.96288,49400,1693,14142.0,2963,127,1295.0
2020-05-06,india,,20.593684,78.96288,52987,1785,15331.0,3587,92,1189.0
2020-05-07,india,,20.593684,78.96288,56351,1889,16776.0,3364,104,1445.0
2020-05-08,india,,20.593684,78.96288,59695,1985,17887.0,3344,96,1111.0
2020-05-09,india,,20.593684,78.96288,62808,2101,19301.0,3113,116,1414.0
2020-05-10,india,,20.593684,78.96288,67161,2212,20969.0,4353,111,1668.0
2020-05-11,india,,20.593684,78.96288,70768,2294,22549.0,3607,82,1580.0
2020-05-12,india,,20.593684,78.96288,74292,2415,24420.0,3524,121,1871.0
2020-05-13,india,,20.593684,78.96288,78055,2551,26400.0,3763,136,1980.0
2020-05-14,india,,20.593684,78.96288,81997,2649,27969.0,3942,98,1569.0
2020-05-15,india,,20.593684,78.96288,85784,2753,30258.0,3787,104,2289.0
2020-05-16,india,,20.593684,78.96288,90648,2871,34224.0,4864,118,3966.0
2020-05-17,india,,20.593684,78.96288,95698,3025,36795.0,5050,154,2571.0
2020-05-18,india,,20.593684,78.96288,100328,3156,39233.0,4630,131,2438.0
2020-05-19,india,,20.593684,78.96288,106475,3302,42309.0,6147,146,3076.0
2020-05-20,india,,20.593684,78.96288,112028,3434,45422.0,5553,132,3113.0
2020-05-21,india,,20.593684,78.96288,118226,3584,48553.0,6198,150,3131.0
2020-05-22,india,,20.593684,78.96288,124794,3726,51824.0,6568,142,3271.0
2020-05-23,india,,20.593684,78.96288,131423,3868,54385.0,6629,142,2561.0
2020-05-24,india,,20.593684,78.96288,138536,4024,57692.0,7113,156,3307.0
2020-05-25,india,,20.593684,78.96288,144950,4172,60706.0,6414,148,3014.0
2020-05-26,india,,20.593684,78.96288,150793,4344,64277.0,5843,172,3571.0
2020-05-27,india,,20.593684,78.96288,158086,4534,67749.0,7293,190,3472.0
2020-05-28,india,,20.593684,78.96288,165386,4711,70920.0,7300,177,3171.0
2020-05-29,india,,20.593684,78.96288,173491,4980,82627.0,8105,269,11707.0
2020-05-30,india,,20.593684,78.96288,181827,5185,86936.0,8336,205,4309.0
2020-05-31,india,,20.593684,78.96288,190609,5408,91852.0,8782,223,4916.0
2020-06-01,india,,20.593684,78.96288,198370,5608,95754.0,7761,200,3902.0
2020-06-02,india,,20.593684,78.96288,207191,5829,100285.0,8821,221,4531.0
2020-06-03,india,,20.593684,78.96288,216824,6088,104071.0,9633,259,3786.0
2020-06-04,india,,20.593684,78.96288,226713,6363,108450.0,9889,275,4379.0
2020-06-05,india,,20.593684,78.96288,236184,6649,113233.0,9471,286,4783.0
2020-06-06,india,,20.593684,78.96288,246622,6946,118695.0,10438,297,5462.0
2020-06-07,india,,20.593684,78.96288,257486,7207,123848.0,10864,261,5153.0
2020-06-08,india,,20.593684,78.96288,265928,7473,129095.0,8442,266,5247.0
2020-06-09,india,,20.593684,78.96288,276146,7750,134670.0,10218,277,5575.0
2020-06-10,india,,20.593684,78.96288,286605,8102,135206.0,10459,352,536.0
2020-06-11,india,,20.593684,78.96288,297535,8498,147195.0,10930,396,11989.0
2020-06-12,india,,20.593684,78.96288,308993,8884,154330.0,11458,386,7135.0
2020-06-13,india,,20.593684,78.96288,320922,9195,162379.0,11929,311,8049.0
2020-06-14,india,,20.593684,78.96288,332424,9520,169798.0,11502,325,7419.0
2020-06-15,india,,20.593684,78.96288,343091,9900,180013.0,10667,380,10215.0
2020-06-16,india,,20.593684,78.96288,354065,11903,186935.0,10974,2003,6922.0
2020-06-17,india,,20.593684,78.96288,366946,12237,194325.0,12881,334,7390.0
2020-06-18,india,,20.593684,78.96288,380532,12573,204711.0,13586,336,10386.0
2020-06-19,india,,20.593684,78.96288,395048,12948,213831.0,14516,375,9120.0
2020-06-20,india,,20.593684,78.96288,410451,13254,227728.0,15403,306,13897.0
2020-06-21,india,,20.593684,78.96288,425282,13699,237196.0,14831,445,9468.0
2020-06-22,india,,20.593684,78.96288,440215,14011,248190.0,14933,312,10994.0
2020-06-23,india,,20.593684,78.96288,456183,14476,258685.0,15968,465,10495.0
2020-06-24,india,,20.593684,78.96288,473105,14894,271697.0,16922,418,13012.0
2020-06-25,india,,20.593684,78.96288,490401,15301,285637.0,17296,407,13940.0
2020-06-26,india,,20.593684,78.96288,508953,15685,295881.0,18552,384,10244.0
2020-06-27,india,,20.593684,78.96288,528859,16095,309713.0,19906,410,13832.0
2020-06-28,india,,20.593684,78.96288,548318,16475,321723.0,19459,380,12010.0
2020-06-29,india,,20.593684,78.96288,566840,16893,334822.0,18522,418,13099.0
2020-06-30,india,,20.593684,78.96288,585481,17400,347912.0,18641,507,13090.0
2020-07-01,india,,20.593684,78.96288,604641,17834,359860.0,19160,434,11948.0
2020-07-02,india,,20.593684,78.96288,625544,18213,379892.0,20903,379,20032.0
2020-07-03,india,,20.593684,78.96288,648315,18655,394227.0,22771,442,14335.0
2020-07-04,india,,20.593684,78.96288,673165,19268,409083.0,24850,613,14856.0
2020-07-05,india,,20.593684,78.96288,697413,19693,424433.0,24248,425,15350.0
2020-07-06,india,,20.593684,78.96288,719664,20159,439934.0,22251,466,15501.0
2020-07-07,india,,20.593684,78.96288,742417,20642,456831.0,22753,483,16897.0
2020-07-08,india,,20.593684,78.96288,767296,21129,476378.0,24879,487,19547.0
2020-07-09,india,,20.593684,78.96288,793802,21604,495513.0,26506,475,19135.0
2020-07-10,india,,20.593684,78.96288,820916,22123,515386.0,27114,519,19873.0
2020-07-11,india,,20.593684,78.96288,849522,22673,534618.0,28606,550,19232.0
2020-07-12,india,,20.593684,78.96288,878254,23174,553471.0,28732,501,18853.0
2020-07-13,india,,20.593684,78.96288,906752,23727,571460.0,28498,553,17989.0
2020-07-14,india,,20.593684,78.96288,936181,24309,592032.0,29429,582,20572.0
2020-07-15,india,,20.593684,78.96288,968857,24914,612768.0,32676,605,20736.0
2020-07-16,india,,20.593684,78.96288,1003832,25602,635757.0,34975,688,22989.0
2020-07-17,india,,20.593684,78.96288,1039084,26273,653751.0,35252,671,17994.0
2020-07-18,india,,20.593684,78.96288,1077781,26816,677423.0,38697,543,23672.0
2020-07-19,india,,20.593684,78.96288,1118206,27497,700087.0,40425,681,22664.0
2020-07-20,india,,20.593684,78.96288,1155338,28082,724578.0,37132,585,24491.0
2020-07-21,india,,20.593684,78.96288,1193078,28732,753050.0,37740,650,28472.0
2020-07-22,india,,20.593684,78.96288,1238798,29861,782607.0,45720,1129,29557.0
2020-07-23,india,,20.593684,78.96288,1288108,30601,817209.0,49310,740,34602.0
2020-07-24,india,,20.593684,78.96288,1337024,31358,849432.0,48916,757,32223.0
2020-07-25,india,,20.593684,78.96288,1385635,32060,885573.0,48611,702,36141.0
2020-07-26,india,,20.593684,78.96288,1435616,32771,917568.0,49981,711,31995.0
2020-07-27,india,,20.593684,78.96288,1480073,33408,951166.0,44457,637,33598.0
2020-07-28,india,,20.593684,78.96288,1531669,34193,988029.0,51596,785,36863.0
2020-07-29,india,,20.593684,78.96288,1581963,34955,1019735.0,50294,762,31706.0
2020-07-30,india,,20.593684,78.96288,1634746,35718,1055348.0,52783,763,35613.0
2020-07-31,india,,20.593684,78.96288,1695988,36511,1094374.0,61242,793,39026.0
