date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-01-23,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-01-24,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-01-25,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-01-26,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-01-27,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-01-28,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-01-29,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-01-30,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-01-31,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-01,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-02,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-03,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-04,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-05,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-06,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-07,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-08,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-09,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-10,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-11,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-12,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-13,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-14,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-15,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-16,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-17,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-18,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-19,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-20,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-21,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-22,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-23,iraq,,33.0,44.0,0,0.0,0.0,0,0.0,0.0
2020-02-24,iraq,,33.0,44.0,1,0.0,0.0,1,0.0,0.0
2020-02-25,iraq,,33.0,44.0,1,0.0,0.0,0,0.0,0.0
2020-02-26,iraq,,33.0,44.0,5,0.0,0.0,4,0.0,0.0
2020-02-27,iraq,,33.0,44.0,7,0.0,0.0,2,0.0,0.0
2020-02-28,iraq,,33.0,44.0,7,0.0,0.0,0,0.0,0.0
2020-02-29,iraq,,33.0,44.0,13,0.0,0.0,6,0.0,0.0
2020-03-01,iraq,,33.0,44.0,19,0.0,0.0,6,0.0,0.0
2020-03-02,iraq,,33.0,44.0,26,0.0,0.0,7,0.0,0.0
2020-03-03,iraq,,33.0,44.0,32,0.0,0.0,6,0.0,0.0
2020-03-04,iraq,,33.0,44.0,35,2.0,0.0,3,2.0,0.0
2020-03-05,iraq,,33.0,44.0,35,2.0,0.0,0,0.0,0.0
2020-03-06,iraq,,33.0,44.0,40,3.0,0.0,5,1.0,0.0
2020-03-07,iraq,,33.0,44.0,54,4.0,0.0,14,1.0,0.0
2020-03-08,iraq,,33.0,44.0,60,6.0,0.0,6,2.0,0.0
2020-03-09,iraq,,33.0,44.0,60,6.0,3.0,0,0.0,3.0
2020-03-10,iraq,,33.0,44.0,71,7.0,3.0,11,1.0,0.0
2020-03-11,iraq,,33.0,44.0,71,7.0,15.0,0,0.0,12.0
2020-03-12,iraq,,33.0,44.0,71,8.0,15.0,0,1.0,0.0
2020-03-13,iraq,,33.0,44.0,101,9.0,24.0,30,1.0,9.0
2020-03-14,iraq,,33.0,44.0,110,10.0,26.0,9,1.0,2.0
2020-03-15,iraq,,33.0,44.0,116,10.0,26.0,6,0.0,0.0
2020-03-16,iraq,,33.0,44.0,124,10.0,26.0,8,0.0,0.0
2020-03-17,iraq,,33.0,44.0,154,11.0,32.0,30,1.0,6.0
2020-03-18,iraq,,33.0,44.0,164,12.0,43.0,10,1.0,11.0
2020-03-19,iraq,,33.0,44.0,192,13.0,43.0,28,1.0,0.0
2020-03-20,iraq,,33.0,44.0,208,17.0,49.0,16,4.0,6.0
2020-03-21,iraq,,33.0,44.0,214,17.0,51.0,6,0.0,2.0
2020-03-22,iraq,,33.0,44.0,233,20.0,57.0,19,3.0,6.0
2020-03-23,iraq,,33.0,44.0,266,23.0,57.0,33,3.0,0.0
2020-03-24,iraq,,33.0,44.0,316,27.0,75.0,50,4.0,18.0
2020-03-25,iraq,,33.0,44.0,346,29.0,103.0,30,2.0,28.0
2020-03-26,iraq,,33.0,44.0,382,36.0,105.0,36,7.0,2.0
2020-03-27,iraq,,33.0,44.0,458,40.0,122.0,76,4.0,17.0
2020-03-28,iraq,,33.0,44.0,506,42.0,131.0,48,2.0,9.0
2020-03-29,iraq,,33.0,44.0,547,42.0,143.0,41,0.0,12.0
2020-03-30,iraq,,33.0,44.0,630,46.0,152.0,83,4.0,9.0
2020-03-31,iraq,,33.0,44.0,694,50.0,170.0,64,4.0,18.0
2020-04-01,iraq,,33.0,44.0,728,52.0,182.0,34,2.0,12.0
2020-04-02,iraq,,33.0,44.0,772,54.0,202.0,44,2.0,20.0
2020-04-03,iraq,,33.0,44.0,820,54.0,226.0,48,0.0,24.0
2020-04-04,iraq,,33.0,44.0,878,56.0,259.0,58,2.0,33.0
2020-04-05,iraq,,33.0,44.0,961,61.0,279.0,83,5.0,20.0
2020-04-06,iraq,,33.0,44.0,1031,64.0,344.0,70,3.0,65.0
2020-04-07,iraq,,33.0,44.0,1122,65.0,373.0,91,1.0,29.0
2020-04-08,iraq,,33.0,44.0,1202,69.0,452.0,80,4.0,79.0
2020-04-09,iraq,,33.0,44.0,1232,69.0,496.0,30,0.0,44.0
