date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-01-23,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-01-24,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-01-25,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-01-26,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-01-27,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-01-28,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-01-29,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-01-30,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-01-31,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-01,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-02,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-03,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-04,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-05,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-06,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-07,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-08,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-09,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-10,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-11,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-12,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-13,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-14,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-15,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-16,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-17,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-18,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-19,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-20,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-21,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-22,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-23,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-24,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-25,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-26,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-27,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-28,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-02-29,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-03-01,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-03-02,jordan,,31.24,36.51,0,0,0.0,0,0,0.0
2020-03-03,jordan,,31.24,36.51,1,0,0.0,1,0,0.0
2020-03-04,jordan,,31.24,36.51,1,0,0.0,0,0,0.0
2020-03-05,jordan,,31.24,36.51,1,0,0.0,0,0,0.0
2020-03-06,jordan,,31.24,36.51,1,0,0.0,0,0,0.0
2020-03-07,jordan,,31.24,36.51,1,0,0.0,0,0,0.0
2020-03-08,jordan,,31.24,36.51,1,0,0.0,0,0,0.0
2020-03-09,jordan,,31.24,36.51,1,0,0.0,0,0,0.0
2020-03-10,jordan,,31.24,36.51,1,0,0.0,0,0,0.0
2020-03-11,jordan,,31.24,36.51,1,0,0.0,0,0,0.0
2020-03-12,jordan,,31.24,36.51,1,0,0.0,0,0,0.0
2020-03-13,jordan,,31.24,36.51,1,0,1.0,0,0,1.0
2020-03-14,jordan,,31.24,36.51,1,0,1.0,0,0,0.0
2020-03-15,jordan,,31.24,36.51,8,0,1.0,7,0,0.0
2020-03-16,jordan,,31.24,36.51,17,0,1.0,9,0,0.0
2020-03-17,jordan,,31.24,36.51,34,0,1.0,17,0,0.0
2020-03-18,jordan,,31.24,36.51,52,0,1.0,18,0,0.0
2020-03-19,jordan,,31.24,36.51,69,0,1.0,17,0,0.0
2020-03-20,jordan,,31.24,36.51,85,0,1.0,16,0,0.0
2020-03-21,jordan,,31.24,36.51,85,0,1.0,0,0,0.0
2020-03-22,jordan,,31.24,36.51,112,0,1.0,27,0,0.0
2020-03-23,jordan,,31.24,36.51,127,0,1.0,15,0,0.0
2020-03-24,jordan,,31.24,36.51,154,0,1.0,27,0,0.0
2020-03-25,jordan,,31.24,36.51,172,0,1.0,18,0,0.0
2020-03-26,jordan,,31.24,36.51,212,0,1.0,40,0,0.0
2020-03-27,jordan,,31.24,36.51,235,1,18.0,23,1,17.0
2020-03-28,jordan,,31.24,36.51,246,1,18.0,11,0,0.0
2020-03-29,jordan,,31.24,36.51,259,3,18.0,13,2,0.0
2020-03-30,jordan,,31.24,36.51,268,5,26.0,9,2,8.0
2020-03-31,jordan,,31.24,36.51,274,5,30.0,6,0,4.0
2020-04-01,jordan,,31.24,36.51,278,5,36.0,4,0,6.0
2020-04-02,jordan,,31.24,36.51,299,5,45.0,21,0,9.0
2020-04-03,jordan,,31.24,36.51,310,5,58.0,11,0,13.0
