date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-01-23,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-01-24,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-01-25,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-01-26,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-01-27,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-01-28,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-01-29,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-01-30,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-01-31,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-01,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-02,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-03,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-04,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-05,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-06,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-07,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-08,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-09,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-10,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-11,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-12,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-13,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-14,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-15,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-16,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-17,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-18,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-19,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-20,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-21,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-22,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-23,kuwait,,29.5,47.75,0,0,0.0,0,0,0.0
2020-02-24,kuwait,,29.5,47.75,1,0,0.0,1,0,0.0
2020-02-25,kuwait,,29.5,47.75,11,0,0.0,10,0,0.0
2020-02-26,kuwait,,29.5,47.75,26,0,0.0,15,0,0.0
2020-02-27,kuwait,,29.5,47.75,43,0,0.0,17,0,0.0
2020-02-28,kuwait,,29.5,47.75,45,0,0.0,2,0,0.0
2020-02-29,kuwait,,29.5,47.75,45,0,0.0,0,0,0.0
2020-03-01,kuwait,,29.5,47.75,45,0,0.0,0,0,0.0
2020-03-02,kuwait,,29.5,47.75,56,0,0.0,11,0,0.0
2020-03-03,kuwait,,29.5,47.75,56,0,0.0,0,0,0.0
2020-03-04,kuwait,,29.5,47.75,56,0,0.0,0,0,0.0
2020-03-05,kuwait,,29.5,47.75,58,0,0.0,2,0,0.0
2020-03-06,kuwait,,29.5,47.75,58,0,0.0,0,0,0.0
2020-03-07,kuwait,,29.5,47.75,61,0,0.0,3,0,0.0
2020-03-08,kuwait,,29.5,47.75,64,0,1.0,3,0,1.0
2020-03-09,kuwait,,29.5,47.75,64,0,1.0,0,0,0.0
2020-03-10,kuwait,,29.5,47.75,69,0,1.0,5,0,0.0
2020-03-11,kuwait,,29.5,47.75,72,0,2.0,3,0,1.0
2020-03-12,kuwait,,29.5,47.75,80,0,5.0,8,0,3.0
2020-03-13,kuwait,,29.5,47.75,80,0,5.0,0,0,0.0
2020-03-14,kuwait,,29.5,47.75,104,0,5.0,24,0,0.0
2020-03-15,kuwait,,29.5,47.75,112,0,5.0,8,0,0.0
2020-03-16,kuwait,,29.5,47.75,123,0,9.0,11,0,4.0
2020-03-17,kuwait,,29.5,47.75,130,0,9.0,7,0,0.0
2020-03-18,kuwait,,29.5,47.75,142,0,15.0,12,0,6.0
2020-03-19,kuwait,,29.5,47.75,148,0,18.0,6,0,3.0
2020-03-20,kuwait,,29.5,47.75,159,0,18.0,11,0,0.0
2020-03-21,kuwait,,29.5,47.75,176,0,27.0,17,0,9.0
2020-03-22,kuwait,,29.5,47.75,188,0,27.0,12,0,0.0
2020-03-23,kuwait,,29.5,47.75,189,0,27.0,1,0,0.0
2020-03-24,kuwait,,29.5,47.75,191,0,39.0,2,0,12.0
2020-03-25,kuwait,,29.5,47.75,195,0,43.0,4,0,4.0
2020-03-26,kuwait,,29.5,47.75,208,0,49.0,13,0,6.0
2020-03-27,kuwait,,29.5,47.75,225,0,57.0,17,0,8.0
2020-03-28,kuwait,,29.5,47.75,235,0,64.0,10,0,7.0
2020-03-29,kuwait,,29.5,47.75,255,0,67.0,20,0,3.0
2020-03-30,kuwait,,29.5,47.75,266,0,72.0,11,0,5.0
2020-03-31,kuwait,,29.5,47.75,289,0,73.0,23,0,1.0
2020-04-01,kuwait,,29.5,47.75,317,0,80.0,28,0,7.0
2020-04-02,kuwait,,29.5,47.75,342,0,81.0,25,0,1.0
2020-04-03,kuwait,,29.5,47.75,417,0,82.0,75,0,1.0
2020-04-04,kuwait,,29.5,47.75,479,1,93.0,62,1,11.0
2020-04-05,kuwait,,29.5,47.75,556,1,99.0,77,0,6.0
2020-04-06,kuwait,,29.5,47.75,665,1,103.0,109,0,4.0
2020-04-07,kuwait,,29.5,47.75,743,1,105.0,78,0,2.0
2020-04-08,kuwait,,29.5,47.75,855,1,111.0,112,0,6.0
2020-04-09,kuwait,,29.5,47.75,910,1,111.0,55,0,0.0
2020-04-10,kuwait,,29.5,47.75,993,1,123.0,83,0,12.0
2020-04-11,kuwait,,29.5,47.75,1154,1,133.0,161,0,10.0
2020-04-12,kuwait,,29.5,47.75,1234,1,142.0,80,0,9.0
2020-04-13,kuwait,,29.5,47.75,1300,2,150.0,66,1,8.0
2020-04-14,kuwait,,29.5,47.75,1355,3,176.0,55,1,26.0
2020-04-15,kuwait,,29.5,47.75,1405,3,206.0,50,0,30.0
2020-04-16,kuwait,,29.5,47.75,1524,3,225.0,119,0,19.0
2020-04-17,kuwait,,29.5,47.75,1658,5,258.0,134,2,33.0
2020-04-18,kuwait,,29.5,47.75,1751,6,280.0,93,1,22.0
2020-04-19,kuwait,,29.5,47.75,1915,7,305.0,164,1,25.0
2020-04-20,kuwait,,29.5,47.75,1995,9,367.0,80,2,62.0
2020-04-21,kuwait,,29.5,47.75,2080,11,412.0,85,2,45.0
2020-04-22,kuwait,,29.5,47.75,2248,13,443.0,168,2,31.0
2020-04-23,kuwait,,29.5,47.75,2399,14,498.0,151,1,55.0
2020-04-24,kuwait,,29.5,47.75,2614,15,613.0,215,1,115.0
2020-04-25,kuwait,,29.5,47.75,2892,19,656.0,278,4,43.0
2020-04-26,kuwait,,29.5,47.75,3075,20,806.0,183,1,150.0
2020-04-27,kuwait,,29.5,47.75,3288,22,1012.0,213,2,206.0
2020-04-28,kuwait,,29.5,47.75,3440,23,1176.0,152,1,164.0
2020-04-29,kuwait,,29.5,47.75,3740,24,1389.0,300,1,213.0
