date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-01-23,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-01-24,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-01-25,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-01-26,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-01-27,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-01-28,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-01-29,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-01-30,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-01-31,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-01,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-02,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-03,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-04,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-05,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-06,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-07,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-08,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-09,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-10,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-11,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-12,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-13,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-14,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-15,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-16,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-17,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-18,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-19,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-20,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-21,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-22,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-23,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-24,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-25,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-26,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-27,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-28,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-02-29,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-03-01,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-03-02,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-03-03,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-03-04,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-03-05,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-03-06,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-03-07,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-03-08,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-03-09,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-03-10,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-03-11,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-03-12,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-03-13,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-03-14,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-03-15,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-03-16,montenegro,,42.708678000000006,19.37439,0,0,0.0,0,0,0.0
2020-03-17,montenegro,,42.708678000000006,19.37439,2,0,0.0,2,0,0.0
2020-03-18,montenegro,,42.708678000000006,19.37439,2,0,0.0,0,0,0.0
2020-03-19,montenegro,,42.708678000000006,19.37439,3,0,0.0,1,0,0.0
2020-03-20,montenegro,,42.708678000000006,19.37439,14,0,0.0,11,0,0.0
2020-03-21,montenegro,,42.708678000000006,19.37439,14,0,0.0,0,0,0.0
2020-03-22,montenegro,,42.708678000000006,19.37439,21,0,0.0,7,0,0.0
2020-03-23,montenegro,,42.708678000000006,19.37439,27,1,0.0,6,1,0.0
2020-03-24,montenegro,,42.708678000000006,19.37439,47,1,0.0,20,0,0.0
2020-03-25,montenegro,,42.708678000000006,19.37439,52,1,0.0,5,0,0.0
2020-03-26,montenegro,,42.708678000000006,19.37439,69,1,0.0,17,0,0.0
2020-03-27,montenegro,,42.708678000000006,19.37439,82,1,0.0,13,0,0.0
2020-03-28,montenegro,,42.708678000000006,19.37439,84,1,0.0,2,0,0.0
2020-03-29,montenegro,,42.708678000000006,19.37439,85,1,0.0,1,0,0.0
2020-03-30,montenegro,,42.708678000000006,19.37439,91,1,0.0,6,0,0.0
2020-03-31,montenegro,,42.708678000000006,19.37439,109,2,0.0,18,1,0.0
2020-04-01,montenegro,,42.708678000000006,19.37439,123,2,0.0,14,0,0.0
2020-04-02,montenegro,,42.708678000000006,19.37439,144,2,0.0,21,0,0.0
2020-04-03,montenegro,,42.708678000000006,19.37439,174,2,1.0,30,0,1.0
2020-04-04,montenegro,,42.708678000000006,19.37439,201,2,1.0,27,0,0.0
2020-04-05,montenegro,,42.708678000000006,19.37439,214,2,1.0,13,0,0.0
2020-04-06,montenegro,,42.708678000000006,19.37439,233,2,1.0,19,0,0.0
2020-04-07,montenegro,,42.708678000000006,19.37439,241,2,4.0,8,0,3.0
2020-04-08,montenegro,,42.708678000000006,19.37439,248,2,4.0,7,0,0.0
2020-04-09,montenegro,,42.708678000000006,19.37439,252,2,4.0,4,0,0.0
2020-04-10,montenegro,,42.708678000000006,19.37439,255,2,4.0,3,0,0.0
2020-04-11,montenegro,,42.708678000000006,19.37439,263,2,5.0,8,0,1.0
2020-04-12,montenegro,,42.708678000000006,19.37439,272,3,5.0,9,1,0.0
2020-04-13,montenegro,,42.708678000000006,19.37439,274,3,5.0,2,0,0.0
2020-04-14,montenegro,,42.708678000000006,19.37439,283,4,46.0,9,1,41.0
2020-04-15,montenegro,,42.708678000000006,19.37439,288,4,55.0,5,0,9.0
2020-04-16,montenegro,,42.708678000000006,19.37439,303,4,55.0,15,0,0.0
2020-04-17,montenegro,,42.708678000000006,19.37439,303,5,55.0,0,1,0.0
2020-04-18,montenegro,,42.708678000000006,19.37439,307,5,55.0,4,0,0.0
2020-04-19,montenegro,,42.708678000000006,19.37439,308,5,55.0,1,0,0.0
2020-04-20,montenegro,,42.708678000000006,19.37439,312,5,88.0,4,0,33.0
2020-04-21,montenegro,,42.708678000000006,19.37439,313,5,101.0,1,0,13.0
2020-04-22,montenegro,,42.708678000000006,19.37439,315,5,116.0,2,0,15.0
2020-04-23,montenegro,,42.708678000000006,19.37439,316,5,123.0,1,0,7.0
2020-04-24,montenegro,,42.708678000000006,19.37439,319,6,123.0,3,1,0.0
2020-04-25,montenegro,,42.708678000000006,19.37439,320,6,153.0,1,0,30.0
2020-04-26,montenegro,,42.708678000000006,19.37439,321,7,153.0,1,1,0.0
2020-04-27,montenegro,,42.708678000000006,19.37439,321,7,189.0,0,0,36.0
2020-04-28,montenegro,,42.708678000000006,19.37439,321,7,199.0,0,0,10.0
2020-04-29,montenegro,,42.708678000000006,19.37439,322,7,203.0,1,0,4.0
2020-04-30,montenegro,,42.708678000000006,19.37439,322,7,214.0,0,0,11.0
2020-05-01,montenegro,,42.708678000000006,19.37439,322,7,233.0,0,0,19.0
2020-05-02,montenegro,,42.708678000000006,19.37439,322,8,245.0,0,1,12.0
2020-05-03,montenegro,,42.708678000000006,19.37439,322,8,249.0,0,0,4.0
2020-05-04,montenegro,,42.708678000000006,19.37439,323,8,253.0,1,0,4.0
2020-05-05,montenegro,,42.708678000000006,19.37439,324,8,253.0,1,0,0.0
2020-05-06,montenegro,,42.708678000000006,19.37439,324,8,261.0,0,0,8.0
2020-05-07,montenegro,,42.708678000000006,19.37439,324,8,265.0,0,0,4.0
2020-05-08,montenegro,,42.708678000000006,19.37439,324,8,267.0,0,0,2.0
2020-05-09,montenegro,,42.708678000000006,19.37439,324,8,274.0,0,0,7.0
2020-05-10,montenegro,,42.708678000000006,19.37439,324,9,290.0,0,1,16.0
2020-05-11,montenegro,,42.708678000000006,19.37439,324,9,294.0,0,0,4.0
2020-05-12,montenegro,,42.708678000000006,19.37439,324,9,298.0,0,0,4.0
2020-05-13,montenegro,,42.708678000000006,19.37439,324,9,307.0,0,0,9.0
2020-05-14,montenegro,,42.708678000000006,19.37439,324,9,309.0,0,0,2.0
2020-05-15,montenegro,,42.708678000000006,19.37439,324,9,311.0,0,0,2.0
2020-05-16,montenegro,,42.708678000000006,19.37439,324,9,311.0,0,0,0.0
2020-05-17,montenegro,,42.708678000000006,19.37439,324,9,311.0,0,0,0.0
2020-05-18,montenegro,,42.708678000000006,19.37439,324,9,311.0,0,0,0.0
2020-05-19,montenegro,,42.708678000000006,19.37439,324,9,312.0,0,0,1.0
