date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-01-23,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-01-24,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-01-25,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-01-26,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-01-27,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-01-28,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-01-29,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-01-30,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-01-31,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-01,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-02,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-03,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-04,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-05,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-06,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-07,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-08,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-09,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-10,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-11,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-12,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-13,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-14,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-15,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-16,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-17,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-18,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-19,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-20,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-21,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-22,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-23,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-24,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-25,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-26,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-27,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-28,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-02-29,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-03-01,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-03-02,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-03-03,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-03-04,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-03-05,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-03-06,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-03-07,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-03-08,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-03-09,panama,,8.538,-80.7821,0,0,0.0,0,0,0.0
2020-03-10,panama,,8.538,-80.7821,1,0,0.0,1,0,0.0
2020-03-11,panama,,8.538,-80.7821,8,1,0.0,7,1,0.0
2020-03-12,panama,,8.538,-80.7821,11,1,0.0,3,0,0.0
2020-03-13,panama,,8.538,-80.7821,27,1,0.0,16,0,0.0
2020-03-14,panama,,8.538,-80.7821,36,1,0.0,9,0,0.0
2020-03-15,panama,,8.538,-80.7821,43,1,0.0,7,0,0.0
2020-03-16,panama,,8.538,-80.7821,55,1,0.0,12,0,0.0
2020-03-17,panama,,8.538,-80.7821,69,1,0.0,14,0,0.0
2020-03-18,panama,,8.538,-80.7821,86,1,0.0,17,0,0.0
2020-03-19,panama,,8.538,-80.7821,109,1,0.0,23,0,0.0
2020-03-20,panama,,8.538,-80.7821,137,1,0.0,28,0,0.0
2020-03-21,panama,,8.538,-80.7821,200,1,0.0,63,0,0.0
2020-03-22,panama,,8.538,-80.7821,313,3,0.0,113,2,0.0
2020-03-23,panama,,8.538,-80.7821,345,6,0.0,32,3,0.0
2020-03-24,panama,,8.538,-80.7821,345,6,1.0,0,0,1.0
2020-03-25,panama,,8.538,-80.7821,443,8,1.0,98,2,0.0
2020-03-26,panama,,8.538,-80.7821,558,8,2.0,115,0,1.0
2020-03-27,panama,,8.538,-80.7821,674,9,2.0,116,1,0.0
2020-03-28,panama,,8.538,-80.7821,786,14,2.0,112,5,0.0
2020-03-29,panama,,8.538,-80.7821,901,17,4.0,115,3,2.0
2020-03-30,panama,,8.538,-80.7821,989,24,4.0,88,7,0.0
2020-03-31,panama,,8.538,-80.7821,1181,30,9.0,192,6,5.0
2020-04-01,panama,,8.538,-80.7821,1181,30,9.0,0,0,0.0
2020-04-02,panama,,8.538,-80.7821,1317,32,9.0,136,2,0.0
2020-04-03,panama,,8.538,-80.7821,1475,37,10.0,158,5,1.0
2020-04-04,panama,,8.538,-80.7821,1673,41,13.0,198,4,3.0
2020-04-05,panama,,8.538,-80.7821,1801,46,13.0,128,5,0.0
2020-04-06,panama,,8.538,-80.7821,1988,54,13.0,187,8,0.0
2020-04-07,panama,,8.538,-80.7821,2100,55,14.0,112,1,1.0
2020-04-08,panama,,8.538,-80.7821,2249,59,16.0,149,4,2.0
2020-04-09,panama,,8.538,-80.7821,2528,63,16.0,279,4,0.0
2020-04-10,panama,,8.538,-80.7821,2752,66,16.0,224,3,0.0
2020-04-11,panama,,8.538,-80.7821,2974,74,17.0,222,8,1.0
2020-04-12,panama,,8.538,-80.7821,3234,79,23.0,260,5,6.0
2020-04-13,panama,,8.538,-80.7821,3400,87,29.0,166,8,6.0
2020-04-14,panama,,8.538,-80.7821,3472,94,61.0,72,7,32.0
2020-04-15,panama,,8.538,-80.7821,3574,95,72.0,102,1,11.0
2020-04-16,panama,,8.538,-80.7821,3751,103,75.0,177,8,3.0
2020-04-17,panama,,8.538,-80.7821,4016,109,98.0,265,6,23.0
2020-04-18,panama,,8.538,-80.7821,4210,116,122.0,194,7,24.0
2020-04-19,panama,,8.538,-80.7821,4273,120,140.0,63,4,18.0
