date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-01-23,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-01-24,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-01-25,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-01-26,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-01-27,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-01-28,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-01-29,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-01-30,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-01-31,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-01,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-02,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-03,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-04,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-05,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-06,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-07,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-08,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-09,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-10,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-11,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-12,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-13,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-14,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-15,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-16,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-17,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-18,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-19,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-20,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-21,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-22,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-23,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-24,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-25,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-26,san-marino,,43.9424,12.4578,0,0,0.0,0,0,0.0
2020-02-27,san-marino,,43.9424,12.4578,1,0,0.0,1,0,0.0
2020-02-28,san-marino,,43.9424,12.4578,1,0,0.0,0,0,0.0
2020-02-29,san-marino,,43.9424,12.4578,1,0,0.0,0,0,0.0
2020-03-01,san-marino,,43.9424,12.4578,1,0,0.0,0,0,0.0
2020-03-02,san-marino,,43.9424,12.4578,8,0,0.0,7,0,0.0
2020-03-03,san-marino,,43.9424,12.4578,10,1,0.0,2,1,0.0
2020-03-04,san-marino,,43.9424,12.4578,16,1,0.0,6,0,0.0
2020-03-05,san-marino,,43.9424,12.4578,21,1,0.0,5,0,0.0
2020-03-06,san-marino,,43.9424,12.4578,21,1,0.0,0,0,0.0
2020-03-07,san-marino,,43.9424,12.4578,23,1,0.0,2,0,0.0
2020-03-08,san-marino,,43.9424,12.4578,36,1,0.0,13,0,0.0
2020-03-09,san-marino,,43.9424,12.4578,36,1,0.0,0,0,0.0
2020-03-10,san-marino,,43.9424,12.4578,51,2,0.0,15,1,0.0
2020-03-11,san-marino,,43.9424,12.4578,62,2,0.0,11,0,0.0
2020-03-12,san-marino,,43.9424,12.4578,69,3,0.0,7,1,0.0
2020-03-13,san-marino,,43.9424,12.4578,80,5,0.0,11,2,0.0
2020-03-14,san-marino,,43.9424,12.4578,80,5,4.0,0,0,4.0
2020-03-15,san-marino,,43.9424,12.4578,101,5,4.0,21,0,0.0
2020-03-16,san-marino,,43.9424,12.4578,109,7,4.0,8,2,0.0
2020-03-17,san-marino,,43.9424,12.4578,109,7,4.0,0,0,0.0
2020-03-18,san-marino,,43.9424,12.4578,119,11,4.0,10,4,0.0
2020-03-19,san-marino,,43.9424,12.4578,119,11,4.0,0,0,0.0
2020-03-20,san-marino,,43.9424,12.4578,144,14,4.0,25,3,0.0
2020-03-21,san-marino,,43.9424,12.4578,144,20,4.0,0,6,0.0
2020-03-22,san-marino,,43.9424,12.4578,175,20,4.0,31,0,0.0
