date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-01-23,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-01-24,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-01-25,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-01-26,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-01-27,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-01-28,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-01-29,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-01-30,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-01-31,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-01,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-02,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-03,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-04,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-05,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-06,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-07,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-08,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-09,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-10,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-11,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-12,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-13,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-14,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-15,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-16,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-17,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-18,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-19,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-20,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-21,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-22,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-23,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-24,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-25,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-26,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-27,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-28,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-02-29,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-03-01,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-03-02,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-03-03,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-03-04,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-03-05,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-03-06,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-03-07,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-03-08,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-03-09,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-03-10,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-03-11,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-03-12,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-03-13,seychelles,,-4.6796,55.492,0,0,0.0,0,0,0.0
2020-03-14,seychelles,,-4.6796,55.492,2,0,0.0,2,0,0.0
2020-03-15,seychelles,,-4.6796,55.492,2,0,0.0,0,0,0.0
2020-03-16,seychelles,,-4.6796,55.492,3,0,0.0,1,0,0.0
2020-03-17,seychelles,,-4.6796,55.492,4,0,0.0,1,0,0.0
2020-03-18,seychelles,,-4.6796,55.492,4,0,0.0,0,0,0.0
2020-03-19,seychelles,,-4.6796,55.492,6,0,0.0,2,0,0.0
2020-03-20,seychelles,,-4.6796,55.492,7,0,0.0,1,0,0.0
2020-03-21,seychelles,,-4.6796,55.492,7,0,0.0,0,0,0.0
2020-03-22,seychelles,,-4.6796,55.492,7,0,0.0,0,0,0.0
