date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,spain,,40.0,-4.0,0,0,0.0,0,0,0.0
2020-01-23,spain,,40.0,-4.0,0,0,0.0,0,0,0.0
2020-01-24,spain,,40.0,-4.0,0,0,0.0,0,0,0.0
2020-01-25,spain,,40.0,-4.0,0,0,0.0,0,0,0.0
2020-01-26,spain,,40.0,-4.0,0,0,0.0,0,0,0.0
2020-01-27,spain,,40.0,-4.0,0,0,0.0,0,0,0.0
2020-01-28,spain,,40.0,-4.0,0,0,0.0,0,0,0.0
2020-01-29,spain,,40.0,-4.0,0,0,0.0,0,0,0.0
2020-01-30,spain,,40.0,-4.0,0,0,0.0,0,0,0.0
2020-01-31,spain,,40.0,-4.0,0,0,0.0,0,0,0.0
2020-02-01,spain,,40.0,-4.0,1,0,0.0,1,0,0.0
2020-02-02,spain,,40.0,-4.0,1,0,0.0,0,0,0.0
2020-02-03,spain,,40.0,-4.0,1,0,0.0,0,0,0.0
2020-02-04,spain,,40.0,-4.0,1,0,0.0,0,0,0.0
2020-02-05,spain,,40.0,-4.0,1,0,0.0,0,0,0.0
2020-02-06,spain,,40.0,-4.0,1,0,0.0,0,0,0.0
2020-02-07,spain,,40.0,-4.0,1,0,0.0,0,0,0.0
2020-02-08,spain,,40.0,-4.0,1,0,0.0,0,0,0.0
2020-02-09,spain,,40.0,-4.0,2,0,0.0,1,0,0.0
2020-02-10,spain,,40.0,-4.0,2,0,0.0,0,0,0.0
2020-02-11,spain,,40.0,-4.0,2,0,0.0,0,0,0.0
2020-02-12,spain,,40.0,-4.0,2,0,0.0,0,0,0.0
2020-02-13,spain,,40.0,-4.0,2,0,0.0,0,0,0.0
2020-02-14,spain,,40.0,-4.0,2,0,0.0,0,0,0.0
2020-02-15,spain,,40.0,-4.0,2,0,2.0,0,0,2.0
2020-02-16,spain,,40.0,-4.0,2,0,2.0,0,0,0.0
2020-02-17,spain,,40.0,-4.0,2,0,2.0,0,0,0.0
2020-02-18,spain,,40.0,-4.0,2,0,2.0,0,0,0.0
2020-02-19,spain,,40.0,-4.0,2,0,2.0,0,0,0.0
2020-02-20,spain,,40.0,-4.0,2,0,2.0,0,0,0.0
2020-02-21,spain,,40.0,-4.0,2,0,2.0,0,0,0.0
2020-02-22,spain,,40.0,-4.0,2,0,2.0,0,0,0.0
2020-02-23,spain,,40.0,-4.0,2,0,2.0,0,0,0.0
2020-02-24,spain,,40.0,-4.0,2,0,2.0,0,0,0.0
2020-02-25,spain,,40.0,-4.0,6,0,2.0,4,0,0.0
2020-02-26,spain,,40.0,-4.0,13,0,2.0,7,0,0.0
2020-02-27,spain,,40.0,-4.0,15,0,2.0,2,0,0.0
2020-02-28,spain,,40.0,-4.0,32,0,2.0,17,0,0.0
2020-02-29,spain,,40.0,-4.0,45,0,2.0,13,0,0.0
2020-03-01,spain,,40.0,-4.0,84,0,2.0,39,0,0.0
2020-03-02,spain,,40.0,-4.0,120,0,2.0,36,0,0.0
2020-03-03,spain,,40.0,-4.0,165,1,2.0,45,1,0.0
2020-03-04,spain,,40.0,-4.0,222,2,2.0,57,1,0.0
2020-03-05,spain,,40.0,-4.0,259,3,2.0,37,1,0.0
2020-03-06,spain,,40.0,-4.0,400,5,2.0,141,2,0.0
2020-03-07,spain,,40.0,-4.0,500,10,30.0,100,5,28.0
2020-03-08,spain,,40.0,-4.0,673,17,30.0,173,7,0.0
2020-03-09,spain,,40.0,-4.0,1073,28,32.0,400,11,2.0
2020-03-10,spain,,40.0,-4.0,1695,35,32.0,622,7,0.0
2020-03-11,spain,,40.0,-4.0,2277,54,183.0,582,19,151.0
2020-03-12,spain,,40.0,-4.0,2277,55,183.0,0,1,0.0
2020-03-13,spain,,40.0,-4.0,5232,133,193.0,2955,78,10.0
2020-03-14,spain,,40.0,-4.0,6391,195,517.0,1159,62,324.0
2020-03-15,spain,,40.0,-4.0,7798,289,517.0,1407,94,0.0
2020-03-16,spain,,40.0,-4.0,9942,342,530.0,2144,53,13.0
2020-03-17,spain,,40.0,-4.0,11748,533,1028.0,1806,191,498.0
2020-03-18,spain,,40.0,-4.0,13910,623,1081.0,2162,90,53.0
2020-03-19,spain,,40.0,-4.0,17963,830,1107.0,4053,207,26.0
2020-03-20,spain,,40.0,-4.0,20410,1043,1588.0,2447,213,481.0
2020-03-21,spain,,40.0,-4.0,25374,1375,2125.0,4964,332,537.0
2020-03-22,spain,,40.0,-4.0,28768,1772,2575.0,3394,397,450.0
2020-03-23,spain,,40.0,-4.0,35136,2311,2575.0,6368,539,0.0
2020-03-24,spain,,40.0,-4.0,39885,2808,3794.0,4749,497,1219.0
2020-03-25,spain,,40.0,-4.0,49515,3647,5367.0,9630,839,1573.0
2020-03-26,spain,,40.0,-4.0,57786,4365,7015.0,8271,718,1648.0
2020-03-27,spain,,40.0,-4.0,65719,5138,9357.0,7933,773,2342.0
2020-03-28,spain,,40.0,-4.0,73235,5982,12285.0,7516,844,2928.0
2020-03-29,spain,,40.0,-4.0,80110,6803,14709.0,6875,821,2424.0
2020-03-30,spain,,40.0,-4.0,87956,7716,16780.0,7846,913,2071.0
2020-03-31,spain,,40.0,-4.0,95923,8464,19259.0,7967,748,2479.0
2020-04-01,spain,,40.0,-4.0,104118,9387,22647.0,8195,923,3388.0
2020-04-02,spain,,40.0,-4.0,112065,10348,26743.0,7947,961,4096.0
2020-04-03,spain,,40.0,-4.0,119199,11198,30513.0,7134,850,3770.0
2020-04-04,spain,,40.0,-4.0,126168,11947,34219.0,6969,749,3706.0
2020-04-05,spain,,40.0,-4.0,131646,12641,38080.0,5478,694,3861.0
2020-04-06,spain,,40.0,-4.0,136675,13341,40437.0,5029,700,2357.0
2020-04-07,spain,,40.0,-4.0,141942,14045,43208.0,5267,704,2771.0
2020-04-08,spain,,40.0,-4.0,148220,14792,48021.0,6278,747,4813.0
2020-04-09,spain,,40.0,-4.0,153222,15447,52165.0,5002,655,4144.0
2020-04-10,spain,,40.0,-4.0,158273,16081,55668.0,5051,634,3503.0
2020-04-11,spain,,40.0,-4.0,163027,16606,59109.0,4754,525,3441.0
2020-04-12,spain,,40.0,-4.0,166831,17209,62391.0,3804,603,3282.0
2020-04-13,spain,,40.0,-4.0,170099,17756,64727.0,3268,547,2336.0
2020-04-14,spain,,40.0,-4.0,172541,18056,67504.0,2442,300,2777.0
2020-04-15,spain,,40.0,-4.0,177644,18708,70853.0,5103,652,3349.0
2020-04-16,spain,,40.0,-4.0,184948,19315,74797.0,7304,607,3944.0
2020-04-17,spain,,40.0,-4.0,190839,20002,74797.0,5891,687,0.0
