date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,sri-lanka,,7.0,81.0,0,0,0.0,0,0,0.0
2020-01-23,sri-lanka,,7.0,81.0,0,0,0.0,0,0,0.0
2020-01-24,sri-lanka,,7.0,81.0,0,0,0.0,0,0,0.0
2020-01-25,sri-lanka,,7.0,81.0,0,0,0.0,0,0,0.0
2020-01-26,sri-lanka,,7.0,81.0,0,0,0.0,0,0,0.0
2020-01-27,sri-lanka,,7.0,81.0,1,0,0.0,1,0,0.0
2020-01-28,sri-lanka,,7.0,81.0,1,0,0.0,0,0,0.0
2020-01-29,sri-lanka,,7.0,81.0,1,0,0.0,0,0,0.0
2020-01-30,sri-lanka,,7.0,81.0,1,0,0.0,0,0,0.0
2020-01-31,sri-lanka,,7.0,81.0,1,0,0.0,0,0,0.0
2020-02-01,sri-lanka,,7.0,81.0,1,0,0.0,0,0,0.0
2020-02-02,sri-lanka,,7.0,81.0,1,0,0.0,0,0,0.0
2020-02-03,sri-lanka,,7.0,81.0,1,0,0.0,0,0,0.0
2020-02-04,sri-lanka,,7.0,81.0,1,0,0.0,0,0,0.0
2020-02-05,sri-lanka,,7.0,81.0,1,0,0.0,0,0,0.0
2020-02-06,sri-lanka,,7.0,81.0,1,0,0.0,0,0,0.0
2020-02-07,sri-lanka,,7.0,81.0,1,0,0.0,0,0,0.0
2020-02-08,sri-lanka,,7.0,81.0,1,0,1.0,0,0,1.0
2020-02-09,sri-lanka,,7.0,81.0,1,0,1.0,0,0,0.0
2020-02-10,sri-lanka,,7.0,81.0,1,0,1.0,0,0,0.0
2020-02-11,sri-lanka,,7.0,81.0,1,0,1.0,0,0,0.0
2020-02-12,sri-lanka,,7.0,81.0,1,0,1.0,0,0,0.0
2020-02-13,sri-lanka,,7.0,81.0,1,0,1.0,0,0,0.0
2020-02-14,sri-lanka,,7.0,81.0,1,0,1.0,0,0,0.0
2020-02-15,sri-lanka,,7.0,81.0,1,0,1.0,0,0,0.0
2020-02-16,sri-lanka,,7.0,81.0,1,0,1.0,0,0,0.0
2020-02-17,sri-lanka,,7.0,81.0,1,0,1.0,0,0,0.0
2020-02-18,sri-lanka,,7.0,81.0,1,0,1.0,0,0,0.0
2020-02-19,sri-lanka,,7.0,81.0,1,0,1.0,0,0,0.0
2020-02-20,sri-lanka,,7.0,81.0,1,0,1.0,0,0,0.0
2020-02-21,sri-lanka,,7.0,81.0,1,0,1.0,0,0,0.0
