date,country,state,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new,lat,long
2020-01-22,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-01-23,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-01-24,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-01-25,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-01-26,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-01-27,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-01-28,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-01-29,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-01-30,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-01-31,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-01,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-02,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-03,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-04,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-05,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-06,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-07,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-08,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-09,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-10,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-11,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-12,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-13,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-14,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-15,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-16,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-17,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-18,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-19,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-20,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-21,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-22,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-23,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-24,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-25,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-26,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-27,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-28,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-02-29,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-03-01,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-03-02,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-03-03,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-03-04,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-03-05,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-03-06,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-03-07,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-03-08,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-03-09,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-03-10,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-03-11,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-03-12,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-03-13,suriname,,0,0,0.0,0,0,0.0,3.9193,-56.0278
2020-03-14,suriname,,1,0,0.0,1,0,0.0,3.9193,-56.0278
2020-03-15,suriname,,1,0,0.0,0,0,0.0,3.9193,-56.0278
2020-03-16,suriname,,1,0,0.0,0,0,0.0,3.9193,-56.0278
2020-03-17,suriname,,1,0,0.0,0,0,0.0,3.9193,-56.0278
2020-03-18,suriname,,1,0,0.0,0,0,0.0,3.9193,-56.0278
2020-03-19,suriname,,1,0,0.0,0,0,0.0,3.9193,-56.0278
2020-03-20,suriname,,4,0,0.0,3,0,0.0,3.9193,-56.0278
2020-03-21,suriname,,4,0,0.0,0,0,0.0,3.9193,-56.0278
2020-03-22,suriname,,5,0,0.0,1,0,0.0,3.9193,-56.0278
2020-03-23,suriname,,5,0,0.0,0,0,0.0,3.9193,-56.0278
2020-03-24,suriname,,7,0,0.0,2,0,0.0,3.9193,-56.0278
