date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,thailand,,15.870032,100.992541,2,0,0.0,2,0,0.0
2020-01-23,thailand,,15.870032,100.992541,3,0,0.0,1,0,0.0
2020-01-24,thailand,,15.870032,100.992541,5,0,0.0,2,0,0.0
2020-01-25,thailand,,15.870032,100.992541,7,0,0.0,2,0,0.0
2020-01-26,thailand,,15.870032,100.992541,8,0,2.0,1,0,2.0
2020-01-27,thailand,,15.870032,100.992541,8,0,2.0,0,0,0.0
2020-01-28,thailand,,15.870032,100.992541,14,0,5.0,6,0,3.0
2020-01-29,thailand,,15.870032,100.992541,14,0,5.0,0,0,0.0
2020-01-30,thailand,,15.870032,100.992541,14,0,5.0,0,0,0.0
2020-01-31,thailand,,15.870032,100.992541,19,0,5.0,5,0,0.0
2020-02-01,thailand,,15.870032,100.992541,19,0,5.0,0,0,0.0
2020-02-02,thailand,,15.870032,100.992541,19,0,5.0,0,0,0.0
2020-02-03,thailand,,15.870032,100.992541,19,0,5.0,0,0,0.0
2020-02-04,thailand,,15.870032,100.992541,25,0,5.0,6,0,0.0
2020-02-05,thailand,,15.870032,100.992541,25,0,5.0,0,0,0.0
2020-02-06,thailand,,15.870032,100.992541,25,0,5.0,0,0,0.0
2020-02-07,thailand,,15.870032,100.992541,25,0,5.0,0,0,0.0
2020-02-08,thailand,,15.870032,100.992541,32,0,10.0,7,0,5.0
2020-02-09,thailand,,15.870032,100.992541,32,0,10.0,0,0,0.0
2020-02-10,thailand,,15.870032,100.992541,32,0,10.0,0,0,0.0
2020-02-11,thailand,,15.870032,100.992541,33,0,10.0,1,0,0.0
2020-02-12,thailand,,15.870032,100.992541,33,0,10.0,0,0,0.0
2020-02-13,thailand,,15.870032,100.992541,33,0,12.0,0,0,2.0
2020-02-14,thailand,,15.870032,100.992541,33,0,12.0,0,0,0.0
2020-02-15,thailand,,15.870032,100.992541,33,0,12.0,0,0,0.0
2020-02-16,thailand,,15.870032,100.992541,34,0,14.0,1,0,2.0
2020-02-17,thailand,,15.870032,100.992541,35,0,15.0,1,0,1.0
2020-02-18,thailand,,15.870032,100.992541,35,0,15.0,0,0,0.0
2020-02-19,thailand,,15.870032,100.992541,35,0,15.0,0,0,0.0
2020-02-20,thailand,,15.870032,100.992541,35,0,15.0,0,0,0.0
2020-02-21,thailand,,15.870032,100.992541,35,0,17.0,0,0,2.0
2020-02-22,thailand,,15.870032,100.992541,35,0,17.0,0,0,0.0
2020-02-23,thailand,,15.870032,100.992541,35,0,21.0,0,0,4.0
2020-02-24,thailand,,15.870032,100.992541,35,0,21.0,0,0,0.0
2020-02-25,thailand,,15.870032,100.992541,37,0,22.0,2,0,1.0
2020-02-26,thailand,,15.870032,100.992541,40,0,22.0,3,0,0.0
2020-02-27,thailand,,15.870032,100.992541,40,0,22.0,0,0,0.0
2020-02-28,thailand,,15.870032,100.992541,41,0,28.0,1,0,6.0
2020-02-29,thailand,,15.870032,100.992541,42,0,28.0,1,0,0.0
2020-03-01,thailand,,15.870032,100.992541,42,1,28.0,0,1,0.0
2020-03-02,thailand,,15.870032,100.992541,43,1,31.0,1,0,3.0
2020-03-03,thailand,,15.870032,100.992541,43,1,31.0,0,0,0.0
2020-03-04,thailand,,15.870032,100.992541,43,1,31.0,0,0,0.0
2020-03-05,thailand,,15.870032,100.992541,47,1,31.0,4,0,0.0
2020-03-06,thailand,,15.870032,100.992541,48,1,31.0,1,0,0.0
2020-03-07,thailand,,15.870032,100.992541,50,1,31.0,2,0,0.0
2020-03-08,thailand,,15.870032,100.992541,50,1,31.0,0,0,0.0
2020-03-09,thailand,,15.870032,100.992541,50,1,31.0,0,0,0.0
2020-03-10,thailand,,15.870032,100.992541,53,1,33.0,3,0,2.0
2020-03-11,thailand,,15.870032,100.992541,59,1,34.0,6,0,1.0
2020-03-12,thailand,,15.870032,100.992541,70,1,34.0,11,0,0.0
2020-03-13,thailand,,15.870032,100.992541,75,1,35.0,5,0,1.0
2020-03-14,thailand,,15.870032,100.992541,82,1,35.0,7,0,0.0
2020-03-15,thailand,,15.870032,100.992541,114,1,35.0,32,0,0.0
2020-03-16,thailand,,15.870032,100.992541,147,1,35.0,33,0,0.0
2020-03-17,thailand,,15.870032,100.992541,177,1,41.0,30,0,6.0
2020-03-18,thailand,,15.870032,100.992541,212,1,42.0,35,0,1.0
2020-03-19,thailand,,15.870032,100.992541,272,1,42.0,60,0,0.0
2020-03-20,thailand,,15.870032,100.992541,322,1,42.0,50,0,0.0
2020-03-21,thailand,,15.870032,100.992541,411,1,42.0,89,0,0.0
2020-03-22,thailand,,15.870032,100.992541,599,1,44.0,188,0,2.0
2020-03-23,thailand,,15.870032,100.992541,721,1,44.0,122,0,0.0
2020-03-24,thailand,,15.870032,100.992541,827,4,52.0,106,3,8.0
2020-03-25,thailand,,15.870032,100.992541,934,4,70.0,107,0,18.0
2020-03-26,thailand,,15.870032,100.992541,1045,4,88.0,111,0,18.0
