index_x,state,country,lat,long,date,confirmed,confirmed_new,index_y,deaths,deaths_new,index,recovered,recovered_new
217,bermuda,united-kingdom,32.3078,-64.7505,2020-01-22,0,0,217,0,0,217.0,0.0,0.0
475,bermuda,united-kingdom,32.3078,-64.7505,2020-01-23,0,0,475,0,0,461.0,0.0,0.0
733,bermuda,united-kingdom,32.3078,-64.7505,2020-01-24,0,0,733,0,0,705.0,0.0,0.0
991,bermuda,united-kingdom,32.3078,-64.7505,2020-01-25,0,0,991,0,0,949.0,0.0,0.0
1249,bermuda,united-kingdom,32.3078,-64.7505,2020-01-26,0,0,1249,0,0,1193.0,0.0,0.0
1507,bermuda,united-kingdom,32.3078,-64.7505,2020-01-27,0,0,1507,0,0,1437.0,0.0,0.0
1765,bermuda,united-kingdom,32.3078,-64.7505,2020-01-28,0,0,1765,0,0,1681.0,0.0,0.0
2023,bermuda,united-kingdom,32.3078,-64.7505,2020-01-29,0,0,2023,0,0,1925.0,0.0,0.0
2281,bermuda,united-kingdom,32.3078,-64.7505,2020-01-30,0,0,2281,0,0,2169.0,0.0,0.0
2539,bermuda,united-kingdom,32.3078,-64.7505,2020-01-31,0,0,2539,0,0,2413.0,0.0,0.0
2797,bermuda,united-kingdom,32.3078,-64.7505,2020-02-01,0,0,2797,0,0,2657.0,0.0,0.0
3055,bermuda,united-kingdom,32.3078,-64.7505,2020-02-02,0,0,3055,0,0,2901.0,0.0,0.0
3313,bermuda,united-kingdom,32.3078,-64.7505,2020-02-03,0,0,3313,0,0,3145.0,0.0,0.0
3571,bermuda,united-kingdom,32.3078,-64.7505,2020-02-04,0,0,3571,0,0,3389.0,0.0,0.0
3829,bermuda,united-kingdom,32.3078,-64.7505,2020-02-05,0,0,3829,0,0,3633.0,0.0,0.0
4087,bermuda,united-kingdom,32.3078,-64.7505,2020-02-06,0,0,4087,0,0,3877.0,0.0,0.0
4345,bermuda,united-kingdom,32.3078,-64.7505,2020-02-07,0,0,4345,0,0,4121.0,0.0,0.0
4603,bermuda,united-kingdom,32.3078,-64.7505,2020-02-08,0,0,4603,0,0,4365.0,0.0,0.0
4861,bermuda,united-kingdom,32.3078,-64.7505,2020-02-09,0,0,4861,0,0,4609.0,0.0,0.0
5119,bermuda,united-kingdom,32.3078,-64.7505,2020-02-10,0,0,5119,0,0,4853.0,0.0,0.0
5377,bermuda,united-kingdom,32.3078,-64.7505,2020-02-11,0,0,5377,0,0,5097.0,0.0,0.0
5635,bermuda,united-kingdom,32.3078,-64.7505,2020-02-12,0,0,5635,0,0,5341.0,0.0,0.0
5893,bermuda,united-kingdom,32.3078,-64.7505,2020-02-13,0,0,5893,0,0,5585.0,0.0,0.0
6151,bermuda,united-kingdom,32.3078,-64.7505,2020-02-14,0,0,6151,0,0,5829.0,0.0,0.0
6409,bermuda,united-kingdom,32.3078,-64.7505,2020-02-15,0,0,6409,0,0,6073.0,0.0,0.0
6667,bermuda,united-kingdom,32.3078,-64.7505,2020-02-16,0,0,6667,0,0,6317.0,0.0,0.0
6925,bermuda,united-kingdom,32.3078,-64.7505,2020-02-17,0,0,6925,0,0,6561.0,0.0,0.0
7183,bermuda,united-kingdom,32.3078,-64.7505,2020-02-18,0,0,7183,0,0,6805.0,0.0,0.0
7441,bermuda,united-kingdom,32.3078,-64.7505,2020-02-19,0,0,7441,0,0,7049.0,0.0,0.0
7699,bermuda,united-kingdom,32.3078,-64.7505,2020-02-20,0,0,7699,0,0,7293.0,0.0,0.0
7957,bermuda,united-kingdom,32.3078,-64.7505,2020-02-21,0,0,7957,0,0,7537.0,0.0,0.0
8215,bermuda,united-kingdom,32.3078,-64.7505,2020-02-22,0,0,8215,0,0,7781.0,0.0,0.0
8473,bermuda,united-kingdom,32.3078,-64.7505,2020-02-23,0,0,8473,0,0,8025.0,0.0,0.0
8731,bermuda,united-kingdom,32.3078,-64.7505,2020-02-24,0,0,8731,0,0,8269.0,0.0,0.0
8989,bermuda,united-kingdom,32.3078,-64.7505,2020-02-25,0,0,8989,0,0,8513.0,0.0,0.0
9247,bermuda,united-kingdom,32.3078,-64.7505,2020-02-26,0,0,9247,0,0,8757.0,0.0,0.0
9505,bermuda,united-kingdom,32.3078,-64.7505,2020-02-27,0,0,9505,0,0,9001.0,0.0,0.0
9763,bermuda,united-kingdom,32.3078,-64.7505,2020-02-28,0,0,9763,0,0,9245.0,0.0,0.0
10021,bermuda,united-kingdom,32.3078,-64.7505,2020-02-29,0,0,10021,0,0,9489.0,0.0,0.0
10279,bermuda,united-kingdom,32.3078,-64.7505,2020-03-01,0,0,10279,0,0,9733.0,0.0,0.0
10537,bermuda,united-kingdom,32.3078,-64.7505,2020-03-02,0,0,10537,0,0,9977.0,0.0,0.0
10795,bermuda,united-kingdom,32.3078,-64.7505,2020-03-03,0,0,10795,0,0,10221.0,0.0,0.0
11053,bermuda,united-kingdom,32.3078,-64.7505,2020-03-04,0,0,11053,0,0,10465.0,0.0,0.0
11311,bermuda,united-kingdom,32.3078,-64.7505,2020-03-05,0,0,11311,0,0,10709.0,0.0,0.0
11569,bermuda,united-kingdom,32.3078,-64.7505,2020-03-06,0,0,11569,0,0,10953.0,0.0,0.0
11827,bermuda,united-kingdom,32.3078,-64.7505,2020-03-07,0,0,11827,0,0,11197.0,0.0,0.0
12085,bermuda,united-kingdom,32.3078,-64.7505,2020-03-08,0,0,12085,0,0,11441.0,0.0,0.0
12343,bermuda,united-kingdom,32.3078,-64.7505,2020-03-09,0,0,12343,0,0,11685.0,0.0,0.0
12601,bermuda,united-kingdom,32.3078,-64.7505,2020-03-10,0,0,12601,0,0,11929.0,0.0,0.0
12859,bermuda,united-kingdom,32.3078,-64.7505,2020-03-11,0,0,12859,0,0,12173.0,0.0,0.0
13117,bermuda,united-kingdom,32.3078,-64.7505,2020-03-12,0,0,13117,0,0,12417.0,0.0,0.0
13375,bermuda,united-kingdom,32.3078,-64.7505,2020-03-13,0,0,13375,0,0,12661.0,0.0,0.0
13633,bermuda,united-kingdom,32.3078,-64.7505,2020-03-14,0,0,13633,0,0,12905.0,0.0,0.0
13891,bermuda,united-kingdom,32.3078,-64.7505,2020-03-15,0,0,13891,0,0,13149.0,0.0,0.0
14149,bermuda,united-kingdom,32.3078,-64.7505,2020-03-16,0,0,14149,0,0,13393.0,0.0,0.0
14407,bermuda,united-kingdom,32.3078,-64.7505,2020-03-17,0,0,14407,0,0,13637.0,0.0,0.0
14665,bermuda,united-kingdom,32.3078,-64.7505,2020-03-18,0,0,14665,0,0,13881.0,0.0,0.0
14923,bermuda,united-kingdom,32.3078,-64.7505,2020-03-19,2,2,14923,0,0,14125.0,0.0,0.0
15181,bermuda,united-kingdom,32.3078,-64.7505,2020-03-20,2,0,15181,0,0,14369.0,0.0,0.0
15439,bermuda,united-kingdom,32.3078,-64.7505,2020-03-21,2,0,15439,0,0,14613.0,0.0,0.0
15697,bermuda,united-kingdom,32.3078,-64.7505,2020-03-22,6,4,15697,0,0,14857.0,0.0,0.0
15955,bermuda,united-kingdom,32.3078,-64.7505,2020-03-23,6,0,15955,0,0,15101.0,0.0,0.0
16213,bermuda,united-kingdom,32.3078,-64.7505,2020-03-24,6,0,16213,0,0,15345.0,0.0,0.0
16471,bermuda,united-kingdom,32.3078,-64.7505,2020-03-25,7,1,16471,0,0,15589.0,0.0,0.0
16729,bermuda,united-kingdom,32.3078,-64.7505,2020-03-26,15,8,16729,0,0,15833.0,2.0,2.0
16987,bermuda,united-kingdom,32.3078,-64.7505,2020-03-27,17,2,16987,0,0,16077.0,2.0,0.0
17245,bermuda,united-kingdom,32.3078,-64.7505,2020-03-28,17,0,17245,0,0,16321.0,2.0,0.0
17503,bermuda,united-kingdom,32.3078,-64.7505,2020-03-29,22,5,17503,0,0,16565.0,2.0,0.0
17761,bermuda,united-kingdom,32.3078,-64.7505,2020-03-30,27,5,17761,0,0,16809.0,2.0,0.0
18019,bermuda,united-kingdom,32.3078,-64.7505,2020-03-31,32,5,18019,0,0,17053.0,10.0,8.0
18277,bermuda,united-kingdom,32.3078,-64.7505,2020-04-01,32,0,18277,0,0,17297.0,10.0,0.0
18535,bermuda,united-kingdom,32.3078,-64.7505,2020-04-02,35,3,18535,0,0,17541.0,11.0,1.0
