index_x,state,country,lat,long,date,confirmed,confirmed_new,index_y,deaths,deaths_new,index,recovered,recovered_new
219,channel-islands,united-kingdom,49.3723,-2.3644,2020-01-22,0,0,219,0,0,219.0,0.0,0.0
477,channel-islands,united-kingdom,49.3723,-2.3644,2020-01-23,0,0,477,0,0,463.0,0.0,0.0
735,channel-islands,united-kingdom,49.3723,-2.3644,2020-01-24,0,0,735,0,0,707.0,0.0,0.0
993,channel-islands,united-kingdom,49.3723,-2.3644,2020-01-25,0,0,993,0,0,951.0,0.0,0.0
1251,channel-islands,united-kingdom,49.3723,-2.3644,2020-01-26,0,0,1251,0,0,1195.0,0.0,0.0
1509,channel-islands,united-kingdom,49.3723,-2.3644,2020-01-27,0,0,1509,0,0,1439.0,0.0,0.0
1767,channel-islands,united-kingdom,49.3723,-2.3644,2020-01-28,0,0,1767,0,0,1683.0,0.0,0.0
2025,channel-islands,united-kingdom,49.3723,-2.3644,2020-01-29,0,0,2025,0,0,1927.0,0.0,0.0
2283,channel-islands,united-kingdom,49.3723,-2.3644,2020-01-30,0,0,2283,0,0,2171.0,0.0,0.0
2541,channel-islands,united-kingdom,49.3723,-2.3644,2020-01-31,0,0,2541,0,0,2415.0,0.0,0.0
2799,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-01,0,0,2799,0,0,2659.0,0.0,0.0
3057,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-02,0,0,3057,0,0,2903.0,0.0,0.0
3315,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-03,0,0,3315,0,0,3147.0,0.0,0.0
3573,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-04,0,0,3573,0,0,3391.0,0.0,0.0
3831,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-05,0,0,3831,0,0,3635.0,0.0,0.0
4089,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-06,0,0,4089,0,0,3879.0,0.0,0.0
4347,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-07,0,0,4347,0,0,4123.0,0.0,0.0
4605,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-08,0,0,4605,0,0,4367.0,0.0,0.0
4863,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-09,0,0,4863,0,0,4611.0,0.0,0.0
5121,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-10,0,0,5121,0,0,4855.0,0.0,0.0
5379,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-11,0,0,5379,0,0,5099.0,0.0,0.0
5637,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-12,0,0,5637,0,0,5343.0,0.0,0.0
5895,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-13,0,0,5895,0,0,5587.0,0.0,0.0
6153,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-14,0,0,6153,0,0,5831.0,0.0,0.0
6411,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-15,0,0,6411,0,0,6075.0,0.0,0.0
6669,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-16,0,0,6669,0,0,6319.0,0.0,0.0
6927,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-17,0,0,6927,0,0,6563.0,0.0,0.0
7185,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-18,0,0,7185,0,0,6807.0,0.0,0.0
7443,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-19,0,0,7443,0,0,7051.0,0.0,0.0
7701,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-20,0,0,7701,0,0,7295.0,0.0,0.0
7959,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-21,0,0,7959,0,0,7539.0,0.0,0.0
8217,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-22,0,0,8217,0,0,7783.0,0.0,0.0
8475,channel-islands,united-kingdom,49.3723,-2.3644,2020-02-23,0,0,8475,0,0,8027.0,0.0,0.0
