date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-01-23,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-01-24,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-01-25,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-01-26,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-01-27,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-01-28,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-01-29,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-01-30,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-01-31,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-01,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-02,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-03,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-04,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-05,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-06,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-07,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-08,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-09,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-10,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-11,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-12,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-13,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-14,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-15,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-16,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-17,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-18,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-19,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-20,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-21,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
2020-02-22,us,connecticut,41.7937534,-73.2451475,84009005,US,USA,840,9005.0,litchfield,"Litchfield, Connecticut, US",0,0,0,0
