date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,us,idaho,0.0,0.0,84080016,US,USA,840,80016.0,out-of-id,"Out of ID, Idaho, US",0,0,0.0,0.0
2020-01-23,us,idaho,0.0,0.0,84080016,US,USA,840,80016.0,out-of-id,"Out of ID, Idaho, US",0,0,0.0,0.0
2020-01-24,us,idaho,0.0,0.0,84080016,US,USA,840,80016.0,out-of-id,"Out of ID, Idaho, US",0,0,0.0,0.0
2020-01-25,us,idaho,0.0,0.0,84080016,US,USA,840,80016.0,out-of-id,"Out of ID, Idaho, US",0,0,0.0,0.0
2020-01-26,us,idaho,0.0,0.0,84080016,US,USA,840,80016.0,out-of-id,"Out of ID, Idaho, US",0,0,0.0,0.0
2020-01-27,us,idaho,0.0,0.0,84080016,US,USA,840,80016.0,out-of-id,"Out of ID, Idaho, US",0,0,0.0,0.0
2020-01-28,us,idaho,0.0,0.0,84080016,US,USA,840,80016.0,out-of-id,"Out of ID, Idaho, US",0,0,0.0,0.0
2020-01-29,us,idaho,0.0,0.0,84080016,US,USA,840,80016.0,out-of-id,"Out of ID, Idaho, US",0,0,0.0,0.0
2020-01-30,us,idaho,0.0,0.0,84080016,US,USA,840,80016.0,out-of-id,"Out of ID, Idaho, US",0,0,0.0,0.0
2020-01-31,us,idaho,0.0,0.0,84080016,US,USA,840,80016.0,out-of-id,"Out of ID, Idaho, US",0,0,0.0,0.0
2020-02-01,us,idaho,0.0,0.0,84080016,US,USA,840,80016.0,out-of-id,"Out of ID, Idaho, US",0,0,0.0,0.0
2020-02-02,us,idaho,0.0,0.0,84080016,US,USA,840,80016.0,out-of-id,"Out of ID, Idaho, US",0,0,0.0,0.0
2020-02-03,us,idaho,0.0,0.0,84080016,US,USA,840,80016.0,out-of-id,"Out of ID, Idaho, US",0,0,0.0,0.0
2020-02-04,us,idaho,0.0,0.0,84080016,US,USA,840,80016.0,out-of-id,"Out of ID, Idaho, US",0,0,0.0,0.0
2020-02-05,us,idaho,0.0,0.0,84080016,US,USA,840,80016.0,out-of-id,"Out of ID, Idaho, US",0,0,0.0,0.0
2020-02-06,us,idaho,0.0,0.0,84080016,US,USA,840,80016.0,out-of-id,"Out of ID, Idaho, US",0,0,0.0,0.0
2020-02-07,us,idaho,0.0,0.0,84080016,US,USA,840,80016.0,out-of-id,"Out of ID, Idaho, US",0,0,0.0,0.0
2020-02-08,us,idaho,0.0,0.0,84080016,US,USA,840,80016.0,out-of-id,"Out of ID, Idaho, US",0,0,0.0,0.0
2020-02-09,us,idaho,0.0,0.0,84080016,US,USA,840,80016.0,out-of-id,"Out of ID, Idaho, US",0,0,0.0,0.0
2020-02-10,us,idaho,0.0,0.0,84080016,US,USA,840,80016.0,out-of-id,"Out of ID, Idaho, US",0,0,0.0,0.0
