date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-01-23,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-01-24,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-01-25,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-01-26,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-01-27,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-01-28,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-01-29,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-01-30,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-01-31,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-01,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-02,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-03,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-04,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-05,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-06,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-07,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-08,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-09,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-10,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-11,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-12,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-13,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-14,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-15,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-16,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-17,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-18,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-19,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-20,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-21,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-22,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-23,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-24,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-25,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-26,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-27,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-28,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-02-29,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-03-01,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-03-02,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-03-03,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-03-04,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-03-05,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-03-06,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-03-07,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-03-08,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-03-09,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-03-10,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-03-11,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-03-12,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-03-13,venezuela,,6.4238,-66.5897,0,0,0.0,0,0,0.0
2020-03-14,venezuela,,6.4238,-66.5897,2,0,0.0,2,0,0.0
2020-03-15,venezuela,,6.4238,-66.5897,10,0,0.0,8,0,0.0
2020-03-16,venezuela,,6.4238,-66.5897,17,0,0.0,7,0,0.0
2020-03-17,venezuela,,6.4238,-66.5897,33,0,0.0,16,0,0.0
2020-03-18,venezuela,,6.4238,-66.5897,36,0,0.0,3,0,0.0
2020-03-19,venezuela,,6.4238,-66.5897,42,0,0.0,6,0,0.0
2020-03-20,venezuela,,6.4238,-66.5897,42,0,0.0,0,0,0.0
2020-03-21,venezuela,,6.4238,-66.5897,70,0,0.0,28,0,0.0
2020-03-22,venezuela,,6.4238,-66.5897,70,0,15.0,0,0,15.0
2020-03-23,venezuela,,6.4238,-66.5897,77,0,15.0,7,0,0.0
2020-03-24,venezuela,,6.4238,-66.5897,84,0,15.0,7,0,0.0
2020-03-25,venezuela,,6.4238,-66.5897,91,0,15.0,7,0,0.0
2020-03-26,venezuela,,6.4238,-66.5897,107,0,15.0,16,0,0.0
2020-03-27,venezuela,,6.4238,-66.5897,107,1,31.0,0,1,16.0
2020-03-28,venezuela,,6.4238,-66.5897,119,2,39.0,12,1,8.0
2020-03-29,venezuela,,6.4238,-66.5897,119,2,39.0,0,0,0.0
2020-03-30,venezuela,,6.4238,-66.5897,135,3,39.0,16,1,0.0
2020-03-31,venezuela,,6.4238,-66.5897,135,3,39.0,0,0,0.0
2020-04-01,venezuela,,6.4238,-66.5897,143,3,41.0,8,0,2.0
2020-04-02,venezuela,,6.4238,-66.5897,146,5,43.0,3,2,2.0
2020-04-03,venezuela,,6.4238,-66.5897,153,7,52.0,7,2,9.0
2020-04-04,venezuela,,6.4238,-66.5897,155,7,52.0,2,0,0.0
2020-04-05,venezuela,,6.4238,-66.5897,159,7,52.0,4,0,0.0
2020-04-06,venezuela,,6.4238,-66.5897,165,7,65.0,6,0,13.0
2020-04-07,venezuela,,6.4238,-66.5897,165,7,65.0,0,0,0.0
2020-04-08,venezuela,,6.4238,-66.5897,167,9,65.0,2,2,0.0
2020-04-09,venezuela,,6.4238,-66.5897,171,9,84.0,4,0,19.0
2020-04-10,venezuela,,6.4238,-66.5897,171,9,84.0,0,0,0.0
2020-04-11,venezuela,,6.4238,-66.5897,175,9,93.0,4,0,9.0
2020-04-12,venezuela,,6.4238,-66.5897,181,9,93.0,6,0,0.0
2020-04-13,venezuela,,6.4238,-66.5897,189,9,110.0,8,0,17.0
2020-04-14,venezuela,,6.4238,-66.5897,189,9,110.0,0,0,0.0
2020-04-15,venezuela,,6.4238,-66.5897,197,9,111.0,8,0,1.0
2020-04-16,venezuela,,6.4238,-66.5897,204,9,111.0,7,0,0.0
2020-04-17,venezuela,,6.4238,-66.5897,204,9,111.0,0,0,0.0
