index_x,state,country,lat,long,date,confirmed,confirmed_new,index_y,deaths,deaths_new,index,recovered,recovered_new
2064,,afghanistan,33.0,65.0,2020-01-30,0,0,2064,0,0,1952.0,0.0,0.0
2065,,albania,41.1533,20.1683,2020-01-30,0,0,2065,0,0,1953.0,0.0,0.0
2066,,algeria,28.0339,1.6596,2020-01-30,0,0,2066,0,0,1954.0,0.0,0.0
2067,,andorra,42.5063,1.5218,2020-01-30,0,0,2067,0,0,1955.0,0.0,0.0
2068,,angola,-11.2027,17.8739,2020-01-30,0,0,2068,0,0,1956.0,0.0,0.0
2069,,antigua-and-barbuda,17.0608,-61.7964,2020-01-30,0,0,2069,0,0,1957.0,0.0,0.0
2070,,argentina,-38.4161,-63.6167,2020-01-30,0,0,2070,0,0,1958.0,0.0,0.0
2071,,armenia,40.0691,45.0382,2020-01-30,0,0,2071,0,0,1959.0,0.0,0.0
2072,australian-capital-territory,australia,-35.4735,149.0124,2020-01-30,0,0,2072,0,0,1960.0,0.0,0.0
2073,new-south-wales,australia,-33.8688,151.2093,2020-01-30,4,4,2073,0,0,1961.0,2.0,2.0
2074,northern-territory,australia,-12.4634,130.8456,2020-01-30,0,-4,2074,0,0,1962.0,0.0,-2.0
2075,queensland,australia,-28.0167,153.4,2020-01-30,3,3,2075,0,0,1963.0,0.0,0.0
2076,south-australia,australia,-34.9285,138.6007,2020-01-30,0,-3,2076,0,0,1964.0,0.0,0.0
2077,tasmania,australia,-41.4545,145.9707,2020-01-30,0,0,2077,0,0,1965.0,0.0,0.0
2078,victoria,australia,-37.8136,144.9631,2020-01-30,2,2,2078,0,0,1966.0,0.0,0.0
2079,western-australia,australia,-31.9505,115.8605,2020-01-30,0,-2,2079,0,0,1967.0,0.0,0.0
2080,,austria,47.5162,14.5501,2020-01-30,0,0,2080,0,0,1968.0,0.0,0.0
2081,,azerbaijan,40.1431,47.5769,2020-01-30,0,0,2081,0,0,1969.0,0.0,0.0
2082,,bahamas,25.0343,-77.3963,2020-01-30,0,0,2082,0,0,1970.0,0.0,0.0
2083,,bahrain,26.0275,50.55,2020-01-30,0,0,2083,0,0,1971.0,0.0,0.0
2084,,bangladesh,23.685,90.3563,2020-01-30,0,0,2084,0,0,1972.0,0.0,0.0
2085,,barbados,13.1939,-59.5432,2020-01-30,0,0,2085,0,0,1973.0,0.0,0.0
2086,,belarus,53.7098,27.9534,2020-01-30,0,0,2086,0,0,1974.0,0.0,0.0
2087,,belgium,50.8333,4.0,2020-01-30,0,0,2087,0,0,1975.0,0.0,0.0
2301,,belize,13.1939,-59.5432,2020-01-30,0,0,2301,0,0,1976.0,0.0,0.0
