state,country,lat,long,date,confirmed,deaths,recovered
,afghanistan,33.0,65.0,2020-03-21,24,0,1.0
,albania,41.1533,20.1683,2020-03-21,76,2,2.0
,algeria,28.0339,1.6596,2020-03-21,139,15,32.0
,andorra,42.5063,1.5218,2020-03-21,88,0,1.0
,angola,-11.2027,17.8739,2020-03-21,2,0,0.0
,antigua-and-barbuda,17.0608,-61.7964,2020-03-21,1,0,0.0
,argentina,-38.4161,-63.6167,2020-03-21,158,4,3.0
,armenia,40.0691,45.0382,2020-03-21,160,0,1.0
australian-capital-territory,australia,-35.4735,149.0124,2020-03-21,9,0,0.0
new-south-wales,australia,-33.8688,151.2093,2020-03-21,436,6,4.0
northern-territory,australia,-12.4634,130.8456,2020-03-21,3,0,0.0
queensland,australia,-28.0167,153.4,2020-03-21,221,0,8.0
south-australia,australia,-34.9285,138.6007,2020-03-21,67,0,3.0
tasmania,australia,-41.4545,145.9707,2020-03-21,16,0,3.0
victoria,australia,-37.8136,144.9631,2020-03-21,229,0,8.0
western-australia,australia,-31.9505,115.8605,2020-03-21,90,1,0.0
,austria,47.5162,14.5501,2020-03-21,2814,8,9.0
,azerbaijan,40.1431,47.5769,2020-03-21,53,1,11.0
,bahamas,25.0343,-77.3963,2020-03-21,4,0,0.0
,bahrain,26.0275,50.55,2020-03-21,305,1,125.0
,bangladesh,23.685,90.3563,2020-03-21,25,2,3.0
,barbados,13.1939,-59.5432,2020-03-21,6,0,0.0
,belarus,53.7098,27.9534,2020-03-21,76,0,15.0
,belgium,50.8333,4.0,2020-03-21,2815,67,263.0
,benin,9.3077,2.3158,2020-03-21,2,0,0.0
,bhutan,27.5142,90.4336,2020-03-21,2,0,0.0
,bolivia,-16.2902,-63.5887,2020-03-21,19,0,0.0
,bosnia-and-herzegovina,43.9159,17.6791,2020-03-21,93,1,2.0
,brazil,-14.235,-51.9253,2020-03-21,1021,15,2.0
,brunei,4.5353,114.7277,2020-03-21,83,0,2.0
,bulgaria,42.7339,25.4858,2020-03-21,163,3,3.0
,burkina-faso,12.2383,-1.5616,2020-03-21,64,2,5.0
,cabo-verde,16.5388,-23.0418,2020-03-21,3,0,0.0
,cambodia,11.55,104.9167,2020-03-21,53,0,1.0
,cameroon,3.8480000000000003,11.5021,2020-03-21,27,0,0.0
alberta,canada,53.9333,-116.5765,2020-03-21,195,1,0.0
british-columbia,canada,49.2827,-123.1207,2020-03-21,424,10,0.0
grand-princess,canada,37.6489,-122.6655,2020-03-21,10,0,0.0
manitoba,canada,53.7609,-98.8139,2020-03-21,18,0,0.0
new-brunswick,canada,46.5653,-66.4619,2020-03-21,17,0,0.0
newfoundland-and-labrador,canada,53.1355,-57.6604,2020-03-21,6,0,0.0
nova-scotia,canada,44.681999999999995,-63.7443,2020-03-21,21,0,0.0
ontario,canada,51.2538,-85.3232,2020-03-21,377,3,0.0
prince-edward-island,canada,46.5107,-63.4168,2020-03-21,2,0,0.0
quebec,canada,52.9399,-73.5491,2020-03-21,181,5,0.0
saskatchewan,canada,52.9399,-106.4509,2020-03-21,26,0,0.0
,central-african-republic,6.6111,20.9394,2020-03-21,3,0,0.0
,chad,15.4542,18.7322,2020-03-21,1,0,0.0
,chile,-35.6751,-71.543,2020-03-21,537,0,6.0
anhui,china,31.8257,117.2264,2020-03-21,990,6,984.0
beijing,china,40.1824,116.4142,2020-03-21,504,8,396.0
chongqing,china,30.0572,107.874,2020-03-21,576,6,570.0
fujian,china,26.0789,117.9874,2020-03-21,303,1,295.0
gansu,china,37.8099,101.0583,2020-03-21,134,2,113.0
guangdong,china,23.3417,113.4244,2020-03-21,1400,8,1325.0
guangxi,china,23.8298,108.7881,2020-03-21,254,2,250.0
guizhou,china,26.8154,106.8748,2020-03-21,146,2,144.0
hainan,china,19.1959,109.7453,2020-03-21,168,6,161.0
hebei,china,39.549,116.1306,2020-03-21,318,6,310.0
heilongjiang,china,47.861999999999995,127.7615,2020-03-21,484,13,463.0
henan,china,33.882,113.61399999999999,2020-03-21,1273,22,1250.0
hong-kong,china,22.3,114.2,2020-03-21,273,4,98.0
hubei,china,30.9756,112.2707,2020-03-21,67800,3139,58946.0
hunan,china,27.6104,111.7088,2020-03-21,1018,4,1014.0
inner-mongolia,china,44.0935,113.9448,2020-03-21,75,1,74.0
jiangsu,china,32.9711,119.455,2020-03-21,631,0,631.0
jiangxi,china,27.614,115.7221,2020-03-21,935,1,934.0
jilin,china,43.6661,126.1923,2020-03-21,93,1,92.0
liaoning,china,41.2956,122.6085,2020-03-21,126,2,122.0
macau,china,22.1667,113.55,2020-03-21,18,0,10.0
ningxia,china,37.2692,106.1655,2020-03-21,75,0,75.0
qinghai,china,35.7452,95.9956,2020-03-21,18,0,18.0
shaanxi,china,35.1917,108.8701,2020-03-21,248,3,239.0
shandong,china,36.3427,118.1498,2020-03-21,764,7,749.0
shanghai,china,31.201999999999998,121.4491,2020-03-21,380,3,327.0
shanxi,china,37.5777,112.2922,2020-03-21,133,0,133.0
sichuan,china,30.6171,102.7103,2020-03-21,542,3,536.0
tianjin,china,39.3054,117.323,2020-03-21,137,3,133.0
tibet,china,31.6927,88.0924,2020-03-21,1,0,1.0
xinjiang,china,41.1129,85.2401,2020-03-21,76,3,73.0
yunnan,china,24.974,101.48700000000001,2020-03-21,176,2,172.0
zhejiang,china,29.1832,120.0934,2020-03-21,1236,1,1219.0
,colombia,4.5709,-74.2973,2020-03-21,196,0,1.0
,congo-brazzaville,-4.0383,21.7587,2020-03-21,3,0,0.0
,congo-kinshasa,-4.0383,21.7587,2020-03-21,23,1,0.0
,costa-rica,9.7489,-83.7534,2020-03-21,117,2,2.0
,cote-d-ivoire,7.54,-5.5471,2020-03-21,14,0,1.0
,croatia,45.1,15.2,2020-03-21,206,1,5.0
,diamond-princess,0.0,0.0,2020-03-21,712,8,325.0
,cuba,22.0,-80.0,2020-03-21,21,1,0.0
,cyprus,35.1264,33.4299,2020-03-21,84,0,0.0
,czechia,49.8175,15.472999999999999,2020-03-21,995,0,6.0
faroe-islands,denmark,61.8926,-6.9118,2020-03-21,92,0,0.0
greenland,denmark,71.7069,-42.6043,2020-03-21,2,0,0.0
,denmark,56.2639,9.5018,2020-03-21,1326,13,1.0
,djibouti,11.8251,42.5903,2020-03-21,1,0,0.0
,dominican-republic,18.7357,-70.1627,2020-03-21,112,2,0.0
,ecuador,-1.8312,-78.1834,2020-03-21,506,7,3.0
,egypt,26.0,30.0,2020-03-21,294,10,41.0
,el-salvador,13.7942,-88.8965,2020-03-21,3,0,0.0
,equatorial-guinea,1.5,10.0,2020-03-21,6,0,0.0
,eritrea,15.1794,39.7823,2020-03-21,1,0,0.0
,estonia,58.5953,25.0136,2020-03-21,306,0,1.0
,eswatini,-26.5225,31.4659,2020-03-21,1,0,0.0
,ethiopia,9.145,40.4897,2020-03-21,9,0,0.0
,fiji,-17.7134,178.065,2020-03-21,1,0,0.0
,finland,64.0,26.0,2020-03-21,523,1,10.0
french-guiana,france,3.9339,-53.1258,2020-03-21,18,0,0.0
french-polynesia,france,-17.6797,149.4068,2020-03-21,15,0,0.0
guadeloupe,france,16.25,-61.5833,2020-03-21,53,0,0.0
mayotte,france,-12.8275,45.1662,2020-03-21,7,0,0.0
new-caledonia,france,-20.9043,165.618,2020-03-21,4,0,0.0
reunion,france,-21.1351,55.2471,2020-03-21,45,0,0.0
saint-barthelemy,france,17.9,-62.8333,2020-03-21,3,0,0.0
st-martin,france,18.0708,-63.0501,2020-03-21,4,0,0.0
martinique,france,14.6415,-61.0242,2020-03-21,32,1,0.0
,france,46.2276,2.2137,2020-03-21,14282,562,12.0
,gabon,-0.8037,11.6094,2020-03-21,4,1,0.0
,gambia,13.4432,-15.3101,2020-03-21,1,0,0.0
,georgia,42.3154,43.3569,2020-03-21,49,0,1.0
,germany,51.0,9.0,2020-03-21,22213,84,233.0
,ghana,7.9465,-1.0232,2020-03-21,19,1,0.0
,greece,39.0742,21.8243,2020-03-21,530,13,19.0
,guatemala,15.7835,-90.2308,2020-03-21,17,1,0.0
,guinea,9.9456,-9.6966,2020-03-21,2,0,0.0
,guyana,5.0,-58.75,2020-03-21,7,1,0.0
,haiti,18.9712,-72.2852,2020-03-21,2,0,0.0
,holy-see,41.9029,12.4534,2020-03-21,1,0,0.0
